period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps,main
0,333,185,4430167,8938,18,19538,23416,701621,3675,1881,206992,4152,0.01,100840
1,2512,8963,4610502,10861,18,19538,23416,714364,4974,1881,206992,4152,0.00,100840
2,2512,11571,5595658,12099,18,19538,23416,727674,6283,1881,206992,4152,0.00,100840
3,21871,14250,6533528,70364,18,19538,23416,776619,8090,1881,206992,4152,2.03,100840
4,127351,16821,7258830,276868,18,19538,23416,985586,9445,1881,206992,4152,14.59,100840
5,146283,19805,8998152,402030,18,19538,23416,1049342,11129,1881,206992,4152,3.19,100840
6,232978,22590,8939064,689695,18,19538,23416,1238712,12428,1881,206992,4152,12.94,100840
7,235744,25584,10594541,778276,18,19538,23416,1263672,14148,1881,206992,4152,0.21,100840
8,336085,28606,10629378,1043131,18,19538,23416,1479740,15596,1881,206992,4152,14.82,100840
9,336364,31737,11600108,1291008,18,19538,23416,1505419,17548,1881,206992,4152,0.06,100840
10,337124,34808,12572899,1561560,18,19538,23416,1529142,19273,1881,206992,4152,0.08,100840
11,337124,37880,13555955,1563831,18,19538,23416,1543409,20854,1881,206992,4152,0.02,100840
12,448616,40560,14255388,1786077,18,19538,23416,1772230,22259,1881,206992,4152,15.74,100840
13,600487,43419,14854993,2090360,18,19538,23416,2077554,23577,1881,206992,4152,21.81,100840
14,674486,46059,15641145,2246198,18,19538,23416,2242307,25026,1881,206992,4152,11.16,100840
15,716699,49212,16903478,2331467,18,19538,23416,2337752,26795,1881,206992,4152,5.83,100840
16,795838,51968,17288549,2497658,18,19538,23416,2513103,28218,1881,206992,4152,11.84,100840
17,841380,55149,18158716,2588407,18,19538,23416,2613741,29602,1881,206992,4152,6.29,100840
18,889263,57892,19013264,2691357,18,19538,23416,2728917,31260,1881,206992,4152,6.96,100840
19,972610,61040,19777519,2862883,18,19538,23416,2909596,32869,1881,206992,4152,12.14,100840
20,1009281,64260,20654768,2943999,18,19538,23416,3002376,34650,1881,206992,4152,5.54,100840
21,1052324,67411,21527943,3033116,18,19538,23416,3099840,36171,1881,206992,4152,6.06,100840
22,1121378,70271,22322736,3180780,18,19538,23416,3257649,37934,1881,206992,4152,10.51,100840
23,1164681,73489,23200159,3264698,18,19538,23416,3350398,39366,1881,206992,4152,5.74,100840
24,1236789,76383,23994175,3417325,18,19538,23416,3510966,40968,1881,206992,4152,10.64,100840
25,1284059,79843,24853951,3513122,18,19538,23416,3616298,42543,1881,206992,4152,6.60,100840
26,1343376,82811,25676501,3640148,18,19538,23416,3753122,44088,1881,206992,4152,9.09,100840
27,1427484,85942,26452369,3806723,18,19538,23416,3925432,45417,1881,206992,4152,12.05,100840
28,1442585,88571,27387346,3845846,18,19538,23416,3981128,47345,1881,206992,4152,2.35,100840
29,1503387,91659,29051629,3968382,18,19538,23416,4110785,48837,1881,206992,4152,8.59,100840
30,1585336,94559,28977287,4140519,18,19538,23416,4293267,50374,1881,206992,4152,12.18,100840
31,1637616,97768,29822277,4250092,18,19538,23416,4413754,51912,1881,206992,4152,7.76,100840
32,1718308,100819,30598967,4411774,18,19538,23416,4580953,53265,1881,206992,4152,11.29,100840
33,1732185,103709,32509455,4447370,18,19538,23416,4632287,55105,1881,206992,4152,2.09,100840
34,1820445,106621,32287877,4632143,18,19538,23416,4824510,56598,1881,206992,4152,13.23,100840
35,1885195,109852,33113828,4759143,18,19538,23416,4958257,58059,1881,206992,4152,8.90,100840
