period,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,wifi,esp_timer,sys_evt,ipc0,Heap,Stack,Mbps
0,8421,386,627,101034,5092306,19,19470,707913,3939,13570,1821,290608,4152,0.01
1,12496,1240,11260,101034,5270230,19,19470,719783,5183,13570,1821,290608,4152,0.00
2,13436,1240,13868,101034,6258774,19,19470,729770,6222,13570,1821,290608,4152,0.00
3,101484,46731,16457,101034,7118595,19,19470,829279,7298,13570,1821,290608,4152,6.50
4,285601,141669,19055,101034,7868699,19,19470,1002216,8584,13570,1821,290608,4152,10.81
5,522889,213067,22343,101034,9558006,19,19470,1229592,10008,13570,1821,290608,4152,7.83
6,709856,307217,25243,101034,9338000,19,19470,1405986,11254,13570,1821,290608,4152,9.86
7,878247,393223,28073,101034,10101157,19,19470,1571602,12529,13570,1821,290608,4152,8.84
8,1023876,468921,31623,101034,12019093,19,19470,1721734,13727,13570,1821,290608,4152,8.60
9,1164767,534845,34393,101034,11687196,19,19470,1874225,14991,13570,1821,290608,4152,8.78
10,1318085,614465,37375,101034,12462073,19,19470,2030113,16315,13570,1821,290608,4152,8.49
11,1483674,706814,40408,101034,14525234,19,19470,2190419,17629,13570,1821,290608,4152,9.04
12,1647400,791712,43185,101034,15351919,19,19470,2346147,18678,13570,1821,290608,4152,8.82
13,1813035,881734,46322,101034,14771225,19,19470,2502571,20081,13570,1821,290608,4152,8.82
14,1966856,958365,49562,101034,15557860,19,19470,2660695,21273,13570,1821,290608,4152,8.79
15,2102141,1018935,52473,101034,17857472,19,19470,2810087,22414,13570,1821,290608,4152,8.36
16,2254269,1087968,55441,101034,18694104,19,19470,2974414,23625,13570,1821,290608,4152,9.19
17,2407087,1159362,58334,101034,19521433,19,19470,3138340,24895,13570,1821,290608,4152,8.80
18,2559449,1234727,61282,101034,18710408,19,19470,3300403,26134,13570,1821,290608,4152,8.82
19,2712213,1304623,64346,101034,21181408,19,19470,3462433,27392,13570,1821,290608,4152,8.55
20,2864787,1377118,67142,101034,20289865,19,19470,3623513,28685,13570,1821,290608,4152,8.45
21,3020866,1451955,69710,101034,21070048,19,19470,3790777,29858,13570,1821,290608,4152,9.09
22,3174251,1524381,72401,101034,21852369,19,19470,3957064,30999,13570,1821,290608,4152,8.82
23,3326326,1595130,74982,101034,22641556,19,19470,4117373,32155,13570,1821,290608,4152,8.69
24,3477652,1666405,77920,101034,23428783,19,19470,4276924,33335,13570,1821,290608,4152,8.63
25,3630746,1737785,80289,101034,24216630,19,19470,4440384,34584,13570,1821,290608,4152,8.76
26,3779113,1807231,83150,101034,25004163,19,19470,4601656,35736,13570,1821,290608,4152,8.69
27,3931703,1880483,86252,101034,25790977,19,19470,4763700,36877,13570,1821,290608,4152,8.70
28,4082964,1952308,89132,101034,26586088,19,19470,4926038,37992,13570,1821,290608,4152,8.69
29,4233906,2023117,92226,101034,27377978,19,19470,5085067,39138,13570,1821,290608,4152,8.69
