period,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,9499,485,476,100914,5373059,18,19487,13818,4610,719593,1814,290608,4152,0.01
1,12274,1010,8327,100914,5539538,18,19487,13818,5884,732091,1814,290608,4152,0.00
2,14229,1010,10926,100914,6524488,18,19487,13818,7112,745168,1814,290608,4152,0.00
3,135695,69279,13506,100914,7349497,18,19487,13818,8606,871133,1814,290608,4152,8.63
4,307056,140216,16288,100914,8121565,18,19487,13818,10109,1051137,1814,290608,4152,8.94
5,433386,192770,19345,100914,8954419,18,19487,13818,11388,1180890,1814,290608,4152,6.57
6,545808,247443,22418,100914,9796995,18,19487,13818,12840,1295495,1814,290608,4152,6.62
7,759492,348776,25382,100914,10509906,18,19487,13818,14041,1509175,1814,290608,4152,12.84
8,905610,422645,28346,100914,11308172,18,19487,13818,15219,1658983,1814,290608,4152,8.55
9,1050876,495215,31387,100914,12100950,18,19487,13818,16336,1811491,1814,290608,4152,8.87
10,1191859,564096,34217,100914,12895364,18,19487,13818,17491,1962136,1814,290608,4152,8.72
11,1333949,635805,36833,100914,13697032,18,19487,13818,18546,2112958,1814,290608,4152,8.62
12,1477053,710255,39682,100914,15736324,18,19487,13818,19691,2262991,1814,290608,4152,8.98
13,1614390,779915,42576,100914,15309716,18,19487,13818,20797,2411902,1814,290608,4152,8.34
14,1769636,852663,45750,100914,17406365,18,19487,13818,22011,2574918,1814,290608,4152,9.04
15,1914228,920521,48767,100914,16896399,18,19487,13818,23280,2729874,1814,290608,4152,8.54
16,2060431,987876,51891,100914,17688761,18,19487,13818,24716,2886790,1814,290608,4152,8.74
17,2209164,1056140,54553,100914,18478662,18,19487,13818,25873,3045512,1814,290608,4152,8.72
18,2357881,1124044,57547,100914,19267527,18,19487,13818,27179,3205732,1814,290608,4152,8.75
19,2495539,1186074,60090,100914,20073417,18,19487,13818,28380,3356766,1814,290608,4152,8.10
20,2642095,1254153,63245,100914,20863539,18,19487,13818,29559,3515724,1814,290608,4152,8.76
21,2800008,1329414,65914,100914,21648312,18,19487,13818,30650,3684368,1814,290608,4152,9.13
22,2954915,1402740,69348,100914,24092908,18,19487,13818,31710,3846216,1814,290608,4152,9.15
23,3105317,1475256,72093,100914,23221399,18,19487,13818,32798,4006814,1814,290608,4152,8.64
24,3256372,1544452,74610,100914,24010005,18,19487,13818,33986,4170591,1814,290608,4152,8.82
25,3406247,1615579,77698,100914,24801508,18,19487,13818,35174,4328189,1814,290608,4152,8.69
26,3551132,1681785,81262,100914,25598757,18,19487,13818,36272,4484779,1814,290608,4152,8.69
27,3698077,1751422,83863,100914,26390996,18,19487,13818,37348,4642372,1814,290608,4152,8.69
28,3844376,1818402,86952,100914,27177685,18,19487,13818,38457,4802436,1814,290608,4152,8.70
29,3994564,1887180,89313,100914,27966838,18,19487,13818,39585,4963907,1814,290608,4152,8.70
30,4139729,1956284,92406,100914,28761070,18,19487,13818,40954,5120276,1814,290608,4152,8.69
31,4286525,2024720,95528,100914,29550384,18,19487,13818,42143,5281408,1814,290608,4152,8.69
32,4425254,2088541,98379,100914,30354004,18,19487,13818,43254,5430369,1814,290608,4152,8.10
33,4581321,2159702,101232,100914,31131802,18,19487,13818,44500,5596866,1814,290608,4152,9.28
34,4730492,2231732,104341,100914,31915462,18,19487,13818,45860,5756995,1814,290608,4152,8.69
35,4877157,2299354,107461,100914,32705428,18,19487,13818,47046,5916257,1814,290608,4152,8.69
36,5020081,2363441,110579,100914,33502658,18,19487,13818,48255,6072950,1814,290608,4152,8.69
37,5168519,2431339,113459,100914,34297329,18,19487,13818,49220,6230910,1814,290608,4152,8.69
