period,experiment_runn,measurer,IDLE,tiT,ipc0,TmrSvc,esp_timer,wifi,ipc1,sys_evt,Heap,Stack,Mbps,main
0,490,471,4441344,9749,1814,18,3399,703435,19414,23778,290608,4152,0.01,100191
1,3896,11690,4618592,12794,1814,18,4562,715465,19414,23778,290608,4152,0.00,100191
2,3896,14287,5603789,13641,1814,18,5764,727880,19414,23778,290608,4152,0.00,100191
3,127651,16864,6299234,240628,1814,18,6809,952979,19414,23778,290608,4152,16.17,100191
4,234554,20065,7028005,438707,1814,18,8099,1154081,19414,23778,290608,4152,14.32,100191
5,377645,22784,7677479,701412,1814,18,9299,1405245,19414,23778,290608,4152,18.74,100191
6,500964,25888,9378469,928940,1814,18,10500,1624319,19414,23778,290608,4152,16.32,100191
7,627766,28961,9069929,1159378,1814,18,11611,1846453,19414,23778,290608,4152,16.79,100191
8,753078,31935,9764258,1392654,1814,18,12799,2072113,19414,23778,290608,4152,16.42,100191
9,883811,34920,10456514,1630460,1814,18,13870,2300013,19414,23778,290608,4152,16.56,100191
10,1006431,37408,11157972,1855621,1814,18,15065,2516123,19414,23778,290608,4152,16.17,100191
11,1134211,40623,13019483,2089485,1814,18,16235,2741416,19414,23778,290608,4152,16.69,100191
12,1263672,43688,12541206,2325458,1814,18,17110,2967367,19414,23778,290608,4152,16.73,100191
13,1386353,46879,13239422,2550952,1814,18,18238,3186575,19414,23778,290608,4152,16.17,100191
14,1506947,50267,13945988,2769856,1814,18,19438,3396920,19414,23778,290608,4152,15.51,100191
15,1663181,53016,15896837,3040748,1814,18,20863,3644338,19414,23778,290608,4152,17.90,100191
16,1808201,55764,15277597,3285046,1814,18,22010,3866014,19414,23778,290608,4152,16.19,100191
17,1949231,58963,15952170,3527723,1814,18,23168,4090481,19414,23778,290608,4152,16.43,100191
18,2093650,61862,18033554,3778022,1814,18,24434,4320606,19414,23778,290608,4152,16.88,100191
19,2223111,64679,17320816,4008773,1814,18,25556,4541790,19414,23778,290608,4152,16.28,100191
20,2354361,67951,19486134,4243513,1814,18,26739,4766980,19414,23778,290608,4152,16.72,100191
21,2482474,70853,18708834,4474043,1814,18,27833,4987707,19414,23778,290608,4152,16.58,100191
22,2609234,73578,19405031,4705773,1814,18,28944,5211515,19414,23778,290608,4152,16.30,100191
23,2737208,76757,20099415,4938451,1814,18,30128,5436609,19414,23778,290608,4152,16.49,100191
24,2865598,79985,22384155,5171298,1814,18,31219,5660229,19414,23778,290608,4152,16.71,100191
25,2991237,82517,21485903,5404198,1814,18,32254,5883449,19414,23778,290608,4152,16.39,100191
26,3116392,85703,22186592,5630739,1814,18,33324,6103589,19414,23778,290608,4152,16.34,100191
27,3242771,89110,22877148,5861672,1814,18,34402,6324525,19414,23778,290608,4152,16.54,100191
28,3372441,91878,25303675,6096937,1814,18,35587,6549180,19414,23778,290608,4152,16.69,100191
29,3480552,94899,24303142,6295897,1814,18,36875,6743088,19414,23778,290608,4152,14.08,100191
30,3623369,98106,26761374,6561426,1814,18,38203,6996123,19414,23778,290608,4152,18.99,100191
31,3746003,101118,25649904,6788517,1814,18,39263,7213876,19414,23778,290608,4152,16.17,100191
32,3874926,104073,28224906,7021693,1814,18,40249,7436574,19414,23778,290608,4152,16.62,100191
33,3997057,107097,27048844,7246076,1814,18,41329,7653007,19414,23778,290608,4152,16.12,100191
34,4126445,110439,29682362,7483555,1814,18,42547,7881437,19414,23778,290608,4152,16.85,100191
35,4251627,113253,28416840,7714903,1814,18,43729,8105659,19414,23778,290608,4152,16.58,100191
36,4378038,116778,29106969,7946916,1814,18,44936,8328312,19414,23778,290608,4152,16.68,100191
37,4502009,119779,29806545,8176713,1814,18,46048,8547053,19414,23778,290608,4152,16.32,100191
38,4630088,122335,30496582,8410818,1814,18,47270,8772175,19414,23778,290608,4152,16.59,100191
39,4755071,125506,31187858,8641374,1814,18,48504,8994852,19414,23778,290608,4152,16.68,100191
40,4866344,128727,31916454,8846196,1814,18,49829,9194223,19414,23778,290608,4152,14.36,100191
41,5008754,131300,32562279,9108701,1814,18,51058,9446492,19414,23778,290608,4152,18.62,100191
42,5136235,134472,33249446,9343177,1814,18,52138,9670431,19414,23778,290608,4152,16.68,100191
43,5257167,137422,33944555,9568163,1814,18,53229,9888655,19414,23778,290608,4152,16.32,100191
44,5383538,139966,34641962,9799745,1814,18,54419,10111086,19414,23778,290608,4152,16.49,100191
45,5510081,143166,37748045,10033730,1814,18,55636,10335138,19414,23778,290608,4152,16.71,100191
46,5631518,146361,38481874,10262202,1814,18,56853,10557864,19414,23778,290608,4152,16.30,100191
47,5758578,149243,36714846,10492349,1814,18,57977,10781465,19414,23778,290608,4152,16.58,100191
48,5881103,152693,37407222,10720511,1814,18,59146,11002948,19414,23778,290608,4152,16.34,100191
49,6006261,155631,38099056,10953648,1814,18,60259,11227641,19414,23778,290608,4152,16.79,100191
50,6122039,158738,38815528,11163223,1814,18,61366,11430970,19414,23778,290608,4152,14.89,100191
51,6261758,161407,39479512,11412205,1814,18,62636,11664356,19414,23778,290608,4152,17.08,100191
52,6410799,164156,40135308,11672515,1814,18,64096,11904126,19414,23778,290608,4152,17.60,100191
53,6552690,166767,43570502,11918431,1814,18,65269,12129623,19414,23778,290608,4152,16.45,100191
54,6692828,169767,41490814,12158988,1814,18,66611,12351903,19414,23778,290608,4152,16.22,100191
55,6823225,173072,45013833,12394927,1814,18,67849,12581024,19414,23778,290608,4152,16.95,100191
56,6949272,175989,45741668,12626088,1814,18,69009,12801973,19414,23778,290608,4152,16.47,100191
57,7074459,179055,43571864,12853751,1814,18,70115,13020652,19414,23778,290608,4152,16.17,100191
58,7203940,181926,44261084,13087275,1814,18,71282,13244687,19414,23778,290608,4152,16.71,100191
59,7302233,184565,45021238,13266970,1814,18,72469,13418185,19414,23778,290608,4152,12.69,100191
60,7457662,187765,45646497,13547554,1814,18,73608,13684995,19414,23778,290608,4152,20.20,100191
61,7586678,190949,46336809,13779936,1814,18,74737,13910549,19414,23778,290608,4152,16.69,100191
62,7711385,193684,47039716,14009494,1814,18,75846,14130516,19414,23778,290608,4152,16.47,100191
63,7834922,196346,47735370,14235202,1814,18,76947,14350949,19414,23778,290608,4152,16.34,100191
64,7958525,199541,48432412,14460188,1814,18,78178,14568702,19414,23778,290608,4152,16.26,100191
65,8089732,202430,52320036,14697564,1814,18,79272,14799508,19414,23778,290608,4152,17.00,100191
66,8206902,205489,49821073,14912127,1814,18,80460,15012869,19414,23778,290608,4152,15.58,100191
67,8333373,208540,50503269,15147604,1814,18,81584,15240038,19414,23778,290608,4152,17.12,100191
68,8459937,211642,54539915,15381751,1814,18,82726,15467619,19414,23778,290608,4152,16.76,100191
