period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,esp_timer,wifi,sys_evt,ipc0,Heap,Stack,Mbps,main
0,495,4799,8220816,10711,19,19487,5766,729702,27580,1836,290608,4008,0.01,103766
1,6036,15091,9204064,12897,19,19487,7003,743694,27580,1836,290608,4008,0.00,103766
2,6036,17883,10190190,14023,19,19487,8236,755844,27580,1836,290608,4008,0.00,103766
3,137477,20622,10872284,233141,19,19487,9421,977350,27580,1836,290608,4008,16.37,103766
4,278843,23778,12564350,472933,19,19487,10800,1197147,27580,1836,290608,4008,16.71,103766
5,423589,26977,12234740,715805,19,19487,12289,1421059,27580,1836,290608,4008,16.50,103766
6,563718,29853,13991813,951184,19,19487,13785,1640932,27580,1836,290608,4008,16.16,103766
7,704587,32916,13599592,1190980,19,19487,15368,1863121,27580,1836,290608,4008,16.72,103766
8,845154,36039,15429181,1428210,19,19487,16705,2088043,27580,1836,290608,4008,16.64,103766
9,983216,38970,14969747,1661892,19,19487,18121,2309662,27580,1836,290608,4008,16.26,103766
10,1114551,41558,16889727,1887106,19,19487,19673,2520588,27580,1836,290608,4008,15.94,103766
11,1264023,44593,16346907,2136850,19,19487,21055,2749664,27580,1836,290608,4008,17.05,103766
12,1406533,47632,17035592,2374266,19,19487,22414,2972112,27580,1836,290608,4008,16.58,103766
13,1543127,51193,19033134,2609553,19,19487,23773,3193984,27580,1836,290608,4008,16.59,103766
14,1680797,53836,18378417,2848895,19,19487,25256,3418866,27580,1836,290608,4008,16.46,103766
15,1811487,56455,19063904,3075908,19,19487,26637,3632598,27580,1836,290608,4008,16.02,103766
16,1953918,59219,19747123,3320296,19,19487,27934,3861718,27580,1836,290608,4008,17.10,103766
17,2086996,62285,20436227,3554552,19,19487,29322,4085870,27580,1836,290608,4008,16.63,103766
18,2211889,64737,21132558,3780538,19,19487,30558,4304945,27580,1836,290608,4008,16.38,103766
19,2332968,67910,23422943,4003152,19,19487,32053,4523276,27580,1836,290608,4008,16.53,103766
20,2461634,70790,22505716,4231794,19,19487,33634,4743987,27580,1836,290608,4008,16.31,103766
21,2598854,73699,23188299,4471381,19,19487,35052,4967982,27580,1836,290608,4008,16.75,103766
22,2729217,76458,23882032,4701110,19,19487,36501,5185283,27580,1836,290608,4008,16.34,103766
23,2859893,79054,24565473,4936495,19,19487,37761,5411333,27580,1836,290608,4008,16.77,103766
24,2985431,82197,25259522,5161911,19,19487,39105,5633145,27580,1836,290608,4008,16.48,103766
25,3117778,85700,27817923,5393956,19,19487,40528,5852515,27580,1836,290608,4008,16.46,103766
26,3246427,88528,26640732,5622267,19,19487,41849,6072714,27580,1836,290608,4008,16.16,103766
27,3384668,91440,29267866,5858859,19,19487,43124,6296649,27580,1836,290608,4008,16.84,103766
28,3514609,94213,29995229,6088223,19,19487,44364,6515380,27580,1836,290608,4008,16.47,103766
29,3643575,97206,28727240,6316019,19,19487,45692,6734233,27580,1836,290608,4008,16.44,103766
30,3784024,100143,29404431,6552025,19,19487,47275,6956153,27580,1836,290608,4008,16.68,103766
31,3929696,103166,30083581,6793305,19,19487,48810,7179830,27580,1836,290608,4008,16.34,103766
32,4072580,106292,30764884,7030674,19,19487,50250,7401763,27580,1836,290608,4008,16.52,103766
33,4201611,109324,33616419,7260964,19,19487,51492,7624697,27580,1836,290608,4008,16.78,103766
34,4329818,112272,32158922,7488173,19,19487,52784,7840935,27580,1836,290608,4008,16.17,103766
35,4462818,115444,32841581,7724069,19,19487,54293,8064835,27580,1836,290608,4008,16.70,103766
36,4581897,118826,33536579,7943973,19,19487,55759,8283267,27580,1836,290608,4008,16.29,103766
37,4705368,121694,36566798,8169988,19,19487,57265,8505384,27580,1836,290608,4008,16.60,103766
38,4827852,124601,37302621,8395606,19,19487,58447,8728016,27580,1836,290608,4008,16.54,103766
39,4953811,127421,35609041,8625266,19,19487,59989,8953693,27580,1836,290608,4008,16.77,103766
40,5072777,130198,36313827,8843600,19,19487,61338,9169128,27580,1836,290608,4008,16.24,103766
41,5194863,133380,37012415,9067240,19,19487,62660,9389379,27580,1836,290608,4008,16.41,103766
42,5316164,135949,37709060,9292402,19,19487,64091,9611872,27580,1836,290608,4008,16.65,103766
43,5437489,138766,38410390,9516205,19,19487,65350,9830313,27580,1836,290608,4008,16.45,103766
44,5557452,141947,39110778,9737006,19,19487,66757,10047894,27580,1836,290608,4008,16.35,103766
45,5678698,144420,39806740,9959728,19,19487,68134,10267618,27580,1836,290608,4008,16.63,103766
46,5793080,147025,40498525,10176742,19,19487,69540,10487457,27580,1836,290608,4008,16.33,103766
47,5916658,149871,41195200,10403805,19,19487,70801,10709026,27580,1836,290608,4008,16.52,103766
48,6037726,153036,41885857,10629243,19,19487,72117,10931082,27580,1836,290608,4008,16.70,103766
49,6159290,155466,42570828,10853216,19,19487,73364,11152389,27580,1836,290608,4008,16.49,103766
50,6274713,158642,43263258,11071032,19,19487,74727,11369446,27580,1836,290608,4008,16.17,103766
51,6395989,161945,43951509,11295363,19,19487,76045,11592182,27580,1836,290608,4008,16.70,103766
52,6513540,165181,47727025,11515672,19,19487,77416,11815972,27580,1836,290608,4008,16.61,103766
53,6629541,168180,45341543,11735206,19,19487,78590,12034324,27580,1836,290608,4008,16.28,103766
54,6753821,171784,46037825,11960980,19,19487,79892,12254651,27580,1836,290608,4008,16.71,103766
55,6871828,174411,49960804,12181634,19,19487,81148,12475282,27580,1836,290608,4008,16.62,103766
56,6988325,177402,47423141,12403850,19,19487,82683,12698789,27580,1836,290608,4008,16.26,103766
57,7107578,180749,48119668,12622728,19,19487,84077,12918548,27580,1836,290608,4008,16.36,103766
58,7226757,183756,48813618,12845688,19,19487,85337,13141371,27580,1836,290608,4008,16.71,103766
59,7342874,186929,49505827,13065769,19,19487,86681,13363667,27580,1836,290608,4008,16.52,103766
60,7458501,190115,50198916,13283735,19,19487,87997,13583546,27580,1836,290608,4008,16.53,103766
61,7578584,193057,54467149,13505950,19,19487,89217,13802226,27580,1836,290608,4008,16.37,103766
62,7709762,195705,51571573,13741822,19,19487,90614,14028802,27580,1836,290608,4008,16.54,103766
63,7846201,198715,55918551,13976250,19,19487,91922,14253610,27580,1836,290608,4008,16.41,103766
64,7985148,201560,52954509,14214049,19,19487,93207,14477705,27580,1836,290608,4008,16.71,103766
65,8113250,203690,53643100,14440795,19,19487,94599,14697031,27580,1836,290608,4008,16.27,103766
66,8238434,206770,54338721,14665840,19,19487,96076,14916072,27580,1836,290608,4008,16.53,103766
67,8372417,209472,55028906,14899880,19,19487,97404,15142659,27580,1836,290608,4008,16.58,103766
68,8502220,212463,59543676,15134936,19,19487,98728,15369342,27580,1836,290608,4008,16.60,103766
69,8629738,215803,60275626,15364453,19,19487,99990,15589668,27580,1836,290608,4008,16.39,103766
70,8758054,218243,57111097,15593119,19,19487,101366,15810655,27580,1836,290608,4008,16.43,103766
71,8885013,220636,57798995,15820044,19,19487,102685,16032689,27580,1836,290608,4008,16.55,103766
72,9025838,223654,58489461,16055955,19,19487,104066,16257787,27580,1836,290608,4008,16.48,103766
73,9157281,227135,59181061,16286644,19,19487,105411,16480618,27580,1836,290608,4008,16.54,103766
74,9283778,229639,59869111,16518423,19,19487,106593,16708028,27580,1836,290608,4008,16.70,103766
75,9396891,232223,60570690,16733168,19,19487,107886,16925738,27580,1836,290608,4008,16.35,103766
76,9511218,235646,65418789,16951613,19,19487,109289,17147529,27580,1836,290608,4008,16.60,103766
77,9626683,238569,66175008,17170882,19,19487,110506,17371553,27580,1836,290608,4008,16.44,103766
78,9747783,241778,62643637,17393342,19,19487,111758,17593962,27580,1836,290608,4008,16.55,103766
79,9865068,244965,67682228,17610282,19,19487,112927,17810009,27580,1836,290608,4008,16.47,103766
80,10010068,247785,68393828,17852543,19,19487,114316,18034091,27580,1836,290608,4008,16.60,103766
81,10146926,250591,64718456,18085636,19,19487,115654,18254656,27580,1836,290608,4008,16.42,103766
82,10279604,253357,65407225,18317230,19,19487,116953,18477214,27580,1836,290608,4008,16.56,103766
83,10420245,255963,66090827,18554605,19,19487,118313,18698275,27580,1836,290608,4008,16.52,103766
84,10562342,258676,66770982,18792508,19,19487,119776,18920384,27580,1836,290608,4008,16.62,103766
85,10695352,261948,67460513,19021029,19,19487,121106,19140489,27580,1836,290608,4008,16.36,103766
86,10831222,265212,68145234,19255971,19,19487,122460,19362290,27580,1836,290608,4008,16.52,103766
87,10967862,268393,73452832,19489972,19,19487,123894,19583685,27580,1836,290608,4008,16.43,103766
