period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,477,737,4335044,9569,18,19510,24536,3734,703196,1881,206992,4152,0.01,99331
1,4433,11078,4518926,13152,18,19510,24536,4949,716227,1881,206992,4152,0.00,99331
2,4433,13722,5505344,14006,18,19510,24536,6133,728377,1881,206992,4152,0.00,99331
3,124105,16312,6197289,266285,18,19510,24536,7214,960018,1881,206992,4152,16.35,99331
4,236555,19501,6894998,518529,18,19510,24536,8492,1192899,1881,206992,4152,16.89,99331
5,346225,22008,7592321,763130,18,19510,24536,9745,1422396,1881,206992,4152,16.34,99331
6,455248,24984,8285873,1056837,18,19510,24536,11035,1656046,1881,206992,4152,16.41,99331
7,564736,28253,8983902,1284074,18,19510,24536,12343,1885612,1881,206992,4152,16.49,99331
8,679840,31141,9665100,1520242,18,19510,24536,13637,2126053,1881,206992,4152,16.72,99331
9,787554,33869,10355878,1746305,18,19510,24536,15056,2354362,1881,206992,4152,16.18,99331
10,896541,37081,11049026,1973907,18,19510,24536,16249,2586106,1881,206992,4152,16.71,99331
11,1007984,41699,11737076,2205701,18,19510,24536,17441,2819257,1881,206992,4152,16.73,99331
12,1114965,44897,12432806,2430362,18,19510,24536,18709,3045233,1881,206992,4152,16.18,99331
13,1224473,48095,13121954,2661234,18,19510,24536,19976,3278125,1881,206992,4152,16.70,99331
14,1332812,50801,15084615,2891903,18,19510,24536,21254,3510512,1881,206992,4152,16.61,99331
15,1441521,54054,14504725,3121393,18,19510,24536,22520,3741388,1881,206992,4152,16.49,99331
16,1551975,57130,15195858,3351171,18,19510,24536,23634,3971512,1881,206992,4152,16.81,99331
17,1665426,59891,15886530,3582001,18,19510,24536,24866,4205177,1881,206992,4152,16.44,99331
18,1773659,63092,16581433,3808098,18,19510,24536,26023,4432761,1881,206992,4152,16.18,99331
19,1885929,66661,18792992,4040563,18,19510,24536,27284,4664735,1881,206992,4152,16.94,99331
20,1996749,70955,17971321,4273092,18,19510,24536,28623,4898608,1881,206992,4152,16.50,99331
21,2107026,74153,18674008,4498283,18,19510,24536,29885,5123284,1881,206992,4152,16.18,99331
22,2219197,76664,19365548,4732056,18,19510,24536,31211,5354587,1881,206992,4152,16.87,99331
23,2328579,79901,20057491,4962197,18,19510,24536,32486,5586277,1881,206992,4152,16.44,99331
24,2437131,82595,20763130,5191544,18,19510,24536,33644,5812481,1881,206992,4152,16.18,99331
25,2548398,85954,21454586,5422153,18,19510,24536,34830,6045027,1881,206992,4152,16.70,99331
26,2659156,89001,22146298,5653426,18,19510,24536,35979,6275986,1881,206992,4152,16.73,99331
27,2766583,91869,22844310,5878223,18,19510,24536,37098,6503205,1881,206992,4152,16.18,99331
28,2878764,95114,25432667,6111382,18,19510,24536,38344,6734356,1881,206992,4152,16.68,99331
29,2989672,99019,24234585,6343096,18,19510,24536,39635,6966252,1881,206992,4152,16.75,99331
30,3094276,101921,24932572,6565707,18,19510,24536,40822,7193322,1881,206992,4152,16.18,99331
31,3205596,105114,27659030,6796623,18,19510,24536,42018,7424406,1881,206992,4152,16.67,99331
32,3319288,108503,26312603,7029614,18,19510,24536,43195,7656919,1881,206992,4152,16.76,99331
33,3427712,114225,27014459,7255067,18,19510,24536,44369,7886955,1881,206992,4152,16.18,99331
34,3535990,117439,27710686,7484692,18,19510,24536,45648,8118161,1881,206992,4152,16.72,99331
35,3648475,120410,30613426,7713988,18,19510,24536,46793,8348031,1881,206992,4152,16.63,99331
36,3758952,122899,29100534,7944307,18,19510,24536,48044,8579980,1881,206992,4152,16.27,99331
37,3869412,128113,32090044,8174992,18,19510,24536,49205,8811594,1881,206992,4152,16.71,99331
38,3984692,131272,30489075,8408237,18,19510,24536,50411,9044862,1881,206992,4152,16.72,99331
39,4092299,133986,31187203,8633936,18,19510,24536,51600,9271908,1881,206992,4152,16.18,99331
40,4203377,137466,31877370,8865464,18,19510,24536,52894,9505012,1881,206992,4152,16.71,99331
41,4312410,140323,35042201,9094673,18,19510,24536,54083,9736131,1881,206992,4152,16.63,99331
42,4424516,144261,33275579,9325208,18,19510,24536,55309,9964795,1881,206992,4152,16.18,99331
43,4537890,146849,33965710,9557434,18,19510,24536,56448,10198499,1881,206992,4152,16.70,99331
44,4648511,150109,37248359,9787032,18,19510,24536,57595,10427973,1881,206992,4152,16.57,99331
45,4756954,153092,35355208,10013941,18,19510,24536,58939,10656407,1881,206992,4152,16.34,99331
