period,wifi,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
0,702275,420,72,99270,4347591,7567,18,19470,24514,3706,1837,290608,4152,0.01
1,716644,4403,11668,99270,4521542,12973,18,19470,24514,5013,1837,290608,4152,0.00
2,730683,4403,14299,99270,5505580,14532,18,19470,24514,6349,1837,290608,4152,0.00
3,946380,84457,16897,99270,6539355,809168,18,19470,24514,7502,1837,290608,4152,15.76
4,1174396,163506,20877,99270,6688551,1648255,18,19470,24514,8764,1837,290608,4152,16.46
5,1399635,241716,24414,99270,6835710,2494839,18,19470,24514,9964,1837,290608,4152,16.34
6,1629883,318293,28199,99270,6963609,3356795,18,19470,24514,11272,1837,290608,4152,16.59
7,1855266,395919,31667,99270,7112281,4197462,18,19470,24514,12443,1837,290608,4152,16.15
8,2079784,472546,35544,99270,7271411,5033180,18,19470,24514,13686,1837,290608,4152,16.01
9,2305152,547596,38806,99270,7425688,5872706,18,19470,24514,15036,1837,290608,4152,16.17
10,2535349,627147,42459,99270,7551992,6731772,18,19470,24514,16300,1837,290608,4152,16.53
11,2744964,698226,45686,99270,7771914,7511067,18,19470,24514,17548,1837,290608,4152,14.96
12,2970253,772504,50078,99270,7944340,8332425,18,19470,24514,18813,1837,290608,4152,15.71
13,3203878,850705,53244,99270,8071897,9205836,18,19470,24514,20054,1837,290608,4152,16.80
14,3429303,925342,56947,99270,8229007,10037692,18,19470,24514,21351,1837,290608,4152,16.00
15,3662965,1005184,60047,99270,8341044,10916013,18,19470,24514,22499,1837,290608,4152,16.94
16,3893373,1085041,63909,99270,8472498,11774548,18,19470,24514,23680,1837,290608,4152,16.63
17,4112795,1159229,67454,99270,8653442,12585797,18,19470,24514,24974,1837,290608,4152,15.52
18,4336407,1232239,71529,99270,8822112,13404966,18,19470,24514,26268,1837,290608,4152,15.80
19,4566145,1307823,74852,99270,8968315,14255309,18,19470,24514,27536,1837,290608,4152,16.36
20,4662230,1335116,78231,99270,18649516,14572465,18,19470,24514,29289,1837,290608,4152,5.62
21,4686634,1337231,81352,99270,19621561,14614673,18,19470,24514,30823,1837,290608,4152,0.29
22,4747383,1352565,84735,99270,11426932,14793307,18,19470,24514,32172,1837,290608,4152,3.01
23,4973682,1426035,88888,99270,11605778,15610739,18,19470,24514,33367,1837,290608,4152,15.68
24,5199158,1498297,91855,99270,22004711,16430756,18,19470,24514,34610,1837,290608,4152,15.76
25,5430125,1569613,95017,99270,11935995,17258217,18,19470,24514,35787,1837,290608,4152,16.01
26,5669104,1646576,98930,99270,12061010,18121561,18,19470,24514,37069,1837,290608,4152,16.67
27,5896629,1720120,102545,99270,12236513,18948201,18,19470,24514,38295,1837,290608,4152,15.87
28,6129452,1794521,105583,99270,12372455,19796132,18,19470,24514,39602,1837,290608,4152,16.38
29,6361602,1866639,109459,99270,12528952,20629909,18,19470,24514,40706,1837,290608,4152,15.99
30,6602260,1941760,112868,99270,12651688,21496101,18,19470,24514,41959,1837,290608,4152,16.73
31,6836861,2015427,116210,99270,12793107,22345980,18,19470,24514,43253,1837,290608,4152,16.36
32,7060688,2088330,119873,99270,12962300,23163914,18,19470,24514,44434,1837,290608,4152,15.86
33,7293855,2165177,123133,99270,13092773,24022523,18,19470,24514,45712,1837,290608,4152,16.64
34,7525002,2239418,126662,99270,13252026,24858163,18,19470,24514,46954,1837,290608,4152,16.18
35,7750537,2313499,130352,99270,13433833,25675097,18,19470,24514,48090,1837,290608,4152,15.71
36,7984359,2386917,134385,99270,13589958,26517203,18,19470,24514,49411,1837,290608,4152,16.29
37,8200250,2457795,137885,99270,31364628,27303814,18,19470,24514,50576,1837,290608,4152,15.16
38,8434322,2531598,141634,99270,32084871,28140767,18,19470,24514,51831,1837,290608,4152,16.12
39,8671338,2606224,144833,99270,14092709,28994660,18,19470,24514,53052,1837,290608,4152,16.37
40,8912387,2680716,148425,99270,14232660,29851216,18,19470,24514,54281,1837,290608,4152,16.51
41,9142004,2753127,152034,99270,34250069,30671146,18,19470,24514,55540,1837,290608,4152,15.76
42,9345515,2817234,155519,99270,14651782,31414074,18,19470,24514,56782,1837,290608,4152,14.28
43,9576303,2892699,158546,99270,35709245,32255844,18,19470,24514,58053,1837,290608,4152,16.11
44,9804801,2964291,161461,99270,14958518,33082214,18,19470,24514,59138,1837,290608,4152,15.94
45,10041642,3040415,164941,99270,37137980,33936018,18,19470,24514,60377,1837,290608,4152,16.41
46,10269638,3115819,168581,99270,37859780,34769273,18,19470,24514,61616,1837,290608,4152,16.02
47,10456479,3176787,171707,99270,38636370,35438435,18,19470,24514,62875,1837,290608,4152,12.73
48,10689275,3250319,175046,99270,15734346,36265701,18,19470,24514,64154,1837,290608,4152,16.11
49,10911722,3324786,178631,99270,15920374,37071919,18,19470,24514,65424,1837,290608,4152,15.54
50,11146946,3400761,182329,99270,16059803,37922191,18,19470,24514,66736,1837,290608,4152,16.49
51,11387806,3477909,186206,99270,16183021,38798695,18,19470,24514,67958,1837,290608,4152,16.88
52,11620333,3553026,189144,99270,16312767,39659958,18,19470,24514,69073,1837,290608,4152,16.72
53,11860522,3630595,193180,99270,16427110,40539436,18,19470,24514,70415,1837,290608,4152,16.95
54,12100400,3708012,196768,99270,16541786,41423635,18,19470,24514,71621,1837,290608,4152,17.11
55,12328828,3783361,200305,99270,16705147,42252706,18,19470,24514,72971,1837,290608,4152,15.95
56,12553451,3855857,203424,99270,16872706,43066070,18,19470,24514,74208,1837,290608,4152,15.76
57,12778765,3930615,207477,99270,17040704,43894738,18,19470,24514,75447,1837,290608,4152,15.88
58,13009399,4005415,211119,99270,46544457,44743339,18,19470,24514,76725,1837,290608,4152,16.29
59,13252317,4081222,214614,99270,17286884,45629788,18,19470,24514,77892,1837,290608,4152,17.03
60,13485828,4154759,218150,99270,17420977,46485293,18,19470,24514,79148,1837,290608,4152,16.52
61,13721898,4230120,221735,99270,17569868,47332944,18,19470,24514,80455,1837,290608,4152,16.23
62,13947341,4304625,224927,99270,49395500,48163723,18,19470,24514,81709,1837,290608,4152,15.91
63,14167923,4374017,228632,99270,17927273,48965635,18,19470,24514,82930,1837,290608,4152,15.42
64,14394815,4449034,231679,99270,50846859,49804033,18,19470,24514,84237,1837,290608,4152,16.03
65,14627503,4524685,234651,99270,18213947,50660519,18,19470,24514,85485,1837,290608,4152,16.54
66,14738154,4553451,238403,99270,52443877,51022188,18,19470,24514,87003,1837,290608,4152,6.49
67,14765483,4555070,241528,99270,53413050,51061460,18,19470,24514,88978,1837,290608,4152,0.22
68,14985597,4626333,245033,99270,20024584,51853976,18,19470,24514,90098,1837,290608,4152,15.20
69,15210248,4700363,248793,99270,20197738,52679460,18,19470,24514,91374,1837,290608,4152,15.82
70,15441462,4777123,252451,99270,20339664,53533458,18,19470,24514,92582,1837,290608,4152,16.51
71,15674483,4854052,255909,99270,20485419,54380787,18,19470,24514,93874,1837,290608,4152,16.36
72,15906452,4932549,259065,99270,20618604,55245281,18,19470,24514,95038,1837,290608,4152,16.74
73,16140042,5009313,262496,99270,20739095,56111968,18,19470,24514,96282,1837,290608,4152,16.77
74,16328299,5069587,265862,99270,21044893,56797808,18,19470,24514,97443,1837,290608,4152,13.10
75,16572698,5147474,269602,99270,21147706,57687479,18,19470,24514,98580,1837,290608,4152,17.10
76,16796851,5220843,273386,99270,21325092,58501154,18,19470,24514,99802,1837,290608,4152,15.61
77,17026569,5296183,276802,99270,60645068,59344399,18,19470,24514,101074,1837,290608,4152,16.18
78,17273028,5373612,280023,99270,21563857,60243259,18,19470,24514,102330,1837,290608,4152,17.33
79,17507194,5448072,283858,99270,21705703,61088500,18,19470,24514,103534,1837,290608,4152,16.23
80,17748636,5524989,287374,99270,21811741,61979361,18,19470,24514,104826,1837,290608,4152,17.13
81,17984120,5602686,290782,99270,21936294,62850603,18,19470,24514,106045,1837,290608,4152,16.73
82,18201245,5672294,294065,99270,22120865,63645279,18,19470,24514,107116,1837,290608,4152,15.30
83,18443112,5748142,297754,99270,22233176,64527988,18,19470,24514,108317,1837,290608,4152,16.95
84,18692813,5827326,300931,99270,22318189,65443261,18,19470,24514,109594,1837,290608,4152,17.58
85,18930552,5903108,304621,99270,66343683,66307159,18,19470,24514,110843,1837,290608,4152,16.52
86,19158033,5976064,307823,99270,22604849,67137848,18,19470,24514,111987,1837,290608,4152,15.96
87,19394221,6052678,310910,99270,22729329,68010237,18,19470,24514,113278,1837,290608,4152,16.62
88,19628614,6126184,314873,99270,22869518,68862399,18,19470,24514,114524,1837,290608,4152,16.27
89,19859919,6198781,317915,99270,23025563,69699043,18,19470,24514,115801,1837,290608,4152,15.98
90,20098189,6273218,321550,99270,23156442,70561777,18,19470,24514,117060,1837,290608,4152,16.51
91,20325390,6346210,325190,99270,70659093,71395116,18,19470,24514,118178,1837,290608,4152,15.88
92,20553807,6420009,329296,99270,23480305,72226494,18,19470,24514,119494,1837,290608,4152,15.84
93,20785769,6494666,333696,99270,23624403,73072271,18,19470,24514,120662,1837,290608,4152,16.12
94,21019176,6570794,336940,99270,72815050,73936703,18,19470,24514,121896,1837,290608,4152,16.43
