period,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,260,539,95769,4869152,8575,18,15769,13577,3776,713305,1823,290608,4148,0.01
1,995,11249,95769,5042563,12678,18,15769,13577,4761,723750,1823,290608,4148,0.00
2,995,13947,95769,6032928,13458,18,15769,13577,5756,731976,1823,290608,4148,0.00
3,68844,16614,95769,6864017,133248,18,15769,13577,6746,855923,1823,290608,4148,7.57
4,135884,19358,95769,7680108,263291,18,15769,13577,7600,992771,1823,290608,4148,8.65
5,205705,22180,95769,8495304,395096,18,15769,13577,8356,1129066,1823,290608,4148,8.65
6,275287,25239,95769,9305602,529790,18,15769,13577,9059,1268573,1823,290608,4148,8.71
7,336016,28291,95769,10144913,646080,18,15769,13577,10007,1388279,1823,290608,4148,7.57
8,413939,31703,95769,10939063,797423,18,15769,13577,10744,1543937,1823,290608,4148,9.85
9,479150,34597,95769,11763294,927748,18,15769,13577,11461,1673187,1823,290608,4148,8.05
10,550370,37635,95769,12570041,1069542,18,15769,13577,12288,1815957,1823,290608,4148,9.13
11,610638,39950,95769,13405983,1189666,18,15769,13577,13339,1938198,1823,290608,4148,7.57
12,670630,43009,95769,14239521,1312809,18,15769,13577,14068,2062577,1823,290608,4148,7.85
13,745709,45629,95769,16227397,1466965,18,15769,13577,14812,2216480,1823,290608,4148,10.05
14,797013,48627,95769,15900756,1564621,18,15769,13577,15749,2313899,1823,290608,4148,5.82
15,848685,51666,95769,16758312,1662030,18,15769,13577,16794,2409147,1823,290608,4148,5.85
16,943705,54719,95769,17551467,1815270,18,15769,13577,17592,2539075,1823,290608,4148,8.59
17,1005175,57841,95769,18417012,1912864,18,15769,13577,18416,2625081,1823,290608,4148,5.39
18,1103318,60956,95769,19207959,2066851,18,15769,13577,19109,2756029,1823,290608,4148,8.67
19,1147576,63711,95769,20105164,2140077,18,15769,13577,20107,2825316,1823,290608,4148,4.03
20,1189437,66390,95769,22421918,2207887,18,15769,13577,21143,2889999,1823,290608,4148,3.82
21,1292352,69395,95769,21800734,2367629,18,15769,13577,21718,3022011,1823,290608,4148,8.86
22,1371213,72325,95769,22638970,2487688,18,15769,13577,22453,3123775,1823,290608,4148,6.68
23,1455572,74886,95769,23452957,2619999,18,15769,13577,23395,3240413,1823,290608,4148,7.42
24,1551596,78008,95769,24252405,2768960,18,15769,13577,24035,3366466,1823,290608,4148,8.31
25,1591985,81119,95769,25160037,2832128,18,15769,13577,24983,3424975,1823,290608,4148,3.50
26,1685925,84214,95769,25966240,2978695,18,15769,13577,25684,3546449,1823,290608,4148,8.20
27,1781248,87006,95769,26752466,3135802,18,15769,13577,26386,3685206,1823,290608,4148,9.01
28,1873207,90104,95769,27515353,3311086,18,15769,13577,27273,3854198,1823,290608,4148,11.05
29,1964718,93299,95769,28293177,3481051,18,15769,13577,28030,4015237,1823,290608,4148,10.65
