period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps,main
0,503,514,4346491,9321,18,19480,24361,703042,3594,1837,290608,4152,0.01,98660
1,4324,11755,4522647,12816,18,19480,24361,716641,4970,1837,290608,4152,0.00,98660
2,4324,14345,5507591,14195,18,19480,24361,730019,6266,1837,290608,4152,0.00,98660
3,19711,16929,6451035,43848,18,19480,24361,775556,7846,1837,290608,4152,1.97,98660
4,102551,19707,7251082,184262,18,19480,24361,925443,9246,1837,290608,4152,10.57,98660
5,159663,22664,8094477,291119,18,19480,24361,1044845,10679,1837,290608,4152,8.15,98660
6,197807,25724,9944495,363525,18,19480,24361,1125847,11991,1837,290608,4152,5.10,98660
7,283774,28463,9755494,531488,18,19480,24361,1299771,13605,1837,290608,4152,12.62,98660
8,360371,31461,10562618,666257,18,19480,24361,1447023,14858,1837,290608,4152,10.28,98660
9,380715,34564,11490607,709416,18,19480,24361,1503846,16345,1837,290608,4152,3.12,98660
10,489378,37528,12229891,904553,18,19480,24361,1699650,17552,1837,290608,4152,14.53,98660
11,493671,40657,13191444,921072,18,19480,24361,1731552,19145,1837,290608,4152,1.03,98660
12,607881,43041,13909484,1129880,18,19480,24361,1941271,20346,1837,290608,4152,15.57,98660
13,612489,46449,14868584,1146594,18,19480,24361,1974672,21968,1837,290608,4152,1.04,98660
14,727075,49177,15589378,1358635,18,19480,24361,2183989,23246,1837,290608,4152,15.56,98660
15,732523,52314,17757857,1375561,18,19480,24361,2215645,24775,1837,290608,4152,1.09,98660
16,828532,55811,17304992,1556161,18,19480,24361,2398816,26035,1837,290608,4152,13.26,98660
17,857392,58718,18205113,1618441,18,19480,24361,2474884,27688,1837,290608,4152,4.35,98660
18,956626,61833,18955433,1799798,18,19480,24361,2659755,29223,1837,290608,4152,13.45,98660
19,960819,65050,19917896,1816009,18,19480,24361,2690428,30679,1837,290608,4152,0.98,98660
20,1078452,68153,20624322,2034140,18,19480,24361,2908458,31898,1837,290608,4152,16.16,98660
21,1124448,71539,21491704,2125264,18,19480,24361,3009961,33206,1837,290608,4152,6.77,98660
22,1195473,74392,22307166,2262183,18,19480,24361,3153050,34769,1837,290608,4152,9.83,98660
23,1250914,77851,23152088,2369794,18,19480,24361,3272254,36619,1837,290608,4152,7.90,98660
24,1307959,80519,23997747,2479503,18,19480,24361,3392589,38225,1837,290608,4152,7.96,98660
25,1372430,83613,24821727,2601802,18,19480,24361,3523608,39876,1837,290608,4152,8.93,98660
26,1429485,86751,25661714,2715022,18,19480,24361,3645292,41414,1837,290608,4152,8.22,98660
27,1485707,89722,26503158,2824241,18,19480,24361,3766107,43109,1837,290608,4152,7.93,98660
28,1545644,92831,27336408,2940097,18,19480,24361,3893128,44856,1837,290608,4152,8.62,98660
29,1600518,95955,28186409,3042257,18,19480,24361,4006271,46490,1837,290608,4152,7.55,98660
30,1662291,99088,29018527,3160624,18,19480,24361,4136099,48108,1837,290608,4152,8.63,98660
31,1721500,102206,29848022,3277795,18,19480,24361,4262802,49653,1837,290608,4152,8.62,98660
32,1777751,105471,32447899,3388993,18,19480,24361,4383937,51367,1837,290608,4152,8.23,98660
33,1836099,108330,31535944,3497714,18,19480,24361,4505427,53140,1837,290608,4152,7.94,98660
34,1897180,111441,32366964,3614442,18,19480,24361,4633197,54911,1837,290608,4152,8.62,98660
35,1949624,114563,33219642,3717570,18,19480,24361,4746540,56593,1837,290608,4152,7.55,98660
36,2003995,117698,34072667,3819408,18,19480,24361,4860324,58186,1837,290608,4152,7.55,98660
37,2072164,120828,34895773,3942788,18,19480,24361,4993486,59714,1837,290608,4152,9.13,98660
38,2128228,123938,35741920,4051226,18,19480,24361,5110039,61347,1837,290608,4152,7.86,98660
39,2191889,127040,36570905,4171076,18,19480,24361,5240938,62868,1837,290608,4152,8.87,98660
40,2249174,129699,39400112,4280142,18,19480,24361,5360860,64509,1837,290608,4152,8.08,98660
41,2309642,132826,40267088,4389289,18,19480,24361,5480930,66015,1837,290608,4152,8.14,98660
42,2372461,135692,39094226,4505948,18,19480,24361,5606793,67556,1837,290608,4152,8.58,98660
43,2434224,138673,39929380,4622826,18,19480,24361,5733661,69035,1837,290608,4152,8.62,98660
44,2484178,141793,40782460,4721655,18,19480,24361,5845187,70790,1837,290608,4152,7.30,98660
45,2548269,144435,41609357,4843952,18,19480,24361,5976649,72321,1837,290608,4152,8.87,98660
46,2603068,147564,42458630,4947444,18,19480,24361,6089639,73804,1837,290608,4152,7.55,98660
47,2665017,150169,43287925,5065696,18,19480,24361,6218386,75408,1837,290608,4152,8.62,98660
48,2724065,153304,44115417,5182110,18,19480,24361,6346827,77156,1837,290608,4152,8.62,98660
49,2777429,156418,44960680,5285458,18,19480,24361,6461814,78733,1837,290608,4152,7.55,98660
50,2838490,159546,45794666,5403251,18,19480,24361,6590741,80317,1837,290608,4152,8.62,98660
51,2894159,162682,46648088,5505645,18,19480,24361,6701882,81818,1837,290608,4152,7.55,98660
52,2955552,165366,47476873,5623268,18,19480,24361,6831252,83532,1837,290608,4152,8.62,98660
53,3017048,168493,48308641,5741133,18,19480,24361,6960462,85392,1837,290608,4152,8.62,98660
54,3076728,171953,49142891,5856274,18,19480,24361,7086663,87140,1837,290608,4152,8.58,98660
55,3135307,174534,52449363,5969266,18,19480,24361,7212116,88752,1837,290608,4152,8.15,98660
56,3191152,177487,50825039,6078984,18,19480,24361,7331638,90182,1837,290608,4152,8.07,98660
57,3242025,180602,51675763,6181570,18,19480,24361,7446167,91755,1837,290608,4152,7.55,98660
58,3303651,183735,52502322,6299438,18,19480,24361,7576021,93571,1837,290608,4152,8.62,98660
59,3363414,187117,53339462,6415277,18,19480,24361,7704624,95163,1837,290608,4152,8.49,98660
60,3425458,189751,54172043,6533628,18,19480,24361,7832483,96847,1837,290608,4152,8.75,98660
61,3479050,192728,55025412,6632892,18,19480,24361,7944149,98562,1837,290608,4152,7.55,98660
62,3540087,195862,55856704,6751315,18,19480,24361,8072981,100157,1837,290608,4152,8.62,98660
63,3600155,198969,56689599,6867164,18,19480,24361,8201158,101812,1837,290608,4152,8.62,98660
64,3652188,202075,57541693,6969176,18,19480,24361,8314763,103526,1837,290608,4152,7.55,98660
65,3708846,205508,61161048,7078940,18,19480,24361,8436501,104960,1837,290608,4152,8.01,98660
66,3766461,207967,59223933,7190654,18,19480,24361,8557423,106706,1837,290608,4152,8.16,98660
67,3827148,210849,60054847,7307054,18,19480,24361,8686147,108339,1837,290608,4152,8.62,98660
68,3888103,213976,60889323,7423934,18,19480,24361,8812077,109973,1837,290608,4152,8.62,98660
69,3947938,217191,61725949,7538607,18,19480,24361,8939815,111677,1837,290608,4152,8.62,98660
70,4002447,219969,62576491,7642876,18,19480,24361,9055543,113309,1837,290608,4152,7.55,98660
71,4054856,223091,63423686,7747089,18,19480,24361,9172269,114954,1837,290608,4152,7.55,98660
72,4119892,226219,64245886,7874033,18,19480,24361,9308286,116372,1837,290608,4152,9.32,98660
73,4174433,229329,65088889,7982766,18,19480,24361,9425997,118025,1837,290608,4152,7.93,98660
74,4235833,232454,65919306,8100025,18,19480,24361,9555680,119814,1837,290608,4152,8.62,98660
75,4293996,235995,69857714,8210108,18,19480,24361,9678017,121397,1837,290608,4152,8.16,98660
76,4349922,238940,67603218,8320084,18,19480,24361,9798070,123142,1837,290608,4152,8.01,98660
77,4404011,241299,68457726,8422427,18,19480,24361,9911312,124709,1837,290608,4152,7.55,98660
78,4465243,244416,69295220,8539736,18,19480,24361,10037998,126258,1837,290608,4152,8.62,98660
79,4523567,247788,70131602,8655220,18,19480,24361,10164608,127835,1837,290608,4152,8.55,98660
80,4582811,250107,70974711,8766286,18,19480,24361,10285919,129388,1837,290608,4152,8.11,98660
81,4639398,253221,71813911,8877805,18,19480,24361,10407794,131102,1837,290608,4152,8.13,98660
82,4699897,255696,72649699,8997165,18,19480,24361,10535236,132677,1837,290608,4152,8.62,98660
83,4760523,258815,73479574,9116373,18,19480,24361,10665346,134287,1837,290608,4152,8.62,98660
84,4813791,261931,74329740,9219846,18,19480,24361,10780107,135906,1837,290608,4152,7.55,98660
85,4870956,265062,75170060,9332111,18,19480,24361,10902659,137482,1837,290608,4152,8.14,98660
86,4929458,267680,76011584,9445115,18,19480,24361,11024817,138937,1837,290608,4152,8.03,98660
87,4996190,270524,76838633,9573598,18,19480,24361,11163526,140387,1837,290608,4152,9.38,98660
88,5053316,273486,77684316,9679217,18,19480,24361,11282340,142350,1837,290608,4152,7.68,98660
89,5101283,276496,78547620,9774129,18,19480,24361,11386378,144017,1837,290608,4152,6.95,98660
90,5173638,279116,79360747,9912689,18,19480,24361,11532660,145350,1837,290608,4152,9.95,98660
91,5229176,282048,80202611,10021878,18,19480,24361,11653332,147061,1837,290608,4152,7.89,98660
92,5284630,285180,81050998,10126938,18,19480,24361,11768197,148738,1837,290608,4152,7.55,98660
93,5348828,288450,85493234,10251934,18,19480,24361,11902726,150276,1837,290608,4152,9.19,98660
94,5406779,291238,82712176,10361796,18,19480,24361,12024727,152015,1837,290608,4152,8.06,98660
95,5467960,294354,83541670,10481121,18,19480,24361,12153191,153374,1837,290608,4152,8.62,98660
96,5524761,297650,84378680,10592972,18,19480,24361,12275701,155071,1837,290608,4152,8.33,98660
97,5582463,300287,85229188,10699632,18,19480,24361,12391964,156712,1837,290608,4152,7.84,98660
98,5634533,303299,86077744,10803523,18,19480,24361,12508494,158346,1837,290608,4152,7.55,98660
99,5696298,306599,86904493,10922743,18,19480,24361,12639152,160064,1837,290608,4152,8.62,98660
100,5757087,309902,87734804,11039311,18,19480,24361,12768440,161681,1837,290608,4152,8.62,98660
101,5817702,313187,88567175,11156938,18,19480,24361,12896922,163374,1837,290608,4152,8.62,98660
102,5875323,316849,89409246,11266392,18,19480,24361,13016741,165001,1837,290608,4152,8.24,98660
103,5931579,319480,90255541,11374471,18,19480,24361,13136439,166556,1837,290608,4152,7.93,98660
104,5991737,322770,91086584,11492468,18,19480,24361,13264932,168248,1837,290608,4152,8.62,98660
105,6047467,326062,91938489,11593693,18,19480,24361,13378150,169897,1837,290608,4152,7.55,98660
106,6108402,329361,92767313,11710993,18,19480,24361,13507494,171554,1837,290608,4152,8.62,98660
107,6169111,332670,97664290,11826969,18,19480,24361,13633285,173216,1837,290608,4152,8.61,98660
108,6223596,335573,94451770,11931730,18,19480,24361,13750054,174926,1837,290608,4152,7.55,98660
109,6285239,338864,95284324,12049075,18,19480,24361,13878398,176586,1837,290608,4152,8.62,98660
110,6347042,342154,96113677,12169621,18,19480,24361,14009402,178155,1837,290608,4152,8.62,98660
111,6399405,345449,96963596,12272325,18,19480,24361,14122892,179827,1837,290608,4152,7.55,98660
112,6459189,348750,97795163,12389147,18,19480,24361,14250531,181370,1837,290608,4152,8.62,98660
113,6521897,352032,98628868,12505055,18,19480,24361,14375622,182811,1837,290608,4152,8.62,98660
114,6574913,355322,99482140,12607478,18,19480,24361,14489744,184421,1837,290608,4152,7.55,98660
115,6635722,358618,100312568,12724154,18,19480,24361,14615954,185965,1837,290608,4152,8.62,98660
116,6691100,362385,101155575,12832980,18,19480,24361,14735578,187644,1837,290608,4152,7.94,98660
117,6750642,365666,106368120,12948703,18,19480,24361,14860738,189200,1837,290608,4152,8.42,98660
118,6810914,368704,102835719,13061347,18,19480,24361,14983139,190783,1837,290608,4152,8.22,98660
119,6862690,371219,103706213,13157799,18,19480,24361,15084917,191968,1837,290608,4152,6.80,98660
120,6931355,374504,104531487,13283632,18,19480,24361,15215829,193135,1837,290608,4152,9.43,98660
121,6980692,377789,105381525,13386209,18,19480,24361,15329658,194878,1837,290608,4152,7.44,98660
122,7001045,381084,106312307,13425684,18,19480,24361,15381557,196443,1837,290608,4152,2.56,98660
123,7092106,384320,107074370,13599263,18,19480,24361,15559877,197969,1837,290608,4152,12.98,98660
124,7122138,387707,107982407,13657008,18,19480,24361,15628220,199343,1837,290608,4152,4.03,98660
125,7179097,390888,108826414,13767427,18,19480,24361,15743869,200500,1837,290608,4152,8.15,98660
126,7222765,393944,109691950,13857495,18,19480,24361,15842569,202044,1837,290608,4152,6.50,98660
127,7224275,397243,110665758,13863446,18,19480,24361,15862312,203500,1837,290608,4152,0.19,98660
128,7358334,400535,111335740,14101460,18,19480,24361,16108996,204743,1837,290608,4152,18.52,98660
129,7452862,403919,112092836,14274432,18,19480,24361,16294806,206298,1837,290608,4152,13.28,98660
130,7481229,406751,113005948,14331485,18,19480,24361,16364092,207910,1837,290608,4152,3.98,98660
131,7540672,410043,113850976,14442870,18,19480,24361,16482038,209349,1837,290608,4152,8.09,98660
132,7606595,413333,114670854,14571542,18,19480,24361,16617733,210816,1837,290608,4152,9.56,98660
133,7627847,416631,115598869,14612144,18,19480,24361,16671374,212315,1837,290608,4152,2.79,98660
134,7748546,419373,116295570,14839515,18,19480,24361,16899865,213635,1837,290608,4152,16.99,98660
135,7778434,422775,117194076,14902627,18,19480,24361,16977192,215253,1837,290608,4152,4.49,98660
136,7800435,426352,123073371,14944684,18,19480,24361,17032320,216759,1837,290608,4152,2.95,98660
137,7919963,429297,118822670,15171849,18,19480,24361,17260173,218056,1837,290608,4152,16.92,98660
138,7986973,432377,119656003,15293844,18,19480,24361,17389088,219613,1837,290608,4152,8.99,98660
139,8051950,435150,120486818,15416991,18,19480,24361,17517388,221318,1837,290608,4152,8.87,98660
140,8064398,438443,121428586,15447409,18,19480,24361,17563919,222955,1837,290608,4152,2.00,98660
141,8129058,441745,122255978,15566928,18,19480,24361,17691129,224418,1837,290608,4152,8.78,98660
142,8196704,444584,123074168,15699900,18,19480,24361,17831281,226037,1837,290608,4152,9.74,98660
143,8222512,448052,129145578,15749155,18,19480,24361,17891979,227556,1837,290608,4152,3.55,98660
144,8328697,451024,124722758,15952838,18,19480,24361,18101099,229100,1837,290608,4152,15.17,98660
145,8352734,454705,125644683,15998896,18,19480,24361,18160178,230542,1837,290608,4152,3.16,98660
146,8447050,457490,126399841,16180099,18,19480,24361,18346914,231936,1837,290608,4152,13.34,98660
147,8509274,460970,132515374,16295022,18,19480,24361,18468774,233335,1837,290608,4152,8.63,98660
148,8540819,463921,128138132,16361652,18,19480,24361,18546963,234923,1837,290608,4152,4.69,98660
149,8626813,467309,128918867,16516602,18,19480,24361,18713544,236085,1837,290608,4152,11.86,98660
150,8656277,471043,135197805,16568197,18,19480,24361,18780088,237567,1837,290608,4152,3.73,98660
151,8734725,474124,130614933,16724803,18,19480,24361,18941391,239158,1837,290608,4152,11.76,98660
152,8782208,477582,131484092,16813435,18,19480,24361,19043257,240608,1837,290608,4152,6.63,98660
153,8849486,480964,132313062,16931355,18,19480,24361,19169801,242050,1837,290608,4152,8.91,98660
