period,wifi,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
0,703594,553,1393,99251,3532807,10871,19,19470,24142,3709,1836,290608,4152,0.02
1,715160,6066,11902,99251,4527247,12415,19,19470,24142,4937,1836,290608,4152,0.00
2,728953,6066,14586,99251,5512205,15456,19,19470,24142,6217,1836,290608,4152,0.00
3,955948,85134,17553,99251,6219334,830769,19,19470,24142,7469,1836,290608,4152,16.25
4,1188847,162656,20404,99251,6664005,1668625,19,19470,24142,8780,1836,290608,4152,16.80
5,1426300,240727,24635,99251,6802756,2529102,19,19470,24142,10043,1836,290608,4152,16.91
6,1656438,313059,27693,99251,6974597,3349297,19,19470,24142,11283,1836,290608,4152,16.12
7,1894623,389446,31668,99251,9086607,4204267,19,19470,24142,12508,1836,290608,4152,16.82
8,2127699,463080,34678,99251,7265037,5045579,19,19470,24142,13797,1836,290608,4152,16.49
9,2375822,540808,38398,99251,7372930,5931686,19,19470,24142,14831,1836,290608,4152,17.43
10,2580960,615905,41777,99251,7604099,6689408,19,19470,24142,16091,1836,290608,4152,14.83
11,2797461,691115,45322,99251,11979026,7500422,19,19470,24142,17311,1836,290608,4152,15.75
12,2952441,738817,48374,99251,8249227,8034485,19,19470,24142,18782,1836,290608,4152,10.39
13,3195404,816396,52054,99251,8358287,8913275,19,19470,24142,20124,1836,290608,4152,17.28
14,3430110,890558,55720,99251,14198282,9760120,19,19470,24142,21367,1836,290608,4152,16.58
15,3656805,960175,58786,99251,8675009,10568256,19,19470,24142,22548,1836,290608,4152,16.03
16,3885400,1035619,62226,99251,8842600,11389744,19,19470,24142,23832,1836,290608,4152,16.16
17,4126687,1111861,65934,99251,8974068,12258419,19,19470,24142,25096,1836,290608,4152,17.03
18,4359295,1188421,69209,99251,17073255,13095365,19,19470,24142,26274,1836,290608,4152,16.42
19,4597035,1262390,72607,99251,9277738,13942841,19,19470,24142,27479,1836,290608,4152,16.68
20,4828371,1339294,76062,99251,9429134,14785143,19,19470,24142,28657,1836,290608,4152,16.51
21,5058095,1415389,79591,99251,9579720,15626703,19,19470,24142,29818,1836,290608,4152,16.48
22,5288897,1490670,82832,99251,9739946,16463257,19,19470,24142,31021,1836,290608,4152,16.34
23,5516830,1563258,86717,99251,9905700,17287023,19,19470,24142,32210,1836,290608,4152,16.13
24,5754255,1640072,90859,99251,10027028,18151502,19,19470,24142,33375,1836,290608,4152,16.88
25,5980563,1715192,94525,99251,10193722,18976866,19,19470,24142,34618,1836,290608,4152,16.02
26,6212818,1790489,98029,99251,10345627,19817711,19,19470,24142,35842,1836,290608,4152,16.33
27,6450997,1865015,101646,99251,10475566,20682453,19,19470,24142,37118,1836,290608,4152,16.93
28,6689265,1940975,104860,99251,10609985,21535940,19,19470,24142,38346,1836,290608,4152,16.60
29,6903589,2008855,108091,99251,10835740,22307186,19,19470,24142,39532,1836,290608,4152,15.03
30,7139855,2085308,111762,99251,10971689,23170221,19,19470,24142,40749,1836,290608,4152,16.86
31,7366956,2159155,115149,99251,11134525,23993907,19,19470,24142,41988,1836,290608,4152,16.06
32,7609519,2236332,118602,99251,11242028,24878804,19,19470,24142,43174,1836,290608,4152,17.33
33,7843457,2313555,121803,99251,11373250,25735486,19,19470,24142,44438,1836,290608,4152,16.74
34,8046673,2379204,125516,99251,28624141,26467488,19,19470,24142,45867,1836,290608,4152,14.15
35,8159752,2412657,128856,99251,12282400,26823111,19,19470,24142,47330,1836,290608,4152,6.80
36,8319937,2465519,132650,99251,12730684,27370793,19,19470,24142,48816,1836,290608,4152,10.60
37,8556044,2543013,136337,99251,12862455,28230321,19,19470,24142,50053,1836,290608,4152,16.89
38,8794344,2619952,140243,99251,12997083,29096057,19,19470,24142,51260,1836,290608,4152,16.98
39,9034090,2697149,143485,99251,32427236,29965436,19,19470,24142,52562,1836,290608,4152,16.97
40,9268389,2774105,147006,99251,13264944,30818628,19,19470,24142,53682,1836,290608,4152,16.85
41,9509178,2853155,150513,99251,13376711,31709148,19,19470,24142,54973,1836,290608,4152,17.47
42,9740966,2929313,154506,99251,13533612,32547161,19,19470,24142,56196,1836,290608,4152,16.36
43,9976422,3008667,158023,99251,13663939,33407075,19,19470,24142,57487,1836,290608,4152,16.83
44,10213965,3083649,161078,99251,13798575,34266624,19,19470,24142,58684,1836,290608,4152,16.89
45,10410236,3150414,164278,99251,14066123,34984651,19,19470,24142,59948,1836,290608,4152,14.01
46,10636776,3225269,168208,99251,14220705,35819900,19,19470,24142,61145,1836,290608,4152,16.42
47,10861541,3296930,171580,99251,14416760,36619844,19,19470,24142,62401,1836,290608,4152,15.66
