period,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,8741,411,0,100591,4448382,18,19423,23592,3555,705017,1814,290608,4152,0.01
1,11755,780,8269,100591,4619689,18,19423,23592,4697,717463,1814,290608,4152,0.00
2,12601,780,10875,100591,5605767,18,19423,23592,5809,728891,1814,290608,4152,0.00
3,117045,58952,13454,100591,6450345,18,19423,23592,7408,843032,1814,290608,4152,7.55
4,252052,129221,16236,100591,7257794,18,19423,23592,8992,983898,1814,290608,4152,9.70
5,375050,194096,19171,100591,8080756,18,19423,23592,10633,1114018,1814,290608,4152,8.63
6,497568,258623,21658,100591,8909556,18,19423,23592,12155,1242397,1814,290608,4152,8.63
7,618686,324156,24712,100591,9743655,18,19423,23592,13643,1366897,1814,290608,4152,8.63
8,740966,389769,27757,100591,10569349,18,19423,23592,15210,1495821,1814,290608,4152,8.63
9,863182,454892,30816,100591,11395107,18,19423,23592,16515,1622910,1814,290608,4152,8.63
10,974421,513420,33975,100591,13355720,18,19423,23592,18038,1741670,1814,290608,4152,8.09
11,1107029,585583,36540,100591,13051984,18,19423,23592,19459,1879145,1814,290608,4152,9.17
12,1226551,648480,39582,100591,13881365,18,19423,23592,20942,2005165,1814,290608,4152,8.63
13,1345401,711410,42919,100591,14710999,18,19423,23592,22520,2132906,1814,290608,4152,8.62
14,1467579,775027,45503,100591,15538169,18,19423,23592,24061,2261731,1814,290608,4152,8.63
15,1593237,843505,48553,100591,16362003,18,19423,23592,25483,2389550,1814,290608,4152,8.86
16,1720732,910203,51592,100591,17179251,18,19423,23592,26968,2523475,1814,290608,4152,9.15
17,1840085,973179,54722,100591,18010401,18,19423,23592,28358,2647229,1814,290608,4152,8.56
18,1960778,1036205,58102,100591,18840285,18,19423,23592,29871,2775626,1814,290608,4152,8.72
19,2085744,1103430,61350,100591,21094205,18,19423,23592,31514,2904821,1814,290608,4152,8.91
20,2195575,1160664,63905,100591,21970264,18,19423,23592,32997,3020288,1814,290608,4152,7.65
21,2330278,1231360,66883,100591,22812800,18,19423,23592,34395,3159957,1814,290608,4152,9.60
22,2437545,1291302,69727,100591,22175715,18,19423,23592,35870,3271551,1814,290608,4152,7.55
