period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,239,257,4334892,9178,19,19475,22358,3439,707330,1836,290608,4152,0.01,97562
1,1606,11367,4513160,12836,19,19475,22358,4597,720591,1836,290608,4152,0.00,97562
2,1606,13974,5498826,13715,19,19475,22358,5831,733257,1836,290608,4152,0.00,97562
3,128821,16568,6187914,241261,19,19475,22358,7088,958984,1836,290608,4152,16.24,97562
4,249721,19364,6876295,476974,19,19475,22358,8425,1184571,1836,290608,4152,16.78,97562
5,369097,22035,7569982,708100,19,19475,22358,9722,1405568,1836,290608,4152,16.48,97562
6,487007,25043,8269051,936820,19,19475,22358,10958,1627195,1836,290608,4152,16.18,97562
7,606400,28398,8961443,1171227,19,19475,22358,12460,1850270,1836,290608,4152,16.82,97562
8,725115,31387,9654152,1402196,19,19475,22358,13764,2073140,1836,290608,4152,16.27,97562
9,849513,33927,10355842,1635842,19,19475,22358,15046,2291920,1836,290608,4152,16.20,97562
10,972339,37454,12213023,1869513,19,19475,22358,16441,2514507,1836,290608,4152,16.71,97562
11,1089924,40855,11743752,2102416,19,19475,22358,17824,2737536,1836,290608,4152,16.63,97562
12,1212083,43509,12435267,2334373,19,19475,22358,19132,2957867,1836,290608,4152,16.32,97562
13,1334658,46383,14420141,2570525,19,19475,22358,20520,3183125,1836,290608,4152,16.64,97562
14,1455923,49380,13816133,2798311,19,19475,22358,21933,3397410,1836,290608,4152,16.11,97562
15,1579867,52038,14511440,3026756,19,19475,22358,23365,3607720,1836,290608,4152,15.32,97562
16,1694156,55063,15240328,3229695,19,19475,22358,24835,3795809,1836,290608,4152,13.68,97562
17,1799005,58272,15992109,3414510,19,19475,22358,26453,3966117,1836,290608,4152,12.30,97562
18,1923653,61469,16695879,3635429,19,19475,22358,27808,4166551,1836,290608,4152,14.86,97562
19,2051415,64119,17392760,3864026,19,19475,22358,29271,4374516,1836,290608,4152,15.39,97562
20,2168006,67197,19729309,4071043,19,19475,22358,30713,4566198,1836,290608,4152,14.06,97562
21,2286976,70180,20487818,4282665,19,19475,22358,31999,4758872,1836,290608,4152,14.32,97562
22,2413014,73171,21236789,4506511,19,19475,22358,33499,4960816,1836,290608,4152,14.91,97562
23,2544868,76195,20229540,4738446,19,19475,22358,34962,5171811,1836,290608,4152,15.27,97562
24,2675805,78818,20926777,4968409,19,19475,22358,36235,5383060,1836,290608,4152,15.39,97562
25,2804213,82056,21629169,5194929,19,19475,22358,37710,5587497,1836,290608,4152,15.33,97562
26,2927202,84905,24205471,5409221,19,19475,22358,39129,5781465,1836,290608,4152,14.46,97562
27,3055809,88272,23046881,5639898,19,19475,22358,40600,5989359,1836,290608,4152,15.47,97562
28,3175974,90787,23754227,5853536,19,19475,22358,42066,6184823,1836,290608,4152,14.49,97562
29,3297548,93703,24463156,6071404,19,19475,22358,43444,6383573,1836,290608,4152,14.68,97562
30,3425340,96753,25161304,6295762,19,19475,22358,44912,6584234,1836,290608,4152,14.83,97562
31,3531166,99308,25910077,6481703,19,19475,22358,46366,6755801,1836,290608,4152,12.31,97562
32,3536065,102528,26871759,6497942,19,19475,22358,48080,6787615,1836,290608,4152,0.96,97562
33,3644804,105657,27610138,6689019,19,19475,22358,49504,6963311,1836,290608,4152,12.64,97562
34,3773480,108957,30523129,6920185,19,19475,22358,51022,7173150,1836,290608,4152,15.37,97562
35,3902845,111646,29005099,7146511,19,19475,22358,52419,7378975,1836,290608,4152,15.24,97562
36,4050958,114997,29679415,7404775,19,19475,22358,53803,7608384,1836,290608,4152,16.81,97562
37,4205237,117444,30339490,7669571,19,19475,22358,55133,7846763,1836,290608,4152,17.45,97562
38,4367740,120856,33309966,7947758,19,19475,22358,56503,8088799,1836,290608,4152,18.25,97562
39,4504318,124168,34021987,8204452,19,19475,22358,57896,8325407,1836,290608,4152,17.53,97562
40,4650071,126775,32321528,8472529,19,19475,22358,59348,8572974,1836,290608,4152,18.54,97562
41,4798204,129742,35376833,8760324,19,19475,22358,60782,8843794,1836,290608,4152,20.78,97562
42,4945499,132253,33576920,9045714,19,19475,22358,62054,9112594,1836,290608,4152,20.41,97562
43,5088889,135052,34221939,9319424,19,19475,22358,63357,9368074,1836,290608,4152,19.54,97562
44,5230038,138056,34859331,9595223,19,19475,22358,64755,9627385,1836,290608,4152,19.72,97562
45,5360715,141011,38136495,9850378,19,19475,22358,66145,9870136,1836,290608,4152,18.09,97562
46,5502170,144087,36167734,10127668,19,19475,22358,67718,10125813,1836,290608,4152,19.66,97562
47,5642683,147265,36809970,10402108,19,19475,22358,69133,10381940,1836,290608,4152,19.47,97562
48,5787072,149924,37447953,10682849,19,19475,22358,70502,10645737,1836,290608,4152,20.11,97562
49,5929390,152889,38090230,10958174,19,19475,22358,71902,10905597,1836,290608,4152,19.66,97562
50,6068875,155920,41574924,11227758,19,19475,22358,73349,11158263,1836,290608,4152,19.01,97562
51,6156435,158847,39495538,11407825,19,19475,22358,74857,11335172,1836,290608,4152,12.91,97562
52,6183299,162117,40407115,11462455,19,19475,22358,76410,11400312,1836,290608,4152,3.49,97562
53,6326922,165022,41042756,11738826,19,19475,22358,77707,11661062,1836,290608,4152,19.68,97562
54,6469706,168244,41676743,12019000,19,19475,22358,78937,11927711,1836,290608,4152,20.07,97562
55,6602565,171222,42343527,12268217,19,19475,22358,80370,12160081,1836,290608,4152,17.51,97562
56,6748936,174069,46105392,12527844,19,19475,22358,81829,12393012,1836,290608,4152,17.17,97562
57,6903416,177449,46800312,12799732,19,19475,22358,83089,12633454,1836,290608,4152,18.10,97562
58,7053083,180368,44313126,13064134,19,19475,22358,84507,12870577,1836,290608,4152,17.80,97562
59,7195148,183703,48187902,13326535,19,19475,22358,85793,13110022,1836,290608,4152,18.00,97562
60,7329126,186871,48906788,13578854,19,19475,22358,87167,13339726,1836,290608,4152,16.86,97562
61,7477188,189773,46308736,13837942,19,19475,22358,88672,13571462,1836,290608,4152,17.41,97562
62,7631834,192751,46957788,14111947,19,19475,22358,89890,13819448,1836,290608,4152,18.39,97562
63,7785933,196092,50958591,14396513,19,19475,22358,91186,14078804,1836,290608,4152,19.63,97562
64,7929337,199422,48225978,14673099,19,19475,22358,92596,14341283,1836,290608,4152,19.69,97562
65,8063722,202672,48901552,14916188,19,19475,22358,94024,14563594,1836,290608,4152,16.44,97562
66,8207024,205288,49574370,15168396,19,19475,22358,95590,14788361,1836,290608,4152,16.68,97562
67,8354899,208161,50230393,15432090,19,19475,22358,96928,15030848,1836,290608,4152,18.03,97562
68,8468062,211347,50939822,15647839,19,19475,22358,98313,15235941,1836,290608,4152,14.96,97562
69,8578310,213924,51666156,15856267,19,19475,22358,99765,15433254,1836,290608,4152,14.44,97562
70,8727086,217130,55966380,16138569,19,19475,22358,101191,15697769,1836,290608,4152,20.08,97562
71,8861723,220188,56669061,16405078,19,19475,22358,102639,15950229,1836,290608,4152,19.27,97562
72,8998230,223310,53628571,16650079,19,19475,22358,103987,16169755,1836,290608,4152,16.42,97562
73,9143288,226352,54289409,16911652,19,19475,22358,105452,16407094,1836,290608,4152,17.46,97562
74,9292333,229385,54949381,17177156,19,19475,22358,106894,16646101,1836,290608,4152,17.97,97562
75,9438375,232783,55592050,17450777,19,19475,22358,108413,16898354,1836,290608,4152,18.95,97562
76,9586422,235671,56231253,17725748,19,19475,22358,109929,17152997,1836,290608,4152,19.11,97562
77,9707701,238334,56910893,17964245,19,19475,22358,111183,17379576,1836,290608,4152,17.20,97562
78,9829991,240995,61619807,18195131,19,19475,22358,112504,17597607,1836,290608,4152,16.27,97562
79,9943439,243905,58326889,18408305,19,19475,22358,113811,17798548,1836,290608,4152,14.72,97562
80,9996123,246839,59193786,18503530,19,19475,22358,115335,17895634,1836,290608,4152,6.08,97562
81,10142084,250046,59866176,18759098,19,19475,22358,116949,18124943,1836,290608,4152,16.86,97562
82,10302476,252595,60523501,19038745,19,19475,22358,118347,18369975,1836,290608,4152,18.42,97562
83,10445918,255805,65313370,19306819,19,19475,22358,120015,18615679,1836,290608,4152,18.60,97562
84,10576737,258635,61844848,19552701,19,19475,22358,121327,18845067,1836,290608,4152,17.11,97562
85,10718807,261038,62516169,19803191,19,19475,22358,122814,19069483,1836,290608,4152,16.71,97562
86,10859313,263389,63184608,20054977,19,19475,22358,124312,19295008,1836,290608,4152,16.96,97562
87,11008014,265979,63834493,20321210,19,19475,22358,125718,19529843,1836,290608,4152,17.61,97562
88,11159181,268839,64491505,20592679,19,19475,22358,127268,19769741,1836,290608,4152,17.97,97562
89,11305505,271923,69553800,20857268,19,19475,22358,128680,20010860,1836,290608,4152,18.17,97562
90,11440035,275009,65830658,21101822,19,19475,22358,129992,20238969,1836,290608,4152,16.87,97562
91,11566765,277650,66519556,21338741,19,19475,22358,131279,20460496,1836,290608,4152,16.29,97562
92,11696340,280857,71715578,21587278,19,19475,22358,132585,20693313,1836,290608,4152,17.59,97562
93,11829443,283962,67880710,21827905,19,19475,22358,133976,20911855,1836,290608,4152,16.44,97562
94,11972757,286493,73144869,22081231,19,19475,22358,135391,21141285,1836,290608,4152,17.04,97562
95,12117931,289313,69215822,22340618,19,19475,22358,136868,21374605,1836,290608,4152,17.27,97562
96,12254757,292225,69890143,22586533,19,19475,22358,138328,21597347,1836,290608,4152,16.60,97562
97,12395453,295076,70566824,22833441,19,19475,22358,139752,21820466,1836,290608,4152,16.51,97562
98,12534853,297948,76001457,23083531,19,19475,22358,141150,22046807,1836,290608,4152,16.65,97562
99,12658704,300988,71942746,23322642,19,19475,22358,142529,22269805,1836,290608,4152,16.47,97562
100,12778160,304428,72630105,23554143,19,19475,22358,144006,22489903,1836,290608,4152,16.44,97562
101,12848882,307114,73428256,23700445,19,19475,22358,145610,22638820,1836,290608,4152,10.13,97562
102,12867964,310636,74361496,23737911,19,19475,22358,147250,22688026,1836,290608,4152,2.30,97562
103,13009629,313930,75008819,24008393,19,19475,22358,148477,22942994,1836,290608,4152,19.27,97562
104,13152780,317388,75649914,24283952,19,19475,22358,149883,23201260,1836,290608,4152,19.70,97562
105,13288879,320078,76298827,24549455,19,19475,22358,151329,23452793,1836,290608,4152,18.80,97562
106,13432122,323014,82036168,24824690,19,19475,22358,152728,23709320,1836,290608,4152,19.57,97562
107,13569281,325693,77598343,25089867,19,19475,22358,154157,23956583,1836,290608,4152,18.74,97562
108,13689021,328485,78296038,25317156,19,19475,22358,155378,24170117,1836,290608,4152,15.82,97562
109,13837099,331610,78949920,25588469,19,19475,22358,156809,24417604,1836,290608,4152,18.62,97562
110,13983100,334278,79604092,25858936,19,19475,22358,158154,24665385,1836,290608,4152,18.44,97562
111,14118378,337583,80284468,26106597,19,19475,22358,159631,24891314,1836,290608,4152,16.76,97562
112,14267398,341114,80929547,26381360,19,19475,22358,161172,25142526,1836,290608,4152,18.98,97562
113,14406254,343869,81598880,26639348,19,19475,22358,162477,25379969,1836,290608,4152,17.81,97562
114,14528336,346499,82297938,26872088,19,19475,22358,163812,25601469,1836,290608,4152,16.27,97562
115,14648068,349940,82990408,27103709,19,19475,22358,165131,25822098,1836,290608,4152,16.47,97562
116,14768287,352627,83679899,27337522,19,19475,22358,166487,26045117,1836,290608,4152,16.43,97562
117,14888613,355370,84369705,27571588,19,19475,22358,167965,26267285,1836,290608,4152,16.53,97562
118,15008367,358823,85059094,27802972,19,19475,22358,169287,26485487,1836,290608,4152,16.53,97562
119,15131640,361253,85752986,28037008,19,19475,22358,170637,26707831,1836,290608,4152,16.60,97562
120,15257455,364542,86447104,28270412,19,19475,22358,171855,26928231,1836,290608,4152,16.47,97562
121,15381538,368008,92832642,28505344,19,19475,22358,173195,27150951,1836,290608,4152,16.67,97562
122,15502309,371097,87833551,28737185,19,19475,22358,174762,27368591,1836,290608,4152,16.23,97562
123,15621952,374177,88518074,28972009,19,19475,22358,176126,27592536,1836,290608,4152,16.70,97562
124,15746659,377619,89202773,29207086,19,19475,22358,177389,27812538,1836,290608,4152,16.39,97562
125,15888561,380242,89882167,29454824,19,19475,22358,178739,28037533,1836,290608,4152,16.49,97562
126,16028746,384181,90558187,29705600,19,19475,22358,180128,28264047,1836,290608,4152,16.72,97562
127,16168946,386946,97180560,29951528,19,19475,22358,181570,28483218,1836,290608,4152,16.48,97562
128,16310437,389928,91923569,30198660,19,19475,22358,182835,28706617,1836,290608,4152,16.41,97562
129,16450925,392820,98607150,30446508,19,19475,22358,184354,28928277,1836,290608,4152,16.34,97562
130,16586594,396265,93272924,30696051,19,19475,22358,185929,29153247,1836,290608,4152,16.79,97562
131,16720841,398989,93948813,30942639,19,19475,22358,187352,29373685,1836,290608,4152,16.44,97562
132,16858883,401698,94627532,31189848,19,19475,22358,188830,29598204,1836,290608,4152,16.74,97562
133,16982750,404248,95338695,31414861,19,19475,22358,190015,29806853,1836,290608,4152,15.27,97562
134,17123083,407038,96006401,31671661,19,19475,22358,191256,30041290,1836,290608,4152,17.63,97562
135,17243274,410773,96703895,31897872,19,19475,22358,192623,30249198,1836,290608,4152,15.60,97562
136,17371104,413124,97397858,32130988,19,19475,22358,194144,30462434,1836,290608,4152,15.89,97562
137,17497086,415842,98093577,32360556,19,19475,22358,195753,30670386,1836,290608,4152,15.42,97562
138,17628193,418608,98787529,32594979,19,19475,22358,197182,30882832,1836,290608,4152,15.76,97562
139,17772378,421525,99467474,32843516,19,19475,22358,198468,31105444,1836,290608,4152,16.51,97562
140,17915874,424957,100154941,33094095,19,19475,22358,199965,31325280,1836,290608,4152,16.58,97562
141,18067403,427933,100837363,33352704,19,19475,22358,201380,31553176,1836,290608,4152,16.96,97562
142,18215418,430786,107972374,33616362,19,19475,22358,202842,31789300,1836,290608,4152,17.59,97562
143,18351071,433886,102176090,33865796,19,19475,22358,204406,32018356,1836,290608,4152,16.89,97562
144,18492609,437050,102848175,34120002,19,19475,22358,205670,32249310,1836,290608,4152,16.94,97562
145,18631423,440849,103526583,34366570,19,19475,22358,206970,32470312,1836,290608,4152,16.93,97562
146,18762389,443777,104232574,34601272,19,19475,22358,208469,32682431,1836,290608,4152,15.52,97562
147,18903522,446366,111546259,34849587,19,19475,22358,209864,32906483,1836,290608,4152,16.47,97562
148,19051207,448966,105584816,35107765,19,19475,22358,211304,33136011,1836,290608,4152,17.53,97562
149,19192318,451477,112949996,35362204,19,19475,22358,212550,33365262,1836,290608,4152,16.93,97562
150,19335146,454509,106933624,35613136,19,19475,22358,213993,33590829,1836,290608,4152,16.80,97562
151,19466955,457731,107626876,35850472,19,19475,22358,215291,33808938,1836,290608,4152,16.26,97562
152,19596029,461382,115113680,36088411,19,19475,22358,216669,34028695,1836,290608,4152,16.44,97562
153,19639874,464465,109191615,36175524,19,19475,22358,218338,34120328,1836,290608,4152,5.71,97562
154,19641480,467853,110164807,36180925,19,19475,22358,219916,34141361,1836,290608,4152,0.18,97562
155,19737434,470726,110932387,36352928,19,19475,22358,221387,34304044,1836,290608,4152,11.55,97562
156,19859633,473614,111631304,36582413,19,19475,22358,222762,34519125,1836,290608,4152,15.62,97562
157,19988004,476756,112328657,36810017,19,19475,22358,224085,34726758,1836,290608,4152,15.35,97562
158,20145401,480417,119970076,37087000,19,19475,22358,225541,34972853,1836,290608,4152,18.24,97562
159,20278287,483403,113673367,37328469,19,19475,22358,226942,35189446,1836,290608,4152,16.01,97562
