period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,342,532,4335492,9575,19,19539,24529,3785,703166,1881,206992,4152,0.01,99251
1,4164,11145,4520823,12576,19,19539,24529,4947,715246,1881,206992,4152,0.00,99251
2,4164,13771,5504723,14375,19,19539,24529,6338,729561,1881,206992,4152,0.00,99251
3,126167,16562,7038155,267690,19,19539,24529,7508,964413,1881,206992,4152,16.72,99251
4,241991,19708,7769209,501617,19,19539,24529,8593,1198783,1881,206992,4152,16.68,99251
5,353795,23394,7599748,832797,19,19539,24529,9842,1429855,1881,206992,4152,16.22,99251
6,468991,27060,9042255,1146672,19,19539,24529,10893,1666061,1881,206992,4152,16.72,99251
7,581128,30255,9689844,1457172,19,19539,24529,12045,1898607,1881,206992,4152,16.70,99251
8,689529,35810,10323706,1786183,19,19539,24529,13141,2127044,1881,206992,4152,16.11,99251
9,805970,41234,10971801,2097454,19,19539,24529,14275,2363965,1881,206992,4152,16.71,99251
10,921995,44043,11100173,2411095,19,19539,24529,15379,2598594,1881,206992,4152,16.71,99251
11,1032243,46647,11802863,2745343,19,19539,24529,16570,2828501,1881,206992,4152,16.19,99251
12,1144924,49658,12499850,3056767,19,19539,24529,17702,3063391,1881,206992,4152,16.70,99251
13,1260267,52727,13199650,3368413,19,19539,24529,18690,3297943,1881,206992,4152,16.74,99251
14,1371360,55560,13903272,3615371,19,19539,24529,19784,3525249,1881,206992,4152,16.18,99251
15,1486483,59128,14601438,3886814,19,19539,24529,20843,3759742,1881,206992,4152,16.72,99251
16,1600589,61864,15298783,4114819,19,19539,24529,22061,3991069,1881,206992,4152,16.36,99251
17,1717502,64736,15999198,4346010,19,19539,24529,23217,4222881,1881,206992,4152,16.34,99251
18,1832875,67923,16695304,4578399,19,19539,24529,24354,4455339,1881,206992,4152,16.71,99251
19,1948438,70629,17394609,4811708,19,19539,24529,25564,4689599,1881,206992,4152,16.72,99251
20,2063257,73274,18092489,5041680,19,19539,24529,26706,4921128,1881,206992,4152,16.18,99251
21,2178290,76712,18792182,5271618,19,19539,24529,27768,5151665,1881,206992,4152,16.70,99251
22,2297269,79871,20019434,5508932,19,19539,24529,28886,5386536,1881,206992,4152,16.68,99251
23,2410896,82504,20193622,5737794,19,19539,24529,29894,5614334,1881,206992,4152,16.18,99251
24,2524986,85502,21483202,5972669,19,19539,24529,31092,5846409,1881,206992,4152,16.62,99251
25,2641249,88544,21591320,6205752,19,19539,24529,32227,6078178,1881,206992,4152,16.80,99251
26,2754281,90984,22292315,6433077,19,19539,24529,33363,6310970,1881,206992,4152,16.18,99251
27,2869205,96302,22990574,6663652,19,19539,24529,34542,6541346,1881,206992,4152,16.55,99251
28,2985311,99010,23689841,6896616,19,19539,24529,35754,6774120,1881,206992,4152,16.72,99251
29,3098666,101311,24389836,7124893,19,19539,24529,36886,7003120,1881,206992,4152,16.17,99251
30,3212905,104823,25096229,7351848,19,19539,24529,37943,7230932,1881,206992,4152,16.41,99251
31,3327361,107813,25789636,7584408,19,19539,24529,39230,7464604,1881,206992,4152,16.75,99251
32,3441169,110720,26488646,7813619,19,19539,24529,40405,7693874,1881,206992,4152,16.43,99251
33,3554296,113926,27192060,8041920,19,19539,24529,41517,7920895,1881,206992,4152,16.56,99251
34,3671370,117062,28768431,8277243,19,19539,24529,42747,8158535,1881,206992,4152,16.63,99251
35,3786986,120065,28588629,8506021,19,19539,24529,43974,8389394,1881,206992,4152,16.28,99251
36,3900197,123247,29292505,8733596,19,19539,24529,45083,8618051,1881,206992,4152,16.32,99251
37,4016048,126444,30953120,8966426,19,19539,24529,46376,8851420,1881,206992,4152,16.81,99251
38,4132089,129085,30689788,9199678,19,19539,24529,47527,9083303,1881,206992,4152,16.47,99251
39,4245939,132530,32405477,9427600,19,19539,24529,48645,9312816,1881,206992,4152,16.43,99251
40,4363547,135550,33130546,9660302,19,19539,24529,49858,9544699,1881,206992,4152,16.64,99251
41,4479609,138573,32779652,9891919,19,19539,24529,51173,9778469,1881,206992,4152,16.52,99251
42,4590501,141755,33482700,10116531,19,19539,24529,52462,10002491,1881,206992,4152,16.43,99251
43,4708494,144503,35318990,10354475,19,19539,24529,53595,10239019,1881,206992,4152,16.74,99251
44,4823285,147358,34874996,10585998,19,19539,24529,54771,10471924,1881,206992,4152,16.42,99251
45,4935675,150547,35574545,10812750,19,19539,24529,55974,10698770,1881,206992,4152,16.18,99251
46,5051195,153860,37503405,11047799,19,19539,24529,57173,10938063,1881,206992,4152,16.88,99251
47,5168134,156848,36958450,11282236,19,19539,24529,58331,11173460,1881,206992,4152,16.55,99251
48,5279242,160037,37663192,11506021,19,19539,24529,59510,11398344,1881,206992,4152,16.17,99251
49,5395973,163230,38355111,11738214,19,19539,24529,60646,11630947,1881,206992,4152,16.69,99251
