period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps,main
0,411,799,4453459,8047,18,19470,24386,700808,3431,1837,290608,4152,0.01,98937
1,5926,11846,4634628,11525,18,19470,24386,715796,4805,1837,290608,4152,0.00,98937
2,5926,14435,5620039,12646,18,19470,24386,728730,6047,1837,290608,4152,0.00,98937
3,22570,17032,6562090,43865,18,19470,24386,774579,7573,1837,290608,4152,2.05,98937
4,135964,19835,7299562,239476,18,19470,24386,970907,8714,1837,290608,4152,14.50,98937
5,147223,22673,9153528,269946,18,19470,24386,1015387,10307,1837,290608,4152,1.90,98937
6,234213,26016,9025107,435350,18,19470,24386,1184681,11570,1837,290608,4152,12.27,98937
7,314498,29199,9815840,587296,18,19470,24386,1341236,13074,1837,290608,4152,10.84,98937
8,370126,32318,10662533,693820,18,19470,24386,1459114,14712,1837,290608,4152,7.89,98937
9,425778,35238,11508703,803270,18,19470,24386,1578793,16194,1837,290608,4152,8.08,98937
10,490940,37984,12340066,924840,18,19470,24386,1709373,17713,1837,290608,4152,8.83,98937
11,545806,41029,13195366,1026321,18,19470,24386,1821788,19247,1837,290608,4152,7.55,98937
12,607083,43635,14028035,1143851,18,19470,24386,1950369,20788,1837,290608,4152,8.62,98937
13,668415,46678,14856820,1262145,18,19470,24386,2079511,22362,1837,290608,4152,8.62,98937
14,723393,49728,15710353,1362787,18,19470,24386,2191662,24138,1837,290608,4152,7.55,98937
15,780181,52797,16554752,1471079,18,19470,24386,2310880,25688,1837,290608,4152,7.97,98937
16,845862,55847,17378063,1599301,18,19470,24386,2444593,27114,1837,290608,4152,9.27,98937
17,903741,58704,18221544,1712100,18,19470,24386,2567339,28783,1837,290608,4152,8.39,98937
18,959847,61526,19068366,1821897,18,19470,24386,2688805,30369,1837,290608,4152,7.78,98937
19,1021581,65109,19902002,1939856,18,19470,24386,2817469,32180,1837,290608,4152,8.58,98937
20,1079229,67650,20743382,2050771,18,19470,24386,2939622,33643,1837,290608,4152,8.07,98937
21,1139872,70596,21582174,2163841,18,19470,24386,3064322,35245,1837,290608,4152,8.15,98937
22,1201840,73319,22411038,2283873,18,19470,24386,3195649,36760,1837,290608,4152,8.62,98937
23,1259260,76438,24663046,2391395,18,19470,24386,3313956,38328,1837,290608,4152,8.13,98937
24,1316723,79465,24098140,2503828,18,19470,24386,3436339,39806,1837,290608,4152,8.04,98937
25,1377285,82601,24931844,2621818,18,19470,24386,3564260,41331,1837,290608,4152,8.62,98937
26,1431485,85746,25780394,2724436,18,19470,24386,3680527,43113,1837,290608,4152,7.55,98937
27,1492207,88883,26613188,2841596,18,19470,24386,3810063,44614,1837,290608,4152,8.62,98937
28,1554683,92002,27445593,2959196,18,19470,24386,3939019,46138,1837,290608,4152,8.62,98937
29,1608007,95121,28298411,3062812,18,19470,24386,4053638,47714,1837,290608,4152,7.55,98937
