period,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,371,569,96941,4568853,8010,18,15788,15949,3455,708418,1823,290608,4148,0.01
1,763,8697,96941,4744761,12157,18,15788,15949,4445,718565,1823,290608,4148,0.00
2,763,11324,96941,5734282,13052,18,15788,15949,5420,727674,1823,290608,4148,0.00
3,20483,13894,96941,6672383,50865,18,15788,15949,6343,774257,1823,290608,4148,2.39
4,85090,16661,96941,7476830,185071,18,15788,15949,7106,918520,1823,290608,4148,9.42
5,164093,19494,96941,9212788,341823,18,15788,15949,7953,1083763,1823,290608,4148,10.58
6,233958,22476,96941,9062948,480570,18,15788,15949,8815,1227364,1823,290608,4148,9.14
7,275414,25540,96941,9943778,563641,18,15788,15949,9720,1314649,1823,290608,4148,5.41
8,357351,28633,96941,11784056,729068,18,15788,15949,10610,1483661,1823,290608,4148,11.08
9,433907,32069,96941,11521837,869043,18,15788,15949,11479,1625677,1823,290608,4148,8.82
10,509191,35111,96941,12330154,1007586,18,15788,15949,12438,1764457,1823,290608,4148,8.80
11,581429,38158,96941,13149576,1140748,18,15788,15949,13194,1896393,1823,290608,4148,8.48
12,644990,41210,96941,15166117,1266478,18,15788,15949,13951,2025429,1823,290608,4148,8.16
13,722019,44107,96941,14769303,1420980,18,15788,15949,14654,2178672,1823,290608,4148,9.79
14,777779,47146,96941,15601210,1538551,18,15788,15949,15623,2298927,1823,290608,4148,7.57
15,853458,50209,96941,16393012,1691830,18,15788,15949,16529,2450201,1823,290608,4148,9.73
16,920024,53344,96941,17208150,1827489,18,15788,15949,17414,2587487,1823,290608,4148,8.65
17,985272,55948,96941,18030470,1958430,18,15788,15949,18482,2720135,1823,290608,4148,8.41
18,1052016,58694,96941,18842652,2096258,18,15788,15949,19319,2861132,1823,290608,4148,8.77
19,1118880,61815,96941,19650736,2233236,18,15788,15949,20160,2999831,1823,290608,4148,8.65
20,1185259,64933,96941,20460759,2369627,18,15788,15949,21066,3139492,1823,290608,4148,8.65
21,1249835,68293,96941,21284335,2499068,18,15788,15949,21958,3268057,1823,290608,4148,8.31
22,1310341,71141,96941,22114803,2624317,18,15788,15949,23050,3392114,1823,290608,4148,7.91
23,1382773,74258,96941,22908543,2774207,18,15788,15949,23923,3543362,1823,290608,4148,9.73
24,1455259,77380,96941,23718482,2916048,18,15788,15949,24592,3683911,1823,290608,4148,9.00
25,1531366,80500,96941,24535273,3054753,18,15788,15949,25404,3818506,1823,290608,4148,8.53
26,1602558,83611,96941,25348717,3190862,18,15788,15949,26436,3954635,1823,290608,4148,8.41
27,1660210,86634,96941,26181245,3308913,18,15788,15949,27554,4079541,1823,290608,4148,7.57
28,1732424,90051,96941,28724563,3464642,18,15788,15949,28483,4239245,1823,290608,4148,10.27
29,1805727,93054,96941,29566192,3597356,18,15788,15949,29305,4366006,1823,290608,4148,8.17
30,1883435,95561,96941,28606902,3739072,18,15788,15949,30002,4502462,1823,290608,4148,8.59
31,1943031,98289,96941,29428965,3867577,18,15788,15949,30894,4633370,1823,290608,4148,8.29
32,2018469,100952,96941,30225678,4018719,18,15788,15949,31648,4781432,1823,290608,4148,9.67
33,2093058,104406,96941,32932581,4160811,18,15788,15949,32579,4918892,1823,290608,4148,8.75
34,2163559,107070,96941,31849298,4298154,18,15788,15949,33411,5058535,1823,290608,4148,8.63
35,2230607,110418,96941,32663129,4435082,18,15788,15949,34176,5197162,1823,290608,4148,8.76
36,2296803,113174,96941,33479891,4569140,18,15788,15949,35219,5333665,1823,290608,4148,8.46
37,2351713,115999,96941,36351660,4680403,18,15788,15949,36009,5445814,1823,290608,4148,7.06
38,2433003,119266,96941,35108761,4842812,18,15788,15949,36937,5607778,1823,290608,4148,10.53
39,2492976,121855,96941,35941963,4966480,18,15788,15949,37719,5730899,1823,290608,4148,7.73
40,2566406,125252,96941,36756282,5105016,18,15788,15949,38617,5866603,1823,290608,4148,8.56
41,2647685,128297,96941,37546134,5263840,18,15788,15949,39601,6023008,1823,290608,4148,9.94
42,2704378,130903,96941,38381661,5382234,18,15788,15949,40564,6145182,1823,290608,4148,7.57
43,2776530,134035,96941,41393590,5526638,18,15788,15949,41389,6290665,1823,290608,4148,9.23
44,2826111,137000,96941,40053037,5626050,18,15788,15949,42254,6391801,1823,290608,4148,6.30
45,2904325,140113,96941,40826562,5790416,18,15788,15949,43001,6558746,1823,290608,4148,10.87
46,2958345,143316,96941,41687696,5893035,18,15788,15949,43877,6662247,1823,290608,4148,6.35
47,3049837,146424,96941,42465975,6062621,18,15788,15949,44687,6820908,1823,290608,4148,10.50
48,3133269,150011,96941,45603292,6220130,18,15788,15949,45421,6972633,1823,290608,4148,9.73
49,3211217,152725,96941,44073153,6365417,18,15788,15949,46182,7110617,1823,290608,4148,8.87
50,3284792,156171,96941,44891876,6505691,18,15788,15949,46984,7246088,1823,290608,4148,8.78
51,3355150,159042,96941,45724420,6633601,18,15788,15949,47901,7370946,1823,290608,4148,7.86
52,3429408,161945,96941,46543567,6773873,18,15788,15949,48692,7508116,1823,290608,4148,8.78
53,3510550,164290,96941,47347540,6923768,18,15788,15949,49509,7651511,1823,290608,4148,9.22
54,3580598,167040,96941,48149871,7067142,18,15788,15949,50303,7795348,1823,290608,4148,9.19
55,3652038,170275,96941,51460961,7209021,18,15788,15949,51097,7935818,1823,290608,4148,8.93
56,3720916,173108,96941,49773504,7347915,18,15788,15949,51879,8072057,1823,290608,4148,8.65
57,3781188,175881,96941,50596083,7473106,18,15788,15949,53132,8201845,1823,290608,4148,8.00
58,3854353,178618,96941,51397659,7619479,18,15788,15949,53868,8346120,1823,290608,4148,9.17
59,3920114,181134,96941,52212385,7755215,18,15788,15949,54714,8482336,1823,290608,4148,8.68
60,3987543,184455,96941,53024730,7892376,18,15788,15949,55480,8620378,1823,290608,4148,8.92
61,4039408,186946,96941,53871562,8001827,18,15788,15949,56539,8735956,1823,290608,4148,6.89
62,4117080,190454,96941,54669630,8155672,18,15788,15949,57416,8887245,1823,290608,4148,9.84
63,4198763,192768,96941,55467813,8306814,18,15788,15949,58212,9033933,1823,290608,4148,9.29
64,4249496,195597,96941,56335226,8403471,18,15788,15949,59169,9132983,1823,290608,4148,5.88
65,4332595,198716,96941,57107790,8569557,18,15788,15949,59941,9298463,1823,290608,4148,10.72
66,4405418,201904,96941,57903854,8716255,18,15788,15949,60827,9446649,1823,290608,4148,9.40
67,4461239,205295,96941,58743469,8833043,18,15788,15949,61586,9567560,1823,290608,4148,7.62
68,4542388,208176,96941,59535488,8987966,18,15788,15949,62493,9719944,1823,290608,4148,9.86
69,4586619,211278,96941,60428643,9070513,18,15788,15949,63275,9804443,1823,290608,4148,4.94
70,4685221,214080,96941,61171472,9264417,18,15788,15949,64029,9989964,1823,290608,4148,12.31
71,4744124,217254,96941,61996262,9386587,18,15788,15949,65003,10115679,1823,290608,4148,8.09
72,4779888,220429,96941,62894278,9460977,18,15788,15949,65769,10194742,1823,290608,4148,4.61
73,4861948,222946,96941,63660204,9634222,18,15788,15949,66552,10365466,1823,290608,4148,11.16
74,4945237,225752,96941,64428539,9805617,18,15788,15949,67286,10535512,1823,290608,4148,11.01
75,5005884,228924,96941,65253668,9930469,18,15788,15949,68324,10664774,1823,290608,4148,8.07
76,5033568,232031,96941,66163696,9989940,18,15788,15949,69555,10731896,1823,290608,4148,3.69
77,5120088,235150,96941,66923290,10169277,18,15788,15949,70316,10911258,1823,290608,4148,11.74
78,5185349,238348,96941,67741511,10302216,18,15788,15949,71323,11045391,1823,290608,4148,8.61
79,5265739,241455,96941,71860513,10468699,18,15788,15949,72212,11212313,1823,290608,4148,10.85
80,5332623,244126,96941,69332644,10602491,18,15788,15949,72991,11345493,1823,290608,4148,8.46
81,5382109,247112,96941,70179497,10709148,18,15788,15949,73999,11458821,1823,290608,4148,7.05
82,5465272,249968,96941,70953483,10880922,18,15788,15949,74816,11629525,1823,290608,4148,10.81
83,5530552,252632,96941,71768338,11015990,18,15788,15949,75694,11767134,1823,290608,4148,8.65
84,5590383,255793,96941,76130882,11138276,18,15788,15949,76499,11890911,1823,290608,4148,7.78
85,5656290,258623,96941,73417474,11271350,18,15788,15949,77309,12025267,1823,290608,4148,8.46
86,5725618,261816,96941,77825706,11412446,18,15788,15949,78279,12167185,1823,290608,4148,9.04
87,5788759,264754,96941,75044522,11542222,18,15788,15949,79050,12299468,1823,290608,4148,8.47
88,5847218,267344,96941,79550202,11664384,18,15788,15949,79978,12424297,1823,290608,4148,7.87
89,5908726,270314,96941,76700138,11793364,18,15788,15949,80868,12553146,1823,290608,4148,8.35
90,5994271,273884,96941,81208020,11970310,18,15788,15949,81687,12730471,1823,290608,4148,11.45
91,6059513,276611,96941,78286142,12100814,18,15788,15949,82555,12864639,1823,290608,4148,8.29
92,6117916,279711,96941,79120231,12222887,18,15788,15949,83539,12990581,1823,290608,4148,7.77
93,6176686,282835,96941,79960617,12341712,18,15788,15949,84202,13109491,1823,290608,4148,7.57
94,6250552,285948,96941,80750387,12494906,18,15788,15949,84940,13266013,1823,290608,4148,9.98
