IDLE,Mbps,Stack,Timestamp,TmrSvc,esp_timer,experiment_runn,ipc0,ipc1,measurer,sys_evt,tiT,wifi
110873585,12.08,4116,358,18,631104,29522231,27228,44087,1981949,14452,248589258,89580034
4467964,0.01,4116,0,18,3922,561,27228,44094,4651,14476,7664,709617
4634954,0.00,4116,1,18,5198,5940,27228,44094,19042,14476,10052,722862
5621973,0.00,4116,2,18,6494,5940,27228,44094,25755,14476,10946,735811
6856384,14.34,4116,3,18,8029,86013,27228,44094,32837,14476,626704,957157
7028513,15.97,4116,4,18,9950,175572,27228,44094,38553,14476,1320596,1200822
7736570,15.11,4116,5,18,11697,259756,27228,44094,43297,14476,1987981,1436888
8438611,15.27,4116,6,18,13267,344092,27228,44094,48352,14476,2667117,1678355
8061148,16.34,4116,7,18,14939,432599,27228,44094,53717,14476,3384516,1928057
9803402,16.20,4116,8,18,16747,522096,27228,44094,59259,14476,4100364,2179345
8608270,16.02,4116,9,18,18502,610123,27228,44094,63948,14476,4809393,2429980
8889086,16.01,4116,10,18,20128,700074,27228,44094,69048,14476,5518202,2678614
9160094,16.13,4116,11,18,21933,789738,27228,44094,74698,14476,6230971,2928611
9435395,16.35,4116,12,18,23643,877666,27228,44094,79487,14476,6953604,3182101
13228307,16.05,4116,13,18,25447,970023,27228,44094,83273,14476,7668015,3431229
9974384,16.46,4116,14,18,27104,1062151,27228,44094,87748,14476,8396108,3690910
10281870,15.43,4116,15,18,28908,1146737,27228,44094,92440,14476,9078722,3934157
15363070,12.22,4116,16,18,30672,1220207,27228,44094,96873,14476,9632227,4135510
11001260,16.30,4116,17,18,32431,1310184,27228,44094,103375,14476,10347968,4383835
11234380,17.05,4116,18,18,34162,1402796,27228,44094,108208,14476,11098272,4646364
11506244,16.24,4116,19,18,35868,1492420,27228,44094,112148,14476,11818765,4898138
11776877,16.10,4116,20,18,37552,1583371,27228,44094,116867,14476,12535162,5151019
12037941,16.48,4116,21,18,39465,1673798,27228,44094,123031,14476,13263335,5406025
12312018,16.09,4116,22,18,41406,1762133,27228,44094,129826,14476,13974381,5655921
12589468,15.88,4116,23,18,43232,1851947,27228,44094,135315,14476,14681153,5900887
12880270,15.80,4116,24,18,45073,1938744,27228,44094,139815,14476,15380621,6146996
13146868,16.22,4116,25,18,46743,2029691,27228,44094,145927,14476,16097411,6395036
13447882,15.50,4116,26,18,48397,2115439,27228,44094,151437,14476,16783908,6636846
13744672,15.52,4116,27,18,50098,2199429,27228,44094,156285,14476,17471973,6882981
13966030,17.47,4116,28,18,51827,2293529,27228,44094,162599,14476,18235890,7149505
14186444,17.37,4116,29,18,53714,2389751,27228,44094,167186,14476,19003633,7418705
14404897,17.41,4116,30,18,55401,2484027,27228,44094,172434,14476,19769360,7684391
25597548,16.69,4116,31,18,57357,2576673,27228,44094,176653,14476,20508676,7942503
14912486,16.74,4116,32,18,59088,2667322,27228,44094,182236,14476,21242925,8198137
15182665,16.35,4116,33,18,60850,2755290,27228,44094,189623,14476,21959516,8453209
15448113,16.34,4116,34,18,62428,2846958,27228,44094,194295,14476,22682034,8701851
15684636,16.97,4116,35,18,64104,2940411,27228,44094,200570,14476,23430896,8961818
15940116,16.53,4116,36,18,65782,3032464,27228,44094,205672,14476,24159034,9216668
16204051,16.32,4116,37,18,67523,3123126,27228,44094,211445,14476,24881630,9470180
16475514,16.22,4116,38,18,69388,3213312,27228,44094,216289,14476,25601700,9725004
16757919,16.04,4116,39,18,71221,3301066,27228,44094,222032,14476,26308124,9976122
17042762,15.95,4116,40,18,73017,3389956,27228,44094,228016,14476,27012436,10226159
32450362,13.75,4116,41,18,74751,3469945,27228,44094,232484,14476,27626022,10444143
33150156,15.37,4116,42,18,76477,3557600,27228,44094,236451,14476,28309593,10688504
18006865,15.94,4116,43,18,78291,3644358,27228,44094,241953,14476,29012058,10937817
18313449,15.46,4116,44,18,80061,3729529,27228,44094,248335,14476,29694688,11179811
35235858,15.13,4116,45,18,81806,3817807,27228,44094,253091,14476,30369190,11420011
