period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,544,3621,4083211,8769,18,19531,24536,3296,701408,1888,206992,4152,0.01
1,6109,14342,4266590,10905,18,19531,24536,4741,715774,1888,206992,4152,0.00
2,6109,16975,5253591,11697,18,19531,24536,5883,727375,1888,206992,4152,0.00
3,132724,19773,6787072,256744,18,19531,24536,7079,965878,1888,206992,4152,16.72
4,252200,23244,7515783,472572,18,19531,24536,8211,1196640,1888,206992,4152,16.68
5,365151,30962,7370134,768113,18,19531,24536,9416,1431173,1888,206992,4152,16.22
6,485338,39665,8088003,1087744,18,19531,24536,10511,1674077,1888,206992,4152,17.26
7,600137,42595,8797052,1378896,18,19531,24536,11692,1905437,1888,206992,4152,16.37
8,715127,45793,10124543,1699286,18,19531,24536,12861,2138242,1888,206992,4152,16.52
9,831140,48673,10207239,1993858,18,19531,24536,13919,2374059,1888,206992,4152,16.74
10,942391,51849,10913141,2273593,18,19531,24536,15020,2605308,1888,206992,4152,16.19
11,1056224,55032,11616940,2589716,18,19531,24536,16053,2840455,1888,206992,4152,16.72
12,1174016,57608,12320822,2883935,18,19531,24536,17143,3078683,1888,206992,4152,16.73
13,1285673,60789,13029227,3170377,18,19531,24536,18214,3307456,1888,206992,4152,16.18
14,1402174,63990,14030634,3492945,18,19531,24536,19200,3541471,1888,206992,4152,16.72
15,1518835,67217,14433333,3788766,18,19531,24536,20282,3776941,1888,206992,4152,16.72
16,1631296,70280,15140107,4075907,18,19531,24536,21468,4007024,1888,206992,4152,16.18
17,1743018,73636,15847554,4384179,18,19531,24536,22547,4240296,1888,206992,4152,16.70
18,1788831,76308,16708675,4528009,18,19531,24536,24107,4352431,1888,206992,4152,6.91
19,1794351,79185,17676050,4618083,18,19531,24536,25818,4379339,1888,206992,4152,0.53
20,1811020,82335,18600729,4753529,18,19531,24536,27489,4439923,1888,206992,4152,2.71
21,1966235,85459,19186310,5117129,18,19531,24536,28780,4750587,1888,206992,4152,22.63
22,2084903,88378,19889695,5411738,18,19531,24536,29888,4997964,1888,206992,4152,17.43
23,2111773,91566,20802988,5568917,18,19531,24536,30992,5065751,1888,206992,4152,3.92
24,2181593,94521,21615401,5754421,18,19531,24536,31915,5212746,1888,206992,4152,10.20
25,2187448,97381,22576600,5851353,18,19531,24536,33469,5247305,1888,206992,4152,1.09
26,2199457,100536,23526275,5963536,18,19531,24536,34919,5287999,1888,206992,4152,1.49
27,2216050,103663,24470225,6066109,18,19531,24536,36251,5332689,1888,206992,4152,2.19
28,2227853,106797,25422302,6159708,18,19531,24536,37753,5372781,1888,206992,4152,1.88
29,2320333,114868,26180997,6422276,18,19531,24536,38946,5565669,1888,206992,4152,13.37
30,2458606,117918,26827324,6730522,18,19531,24536,39936,5842049,1888,206992,4152,19.87
31,2616407,123805,26994371,7068268,18,19531,24536,40994,6158997,1888,206992,4152,22.19
32,2768452,134708,27610115,7425932,18,19531,24536,42174,6467656,1888,206992,4152,22.19
33,2919286,137714,28221961,7753590,18,19531,24536,43414,6770149,1888,206992,4152,21.62
34,3070022,140159,29281431,8098242,18,19531,24536,44601,7072336,1888,206992,4152,21.91
35,3232351,143296,29423510,8422613,18,19531,24536,45865,7391382,1888,206992,4152,23.17
36,3395355,145867,30455140,8757129,18,19531,24536,47087,7715373,1888,206992,4152,23.29
37,3552356,149001,30617024,9096311,18,19531,24536,48117,8029342,1888,206992,4152,22.60
38,3680184,152014,31720489,9378251,18,19531,24536,49197,8284142,1888,206992,4152,18.22
39,3723671,155196,32596847,9495515,18,19531,24536,50175,8381238,1888,206992,4152,6.26
40,3864826,157976,33234356,9789974,18,19531,24536,51476,8663113,1888,206992,4152,20.19
41,4026764,160572,33830239,10115990,18,19531,24536,52526,8981257,1888,206992,4152,22.94
42,4188639,163675,34416514,10446271,18,19531,24536,53697,9304857,1888,206992,4152,23.46
43,4349513,167201,35009983,10780620,18,19531,24536,54840,9622308,1888,206992,4152,23.08
44,4511887,169945,35600589,11101695,18,19531,24536,56001,9941256,1888,206992,4152,22.95
45,4672743,173064,36191037,11411105,18,19531,24536,57200,10259290,1888,206992,4152,22.81
46,4829217,175918,36792959,11720786,18,19531,24536,58449,10567110,1888,206992,4152,22.28
47,4995259,178526,37051415,12061472,18,19531,24536,59483,10898261,1888,206992,4152,23.91
48,5159765,181715,37667650,12379293,18,19531,24536,60721,11222575,1888,206992,4152,23.30
49,5327126,184733,38536233,12708164,18,19531,24536,61953,11545905,1888,206992,4152,23.37
50,5435670,187773,39254068,12946852,18,19531,24536,62931,11768345,1888,206992,4152,15.64
51,5504125,190838,40066061,13104253,18,19531,24536,63898,11913536,1888,206992,4152,10.10
52,5623473,193840,40764247,13348043,18,19531,24536,64917,12153174,1888,206992,4152,17.13
53,5733451,196515,41482468,13567994,18,19531,24536,66094,12373099,1888,206992,4152,15.50
54,5789188,199697,42329281,13696182,18,19531,24536,67158,12491878,1888,206992,4152,7.95
55,5842812,202797,43175320,13847235,18,19531,24536,68304,12611354,1888,206992,4152,7.86
56,5888516,205916,44046382,13969908,18,19531,24536,69326,12710711,1888,206992,4152,6.53
57,6021178,208243,44707749,14243057,18,19531,24536,70385,12974573,1888,206992,4152,18.84
58,6179834,216819,45311809,14569948,18,19531,24536,71751,13292853,1888,206992,4152,22.84
59,6309195,220045,45763720,14833132,18,19531,24536,72907,13550040,1888,206992,4152,18.39
60,6464004,225320,46601880,15128225,18,19531,24536,74207,13850488,1888,206992,4152,21.84
61,6603348,235732,47262152,15440698,18,19531,24536,75443,14132773,1888,206992,4152,20.43
62,6670437,238919,48074836,15593527,18,19531,24536,76500,14277017,1888,206992,4152,9.79
63,6714704,242369,48760835,15707265,18,19531,24536,77588,14378040,1888,206992,4152,6.45
64,6718863,248087,49917287,15801256,18,19531,24536,79093,14407316,1888,206992,4152,0.63
65,6775221,251205,50764096,15938166,18,19531,24536,80093,14523754,1888,206992,4152,7.71
66,6854982,253883,51554322,16141754,18,19531,24536,81109,14689732,1888,206992,4152,11.55
67,7022170,256368,52129673,16458162,18,19531,24536,82328,15020683,1888,206992,4152,24.00
68,7143859,259228,52815518,16692491,18,19531,24536,83492,15264676,1888,206992,4152,17.20
69,7313824,262231,53384410,17030586,18,19531,24536,84689,15597769,1888,206992,4152,24.25
70,7484164,265072,53951060,17369550,18,19531,24536,85957,15932797,1888,206992,4152,24.47
71,7653039,268436,54525183,17696656,18,19531,24536,87231,16263751,1888,206992,4152,24.02
72,7757902,272977,55253121,17950999,18,19531,24536,88398,16477219,1888,206992,4152,14.87
73,7925576,276126,55826007,18281021,18,19531,24536,89653,16806237,1888,206992,4152,23.98
74,8082768,279328,56425758,18604273,18,19531,24536,90909,17117065,1888,206992,4152,22.56
75,8246365,284537,57010609,18945452,18,19531,24536,91924,17441625,1888,206992,4152,23.62
76,8418214,287463,57580395,19277212,18,19531,24536,93033,17776889,1888,206992,4152,24.16
77,8585719,290296,58116875,19610689,18,19531,24536,94301,18108262,1888,206992,4152,24.02
78,8739948,293367,58707342,19955468,18,19531,24536,95415,18423751,1888,206992,4152,22.73
79,8898592,296583,59365110,20273905,18,19531,24536,96617,18735662,1888,206992,4152,22.62
80,8995841,299383,60058410,20494108,18,19531,24536,97598,18932335,1888,206992,4152,13.79
81,9084132,303664,60886413,20704781,18,19531,24536,98652,19111382,1888,206992,4152,12.35
82,9154827,307107,61610175,20885991,18,19531,24536,99613,19257119,1888,206992,4152,10.07
83,9301243,310213,62319977,21203017,18,19531,24536,100816,19554323,1888,206992,4152,21.59
84,9461855,315970,62822797,21565660,18,19531,24536,101997,19879251,1888,206992,4152,23.37
85,9590157,318514,63616619,21840359,18,19531,24536,103073,20135952,1888,206992,4152,18.35
86,9705742,322089,64192218,22086446,18,19531,24536,104142,20368674,1888,206992,4152,16.31
87,9823576,325497,65026800,22336132,18,19531,24536,105201,20605117,1888,206992,4152,16.87
88,9941249,328142,65727895,22572198,18,19531,24536,106448,20837919,1888,206992,4152,16.46
89,10056187,331424,66437475,22818805,18,19531,24536,107554,21067255,1888,206992,4152,16.45
90,10132506,334150,67242006,22987121,18,19531,24536,108654,21223349,1888,206992,4152,10.66
91,10187688,337258,68086231,23126812,18,19531,24536,109706,21344630,1888,206992,4152,8.09
92,10254026,340353,68909268,23294339,18,19531,24536,110613,21485566,1888,206992,4152,9.57
93,10303443,343971,69771078,23423017,18,19531,24536,111706,21594693,1888,206992,4152,7.20
94,10352839,347004,70468146,23549447,18,19531,24536,112713,21705534,1888,206992,4152,7.32
95,10366502,355126,71568266,23626235,18,19531,24536,114509,21756384,1888,206992,4152,2.13
96,10420560,365763,72428461,23764680,18,19531,24536,115495,21868530,1888,206992,4152,7.36
97,10477879,369115,73275223,23898999,18,19531,24536,116417,21989984,1888,206992,4152,8.11
98,10528501,373022,74134920,24068595,18,19531,24536,117323,22101383,1888,206992,4152,7.31
99,10620800,376204,74886727,24268218,18,19531,24536,118458,22291767,1888,206992,4152,13.23
100,10788784,379676,75289526,24597811,18,19531,24536,119815,22624023,1888,206992,4152,24.07
101,10953246,386284,76059718,24950249,18,19531,24536,120977,22950794,1888,206992,4152,23.76
102,11043619,389061,76820127,25129390,18,19531,24536,121997,23136861,1888,206992,4152,12.94
103,11053951,392516,77765405,25221782,18,19531,24536,123437,23180784,1888,206992,4152,1.94
104,11065917,398502,78715821,25272783,18,19531,24536,124975,23219069,1888,206992,4152,1.40
105,11127719,402056,79543599,25420874,18,19531,24536,126030,23350026,1888,206992,4152,9.05
106,11227749,405294,80276093,25648544,18,19531,24536,127365,23559152,1888,206992,4152,14.43
107,11381095,408311,80880096,25972690,18,19531,24536,128450,23869904,1888,206992,4152,22.42
108,11548686,411206,81330134,26287912,18,19531,24536,129717,24199237,1888,206992,4152,23.74
109,11716112,413865,82048703,26609277,18,19531,24536,130846,24526359,1888,206992,4152,23.72
110,11799979,416717,82820203,26813875,18,19531,24536,131964,24704479,1888,206992,4152,12.43
111,11855250,420171,83665537,26967215,18,19531,24536,132958,24823797,1888,206992,4152,7.88
112,11922372,427208,84327111,27150269,18,19531,24536,134036,24966801,1888,206992,4152,9.74
113,12072831,437269,85119905,27437514,18,19531,24536,135199,25260530,1888,206992,4152,21.34
114,12210641,440003,85763954,27697209,18,19531,24536,136420,25534220,1888,206992,4152,19.67
115,12347931,443832,86412942,27973415,18,19531,24536,137582,25809878,1888,206992,4152,19.80
116,12515276,446962,86959963,28283768,18,19531,24536,138801,26134768,1888,206992,4152,23.50
117,12680866,449790,87579347,28597027,18,19531,24536,140130,26459329,1888,206992,4152,23.52
118,12851168,458742,88167945,28931671,18,19531,24536,141306,26792053,1888,206992,4152,24.03
119,13012082,461340,88759228,29233085,18,19531,24536,142466,27108777,1888,206992,4152,22.92
120,13180412,463870,89337409,29558029,18,19531,24536,143631,27441570,1888,206992,4152,23.76
121,13333076,471856,90084010,29857936,18,19531,24536,144784,27741253,1888,206992,4152,21.41
122,13443689,474602,90675242,30086700,18,19531,24536,145910,27965599,1888,206992,4152,15.77
123,13596699,477429,91287210,30386142,18,19531,24536,146991,28264364,1888,206992,4152,21.56
124,13760761,481209,91875777,30688150,18,19531,24536,148231,28584392,1888,206992,4152,23.29
125,13926735,484621,92460081,31007428,18,19531,24536,149386,28906009,1888,206992,4152,23.20
126,14092498,488274,93043482,31322661,18,19531,24536,150542,29230774,1888,206992,4152,23.43
127,14247775,491080,93648672,31621211,18,19531,24536,151822,29537982,1888,206992,4152,22.15
128,14410456,493893,94237882,31929327,18,19531,24536,152945,29856555,1888,206992,4152,22.99
129,14563647,497572,94845444,32232180,18,19531,24536,154109,30161466,1888,206992,4152,22.14
130,14668638,500225,95572862,32471634,18,19531,24536,155310,30374259,1888,206992,4152,14.78
131,14820817,503582,96183811,32754710,18,19531,24536,156467,30673936,1888,206992,4152,21.44
132,14989421,507294,96759147,33076971,18,19531,24536,157769,31005144,1888,206992,4152,23.85
133,15159239,510303,97330330,33399758,18,19531,24536,159055,31336544,1888,206992,4152,24.17
134,15288055,513578,98005429,33650719,18,19531,24536,160165,31592454,1888,206992,4152,18.19
135,15404137,519190,98699962,33914321,18,19531,24536,161201,31821965,1888,206992,4152,16.38
136,15524635,522243,99938408,34143879,18,19531,24536,162323,32060867,1888,206992,4152,16.73
137,15626637,524996,100135882,34356363,18,19531,24536,163471,32269050,1888,206992,4152,14.36
138,15634422,537468,101087073,34456146,18,19531,24536,164891,32309511,1888,206992,4152,1.53
139,15767352,540988,101748601,34728960,18,19531,24536,166175,32572045,1888,206992,4152,18.90
140,15935811,543647,102329424,35060458,18,19531,24536,167286,32900082,1888,206992,4152,23.94
