period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps,main
0,407,15,4404855,10090,18,19488,24093,709495,3737,1837,290608,4152,0.01,98674
1,789,9184,4572986,13092,18,19488,24093,721966,4905,1837,290608,4152,0.00,98674
2,789,11779,5558118,14491,18,19488,24093,735172,6186,1837,290608,4152,0.00,98674
3,18495,14363,6499728,46422,18,19488,24093,780846,7906,1837,290608,4152,2.07,98674
4,109873,17150,7273676,208423,18,19488,24093,952902,9263,1837,290608,4152,12.40,98674
5,145852,20926,9105214,277259,18,19488,24093,1031627,10662,1837,290608,4152,4.80,98674
6,225632,23605,8957780,430667,18,19488,24093,1192670,12069,1837,290608,4152,11.53,98674
7,285791,26567,9793059,549824,18,19488,24093,1318002,13491,1837,290608,4152,8.67,98674
8,287378,29428,10769663,557173,18,19488,24093,1337772,15011,1837,290608,4152,0.18,98674
9,405149,31747,12523349,776426,18,19488,24093,1556305,16211,1837,290608,4152,16.20,98674
10,464361,34705,12299069,898836,18,19488,24093,1691738,17923,1837,290608,4152,9.08,98674
11,538918,37384,13110877,1032659,18,19488,24093,1833231,19310,1837,290608,4152,9.85,98674
12,586793,40433,15112061,1132661,18,19488,24093,1944813,20962,1837,290608,4152,7.31,98674
13,588139,43421,14943598,1137832,18,19488,24093,1962747,22371,1837,290608,4152,0.18,98674
14,712266,46276,15635249,1366249,18,19488,24093,2191586,23624,1837,290608,4152,17.00,98674
15,766744,49406,16473768,1479490,18,19488,24093,2315687,25330,1837,290608,4152,8.17,98674
16,810017,52229,18617241,1558014,18,19488,24093,2403116,26716,1837,290608,4152,5.64,98674
17,851795,55102,18230536,1645307,18,19488,24093,2502268,28372,1837,290608,4152,6.33,98674
18,922130,58234,20361005,1778844,18,19488,24093,2642696,29769,1837,290608,4152,9.71,98674
19,1001068,60732,19845077,1924835,18,19488,24093,2796069,31154,1837,290608,4152,10.86,98674
20,1062304,63942,22045492,2043918,18,19488,24093,2926688,32715,1837,290608,4152,8.90,98674
21,1121443,66493,21516062,2158759,18,19488,24093,3051119,34117,1837,290608,4152,8.35,98674
22,1177670,69629,22361372,2265434,18,19488,24093,3170129,35751,1837,290608,4152,7.83,98674
23,1239382,72665,24645034,2382812,18,19488,24093,3298071,37242,1837,290608,4152,8.65,98674
24,1298517,75631,24035233,2497461,18,19488,24093,3423706,38987,1837,290608,4152,8.32,98674
25,1353275,78742,24885153,2600022,18,19488,24093,3536194,40672,1837,290608,4152,7.55,98674
26,1412241,81828,25724020,2713807,18,19488,24093,3658493,42156,1837,290608,4152,8.27,98674
27,1476320,84592,26553779,2836447,18,19488,24093,3791274,43751,1837,290608,4152,8.79,98674
28,1538502,87729,28983746,2954236,18,19488,24093,3918545,45248,1837,290608,4152,8.62,98674
29,1591211,90704,28238546,3057096,18,19488,24093,4033361,46778,1837,290608,4152,7.55,98674
30,1651141,93661,29075807,3172918,18,19488,24093,4160493,48501,1837,290608,4152,8.43,98674
31,1711986,97045,29911955,3289334,18,19488,24093,4287024,50025,1837,290608,4152,8.62,98674
32,1765989,99875,30763174,3393736,18,19488,24093,4400900,51734,1837,290608,4152,7.55,98674
