period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,587,735,4336061,7691,18,19522,24548,3691,701630,1881,206992,4152,0.01,99204
1,5891,10926,4509979,10741,18,19522,24548,5170,717233,1881,206992,4152,0.00,99204
2,5891,13532,5493854,12322,18,19522,24548,6533,731612,1881,206992,4152,0.00,99204
3,105926,16120,6243039,222005,18,19522,24548,7697,923854,1881,206992,4152,13.56,99204
4,243469,19188,6886626,495130,18,19522,24548,8875,1197395,1881,206992,4152,19.53,99204
5,357362,22040,7586343,747551,18,19522,24548,10117,1430679,1881,206992,4152,16.51,99204
6,471923,25105,9170286,1015932,18,19522,24548,11037,1661501,1881,206992,4152,16.55,99204
7,570503,28203,9028856,1211665,18,19522,24548,12201,1859410,1881,206992,4152,14.13,99204
8,703564,30504,9680127,1478145,18,19522,24548,13494,2122834,1881,206992,4152,18.93,99204
9,818110,33612,10379783,1706991,18,19522,24548,14628,2352402,1881,206992,4152,16.44,99204
10,934367,36613,12085240,1938454,18,19522,24548,15755,2582513,1881,206992,4152,16.64,99204
11,1039779,39637,11796035,2151129,18,19522,24548,16903,2796438,1881,206992,4152,15.18,99204
12,1163118,42208,13553631,2399824,18,19522,24548,18287,3046614,1881,206992,4152,17.78,99204
13,1278268,45304,13158609,2632073,18,19522,24548,19407,3282025,1881,206992,4152,16.50,99204
14,1394182,48490,13853980,2866385,18,19522,24548,20649,3517175,1881,206992,4152,16.67,99204
15,1490875,51852,15775554,3065162,18,19522,24548,21879,3718427,1881,206992,4152,14.31,99204
16,1621983,54376,16466830,3322892,18,19522,24548,22981,3975635,1881,206992,4152,18.56,99204
17,1736552,57414,17191329,3556445,18,19522,24548,24149,4212044,1881,206992,4152,16.74,99204
18,1851316,59883,16646578,3783883,18,19522,24548,25269,4442219,1881,206992,4152,16.17,99204
19,1958516,63083,17358055,4001112,18,19522,24548,26533,4664116,1881,206992,4152,15.65,99204
20,2082662,65870,19369251,4248904,18,19522,24548,27690,4911554,1881,206992,4152,17.58,99204
21,2196663,68597,18747580,4474317,18,19522,24548,28680,5136863,1881,206992,4152,16.17,99204
22,2310721,71806,20829955,4704808,18,19522,24548,29984,5366446,1881,206992,4152,16.70,99204
23,2340634,74851,20347765,4775288,18,19522,24548,31403,5446156,1881,206992,4152,4.59,99204
24,2479064,77989,20982592,5048889,18,19522,24548,32796,5719719,1881,206992,4152,19.46,99204
25,2643674,81254,23045598,5380855,18,19522,24548,34054,6048091,1881,206992,4152,24.01,99204
26,2772899,84345,23744233,5634903,18,19522,24548,35340,6298370,1881,206992,4152,18.11,99204
27,2878334,86999,22954098,5848842,18,19522,24548,36400,6510410,1881,206992,4152,15.18,99204
28,3001501,90163,23628004,6096568,18,19522,24548,37502,6759405,1881,206992,4152,17.71,99204
29,3115487,96528,25934736,6326592,18,19522,24548,38696,6990775,1881,206992,4152,16.51,99204
30,3233044,99257,26658141,6560669,18,19522,24548,39976,7224448,1881,206992,4152,16.90,99204
31,3340403,101961,25743994,6777983,18,19522,24548,41151,7438009,1881,206992,4152,15.24,99204
32,3464078,104742,28117715,7023406,18,19522,24548,42358,7683592,1881,206992,4152,17.67,99204
33,3579913,108679,27123584,7258509,18,19522,24548,43523,7915322,1881,206992,4152,16.68,99204
34,3693597,111364,27827603,7487467,18,19522,24548,44724,8144924,1881,206992,4152,16.21,99204
35,3799794,114505,30333920,7699547,18,19522,24548,45955,8355910,1881,206992,4152,15.15,99204
36,3924603,117320,29220533,7951804,18,19522,24548,47150,8607082,1881,206992,4152,18.27,99204
37,4038366,119910,29927636,8181208,18,19522,24548,48190,8833298,1881,206992,4152,16.17,99204
38,4154113,123211,30626866,8413693,18,19522,24548,49378,9065635,1881,206992,4152,16.69,99204
39,4260194,126267,31345200,8626134,18,19522,24548,50454,9277511,1881,206992,4152,15.15,99204
40,4382992,129338,32023621,8874400,18,19522,24548,51677,9524795,1881,206992,4152,17.77,99204
41,4499264,132981,32720342,9106761,18,19522,24548,52998,9757989,1881,206992,4152,16.69,99204
42,4615089,135551,33414565,9342397,18,19522,24548,54263,9991967,1881,206992,4152,16.73,99204
43,4629044,138207,34352567,9379396,18,19522,24548,55819,10042578,1881,206992,4152,2.39,99204
44,4779950,141667,37027229,9662572,18,19522,24548,57023,10337929,1881,206992,4152,21.07,99204
45,4948248,144528,37645484,9979737,18,19522,24548,58384,10664612,1881,206992,4152,23.73,99204
46,5078178,147384,36201435,10239238,18,19522,24548,59732,10920312,1881,206992,4152,18.46,99204
47,5124051,150589,39233803,10337340,18,19522,24548,61210,11028517,1881,206992,4152,6.98,99204
48,5284946,154122,37640684,10660969,18,19522,24548,62528,11349613,1881,206992,4152,23.22,99204
49,5419561,157154,38288994,10932388,18,19522,24548,63780,11621174,1881,206992,4152,19.35,99204
50,5535691,160487,38986167,11164089,18,19522,24548,64911,11854387,1881,206992,4152,16.58,99204
