period,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps
0,8845,306,647,100087,4092626,18,19525,24563,695956,3409,1888,206992,4152,0.01
1,12683,3605,11736,100087,4279847,18,19525,24563,717434,4705,1888,206992,4152,0.00
2,13578,3605,14327,100087,5266594,18,19525,24563,729031,5995,1888,206992,4152,0.00
3,254409,128141,17379,100087,6804431,18,19525,24563,963127,7066,1888,206992,4152,16.69
4,471593,248793,20738,100087,6670858,18,19525,24563,1197418,8479,1888,206992,4152,16.51
5,786658,362924,23392,100087,7379021,18,19525,24563,1428912,9633,1888,206992,4152,16.24
6,1071833,476885,26365,100087,8086020,18,19525,24563,1660515,10757,1888,206992,4152,16.52
7,1362747,594963,28987,100087,8793554,18,19525,24563,1896085,11906,1888,206992,4152,16.79
8,1680870,707885,31671,100087,9506185,18,19525,24563,2126577,12975,1888,206992,4152,16.19
9,1970667,823107,34897,100087,10207962,18,19525,24563,2359272,14156,1888,206992,4152,16.71
10,2267179,941246,37651,100087,10911145,18,19525,24563,2595523,15334,1888,206992,4152,16.55
11,2589584,1053828,40502,100087,11618214,18,19525,24563,2828133,16574,1888,206992,4152,16.23
12,2876479,1169355,43702,100087,12320175,18,19525,24563,3059866,17778,1888,206992,4152,16.45
13,3172011,1288158,46689,100087,13399753,18,19525,24563,3298241,18839,1888,206992,4152,16.99
14,3499486,1406940,57885,100087,14061322,18,19525,24563,3539353,20089,1888,206992,4152,16.95
15,3785599,1522720,60942,100087,14448001,18,19525,24563,3771807,21155,1888,206992,4152,16.52
16,4092966,1633041,64138,100087,15158618,18,19525,24563,3996946,22429,1888,206992,4152,15.86
17,4391781,1755942,67226,100087,16021313,18,19525,24563,4239879,23519,1888,206992,4152,17.31
18,4677806,1872472,70102,100087,16557592,18,19525,24563,4475371,24695,1888,206992,4152,16.46
19,4984184,1984106,72481,100087,17265894,18,19525,24563,4703903,26003,1888,206992,4152,16.19
20,5277644,2100888,75706,100087,17962728,18,19525,24563,4940011,27160,1888,206992,4152,16.80
21,5563458,2217326,78599,100087,18662878,18,19525,24563,5175549,28343,1888,206992,4152,16.65
22,5865445,2329524,81801,100087,19370465,18,19525,24563,5405127,29418,1888,206992,4152,16.45
23,6162679,2446940,84354,100087,20074325,18,19525,24563,5639768,30588,1888,206992,4152,16.46
24,6453894,2561484,87727,100087,20778702,18,19525,24563,5874373,31747,1888,206992,4152,16.73
25,6771214,2675241,90971,100087,21269981,18,19525,24563,6105716,32722,1888,206992,4152,16.45
26,7049512,2789216,93832,100087,22186576,18,19525,24563,6340849,34011,1888,206992,4152,16.46
27,7346427,2907500,97444,100087,22602093,18,19525,24563,6577491,35153,1888,206992,4152,16.72
28,7653982,3013614,100186,100087,23603192,18,19525,24563,6799626,36251,1888,206992,4152,15.77
29,7934839,3121988,103130,100087,24322771,18,19525,24563,7021382,37470,1888,206992,4152,15.72
30,8212148,3236519,105637,100087,25025739,18,19525,24563,7254303,38557,1888,206992,4152,16.64
31,8539611,3359920,108781,100087,25707028,18,19525,24563,7503344,39763,1888,206992,4152,17.69
32,8829777,3477633,112215,100087,25884506,18,19525,24563,7737217,40962,1888,206992,4152,16.72
33,9103713,3589421,115153,100087,27119903,18,19525,24563,7963734,42131,1888,206992,4152,15.98
