period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,318,0,4336798,9909,18,19524,24546,3713,702777,1881,206992,4152,0.01,99328
1,3502,11775,4514130,12924,18,19524,24546,4866,714662,1881,206992,4152,0.00,99328
2,3502,14361,5499794,13642,18,19524,24546,6043,726627,1881,206992,4152,0.00,99328
3,23946,16941,6439080,72588,18,19524,24546,7745,776574,1881,206992,4152,2.07,99328
4,114328,19736,7198131,237832,18,19524,24546,9217,962288,1881,206992,4152,12.45,99328
5,151592,28013,8087254,396622,18,19524,24546,10838,1051184,1881,206992,4152,5.05,99328
6,216565,38773,8907570,613051,18,19524,24546,12394,1202189,1881,206992,4152,10.01,99328
7,261468,41917,9779723,772212,18,19524,24546,13722,1302059,1881,206992,4152,6.15,99328
8,335194,48487,10567979,1017259,18,19524,24546,15279,1473790,1881,206992,4152,11.12,99328
9,383360,57432,11435009,1179353,18,19524,24546,16879,1581742,1881,206992,4152,6.62,99328
10,447475,60193,12248103,1376654,18,19524,24546,18450,1730090,1881,206992,4152,9.71,99328
11,520445,63258,13036703,1607207,18,19524,24546,19982,1894629,1881,206992,4152,10.83,99328
12,521844,66397,14006589,1688608,18,19524,24546,21785,1918972,1881,206992,4152,0.20,99328
13,636213,69478,14708602,1970362,18,19524,24546,23048,2151697,1881,206992,4152,16.47,99328
14,686568,72184,15554975,2161093,18,19524,24546,24728,2279769,1881,206992,4152,7.60,99328
15,735327,75251,16415488,2321852,18,19524,24546,26320,2389997,1881,206992,4152,6.84,99328
16,776914,78005,17282780,2449528,18,19524,24546,27905,2496219,1881,206992,4152,6.43,99328
17,823867,81095,18484291,2627851,18,19524,24546,29476,2601419,1881,206992,4152,6.35,99328
18,900187,84054,18938052,2820389,18,19524,24546,30845,2769632,1881,206992,4152,11.33,99328
19,948255,87581,19799822,2981289,18,19524,24546,32425,2880025,1881,206992,4152,6.81,99328
20,1010897,90395,20611578,3184899,18,19524,24546,33975,3028984,1881,206992,4152,9.80,99328
21,1090425,93528,21394513,3377598,18,19524,24546,35299,3195829,1881,206992,4152,11.35,99328
22,1101378,96758,22338927,3474379,18,19524,24546,36857,3240765,1881,206992,4152,1.87,99328
23,1102832,99534,23312718,3580743,18,19524,24546,38323,3262605,1881,206992,4152,0.20,99328
24,1184298,102645,24212469,3778918,18,19524,24546,39737,3436496,1881,206992,4152,11.54,99328
25,1313395,105694,24748436,4059752,18,19524,24546,41263,3704164,1881,206992,4152,18.98,99328
26,1350430,108596,25627031,4220908,18,19524,24546,42994,3802871,1881,206992,4152,5.53,99328
27,1402806,111740,26481472,4357290,18,19524,24546,44548,3917676,1881,206992,4152,7.18,99328
28,1489942,114967,27232449,4558957,18,19524,24546,45938,4109359,1881,206992,4152,12.94,99328
29,1508359,121561,28155793,4704813,18,19524,24546,47885,4170052,1881,206992,4152,2.81,99328
30,1583471,124272,28950520,4892576,18,19524,24546,49501,4333630,1881,206992,4152,10.89,99328
31,1597893,127652,29895817,4973856,18,19524,24546,51031,4378892,1881,206992,4152,1.77,99328
32,1707798,132897,30611209,5232403,18,19524,24546,52583,4610413,1881,206992,4152,15.93,99328
33,1764136,136411,31454511,5369943,18,19524,24546,54248,4733851,1881,206992,4152,7.82,99328
34,1800626,139291,32337114,5451629,18,19524,24546,55726,4827181,1881,206992,4152,5.58,99328
35,1851209,142673,33117688,5648754,18,19524,24546,57313,4941095,1881,206992,4152,7.05,99328
36,1927858,145567,33973153,5851489,18,19524,24546,58905,5116350,1881,206992,4152,11.68,99328
37,1981174,148788,34822898,6023553,18,19524,24546,60359,5235529,1881,206992,4152,7.44,99328
38,2027785,152604,35694835,6191536,18,19524,24546,62127,5349925,1881,206992,4152,6.98,99328
39,2045899,155749,36426675,6284995,18,19524,24546,63661,5402764,1881,206992,4152,2.41,99328
40,2175656,158353,37284253,6609349,18,19524,24546,65022,5672353,1881,206992,4152,18.99,99328
41,2186844,163198,38224014,6719349,18,19524,24546,66865,5721854,1881,206992,4152,2.07,99328
42,2281912,166343,38962905,6974895,18,19524,24546,68337,5930228,1881,206992,4152,14.23,99328
43,2283332,174697,39936389,7048227,18,19524,24546,69958,5953715,1881,206992,4152,0.20,99328
44,2399774,185165,40634278,7331829,18,19524,24546,71257,6194746,1881,206992,4152,16.68,99328
45,2418956,188390,41561276,7436980,18,19524,24546,72903,6254760,1881,206992,4152,3.09,99328
46,2482813,191294,41946970,7639434,18,19524,24546,74210,6397057,1881,206992,4152,9.23,99328
47,2538404,194243,43219033,7794881,18,19524,24546,75733,6527825,1881,206992,4152,8.51,99328
48,2621841,197720,43990095,8005122,18,19524,24546,77305,6708584,1881,206992,4152,12.19,99328
49,2683656,200360,44816583,8209332,18,19524,24546,78746,6844625,1881,206992,4152,8.74,99328
50,2737042,203322,45657461,8354098,18,19524,24546,80589,6970274,1881,206992,4152,7.66,99328
51,2787837,206455,46505379,8501117,18,19524,24546,82063,7093312,1881,206992,4152,7.56,99328
52,2848265,209607,47325591,8660565,18,19524,24546,83485,7234950,1881,206992,4152,9.03,99328
53,2904698,212677,48159482,8798582,18,19524,24546,85194,7366681,1881,206992,4152,8.24,99328
54,2963824,215831,48989448,8940020,18,19524,24546,86683,7502396,1881,206992,4152,8.64,99328
55,3019699,226756,49312394,9099100,18,19524,24546,88300,7632439,1881,206992,4152,8.11,99328
56,3074639,229600,50681049,9248032,18,19524,24546,90080,7761977,1881,206992,4152,8.08,99328
57,3133497,232155,51511780,9386630,18,19524,24546,91676,7899608,1881,206992,4152,8.64,99328
58,3181317,239942,52361910,9511760,18,19524,24546,93083,8018784,1881,206992,4152,7.40,99328
59,3243911,243089,53186448,9646223,18,19524,24546,94841,8158190,1881,206992,4152,8.83,99328
60,3305838,245879,54016453,9793638,18,19524,24546,96320,8296747,1881,206992,4152,8.60,99328
61,3359517,249426,54861067,9926570,18,19524,24546,97926,8419257,1881,206992,4152,7.84,99328
62,3420859,252283,55698555,10047109,18,19524,24546,99510,8549323,1881,206992,4152,8.35,99328
63,3478249,255431,56524142,10196943,18,19524,24546,101275,8688171,1881,206992,4152,8.64,99328
64,3529544,258565,57370472,10324106,18,19524,24546,102923,8809943,1881,206992,4152,7.55,99328
65,3590281,261707,58197297,10460758,18,19524,24546,104490,8947030,1881,206992,4152,8.64,99328
66,3643050,264850,59051763,10574208,18,19524,24546,106127,9062486,1881,206992,4152,7.26,99328
67,3711824,267650,59863441,10729745,18,19524,24546,107397,9214283,1881,206992,4152,10.01,99328
68,3764321,270874,60709699,10846922,18,19524,24546,109200,9336764,1881,206992,4152,7.55,99328
69,3823848,274028,61537680,10988064,18,19524,24546,110954,9472527,1881,206992,4152,8.63,99328
70,3879220,277106,61974421,11123703,18,19524,24546,112549,9600811,1881,206992,4152,8.47,99328
71,3933791,279572,63224340,11246228,18,19524,24546,114333,9726980,1881,206992,4152,7.72,99328
72,3988512,285073,64064429,11377668,18,19524,24546,115814,9854383,1881,206992,4152,7.97,99328
73,4052501,292386,64892396,11516691,18,19524,24546,117340,9995031,1881,206992,4152,9.11,99328
74,4106053,295034,65736308,11645114,18,19524,24546,119220,10119723,1881,206992,4152,7.71,99328
75,4164563,297718,66572693,11781150,18,19524,24546,120739,10253285,1881,206992,4152,8.40,99328
76,4224686,300877,67401593,11905566,18,19524,24546,122189,10388494,1881,206992,4152,8.63,99328
77,4275063,304013,68250031,12037282,18,19524,24546,123849,10507676,1881,206992,4152,7.56,99328
78,4333360,307052,69080556,12176850,18,19524,24546,125428,10644947,1881,206992,4152,8.50,99328
79,4384808,310184,69928959,12311783,18,19524,24546,127045,10765833,1881,206992,4152,7.55,99328
80,4444709,313333,70756504,12443913,18,19524,24546,128615,10902033,1881,206992,4152,8.63,99328
81,4502465,318746,71586412,12598006,18,19524,24546,130155,11038307,1881,206992,4152,8.64,99328
82,4561429,321902,72414305,12732838,18,19524,24546,131841,11172736,1881,206992,4152,8.64,99328
83,4613028,324397,73262823,12872399,18,19524,24546,133576,11295256,1881,206992,4152,7.56,99328
84,4672019,327545,74088563,13037731,18,19524,24546,135227,11431940,1881,206992,4152,8.64,99328
85,4723334,330676,74934332,13162823,18,19524,24546,136974,11553298,1881,206992,4152,7.56,99328
86,4780098,333826,75768289,13290423,18,19524,24546,138667,11684340,1881,206992,4152,8.40,99328
87,4838945,336400,76594743,13451258,18,19524,24546,140248,11824423,1881,206992,4152,8.87,99328
88,4891055,339547,77445517,13571562,18,19524,24546,141718,11944084,1881,206992,4152,7.56,99328
89,4950663,342694,78271235,13703816,18,19524,24546,143477,12081338,1881,206992,4152,8.64,99328
90,5008542,349532,79102236,13857584,18,19524,24546,144971,12216412,1881,206992,4152,8.64,99328
91,5060559,352666,79950178,13983276,18,19524,24546,146403,12336673,1881,206992,4152,7.55,99328
92,5118454,355811,80776782,14133994,18,19524,24546,148114,12473850,1881,206992,4152,8.64,99328
93,5177332,368238,81613809,14265015,18,19524,24546,149548,12607890,1881,206992,4152,8.63,99328
94,5228643,371259,82464482,14391365,18,19524,24546,150901,12727428,1881,206992,4152,7.56,99328
95,5287931,374403,83288045,14531781,18,19524,24546,152613,12867343,1881,206992,4152,8.64,99328
96,5345725,377711,84116943,14686708,18,19524,24546,154351,13002961,1881,206992,4152,8.63,99328
97,5404434,381139,84730958,14847453,18,19524,24546,156018,13135563,1881,206992,4152,8.57,99328
98,5455847,383998,85802847,14985969,18,19524,24546,157269,13255875,1881,206992,4152,7.62,99328
99,5515380,387077,86633037,15126191,18,19524,24546,158855,13392115,1881,206992,4152,8.63,99328
100,5567610,390388,87475268,15260252,18,19524,24546,160582,13513879,1881,206992,4152,7.56,99328
101,5626081,393710,88306303,15428490,18,19524,24546,162118,13647737,1881,206992,4152,8.64,99328
102,5684319,397023,89138992,15578393,18,19524,24546,163637,13782054,1881,206992,4152,8.63,99328
103,5737498,400334,89989035,15705418,18,19524,24546,165265,13900733,1881,206992,4152,7.55,99328
104,5796691,403132,90821371,15874789,18,19524,24546,166807,14037061,1881,206992,4152,8.64,99328
105,5855748,406438,91654301,16032652,18,19524,24546,168332,14172249,1881,206992,4152,8.64,99328
106,5906841,409740,92500464,16164213,18,19524,24546,169987,14294004,1881,206992,4152,7.56,99328
107,5960292,415765,93054787,16312971,18,19524,24546,171588,14425434,1881,206992,4152,8.22,99328
108,6020752,422910,94169731,16485434,18,19524,24546,173251,14569479,1881,206992,4152,9.05,99328
