period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,499,4177,4073369,7091,18,19469,24380,3258,695981,1843,290608,4152,0.01
1,6064,14967,4255708,10508,18,19469,24380,4538,711277,1843,290608,4152,0.00
2,6064,17584,5238293,12354,18,19469,24380,5963,725897,1843,290608,4152,0.00
3,91356,20443,6292780,785977,18,19469,24380,7188,932543,1843,290608,4152,15.42
4,173046,24156,6460720,1604586,18,19469,24380,8387,1149372,1843,290608,4152,16.28
5,250223,27317,6653745,2399318,18,19469,24380,9654,1362020,1843,290608,4152,15.78
6,328114,30735,6874367,3166921,18,19469,24380,10851,1563367,1843,290608,4152,15.21
7,405066,34344,7065915,3970792,18,19469,24380,12065,1775551,1843,290608,4152,15.76
8,482691,37768,7270141,4758809,18,19469,24380,13350,1985404,1843,290608,4152,15.45
9,563065,41214,10365485,5569823,18,19469,24380,14581,2198513,1843,290608,4152,15.88
10,641947,44306,7634912,6381937,18,19469,24380,15791,2409759,1843,290608,4152,16.01
11,717753,47996,7851671,7152417,18,19469,24380,16948,2611787,1843,290608,4152,15.17
12,795805,51254,12581126,7931203,18,19469,24380,18229,2815714,1843,290608,4152,15.23
13,872345,54420,13315846,8717818,18,19469,24380,19486,3023367,1843,290608,4152,15.63
14,945506,57317,8495300,9476153,18,19469,24380,20641,3221394,1843,290608,4152,15.12
15,1020027,59886,14801862,10237575,18,19469,24380,21814,3421159,1843,290608,4152,15.12
16,1096461,62738,8911486,11032095,18,19469,24380,23014,3633022,1843,290608,4152,15.86
17,1174524,66546,9101059,11840781,18,19469,24380,24191,3846522,1843,290608,4152,15.96
18,1255026,70448,9301139,12636257,18,19469,24380,25402,4057336,1843,290608,4152,15.64
19,1333933,74110,9476700,13450914,18,19469,24380,26583,4270620,1843,290608,4152,16.09
20,1413218,77138,9632043,14287773,18,19469,24380,27837,4491795,1843,290608,4152,16.62
21,1489153,80855,9796592,15108031,18,19469,24380,29014,4714111,1843,290608,4152,16.28
22,1565130,84366,9988532,15902602,18,19469,24380,30247,4925930,1843,290608,4152,15.75
23,1640526,87460,20657350,16696857,18,19469,24380,31401,5137987,1843,290608,4152,15.66
24,1720104,90911,10352014,17521987,18,19469,24380,32604,5358281,1843,290608,4152,16.48
25,1799782,94307,10502899,18368926,18,19469,24380,33794,5583690,1843,290608,4152,16.81
26,1879703,97649,10655713,19210433,18,19469,24380,35009,5806003,1843,290608,4152,16.64
27,1956122,101388,23553619,20023306,18,19469,24380,36235,6023242,1843,290608,4152,16.12
28,2032016,104176,11008575,20838716,18,19469,24380,37434,6244761,1843,290608,4152,16.27
29,2107656,107623,11175548,21664204,18,19469,24380,38601,6467555,1843,290608,4152,16.36
30,2183736,111015,11337172,22493183,18,19469,24380,39787,6690699,1843,290608,4152,16.48
31,2261414,114675,11493497,23326603,18,19469,24380,41088,6913123,1843,290608,4152,16.57
32,2338180,117985,11666766,24147215,18,19469,24380,42238,7135825,1843,290608,4152,16.27
33,2416591,122078,11820727,24984739,18,19469,24380,43405,7361906,1843,290608,4152,16.62
34,2491940,125207,28613752,25801168,18,19469,24380,44592,7584621,1843,290608,4152,16.19
35,2567432,128445,12161936,26622819,18,19469,24380,45729,7809773,1843,290608,4152,16.38
36,2645440,131456,30058660,27459014,18,19469,24380,46966,8034818,1843,290608,4152,16.60
37,2726868,135393,12453995,28318756,18,19469,24380,48200,8263996,1843,290608,4152,17.00
38,2804914,139026,12616266,29147462,18,19469,24380,49344,8486841,1843,290608,4152,16.31
39,2883337,142755,12754021,29997972,18,19469,24380,50491,8713198,1843,290608,4152,16.78
40,2957231,146311,12943383,30803228,18,19469,24380,51702,8931390,1843,290608,4152,15.95
41,3037511,149883,33667041,31658382,18,19469,24380,52903,9158914,1843,290608,4152,16.83
42,3111236,153047,13261832,32456331,18,19469,24380,54070,9375938,1843,290608,4152,15.80
43,3190467,156631,13425489,33274150,18,19469,24380,55262,9599864,1843,290608,4152,16.27
44,3268117,160078,35835923,34113449,18,19469,24380,56504,9826741,1843,290608,4152,16.68
45,3344761,163590,13710150,34971919,18,19469,24380,57681,10057289,1843,290608,4152,17.06
46,3420981,167222,13893136,35776493,18,19469,24380,58946,10280658,1843,290608,4152,16.01
47,3498026,170569,14056085,36608584,18,19469,24380,60085,10510113,1843,290608,4152,16.44
48,3574746,174381,14209506,37446235,18,19469,24380,61296,10739712,1843,290608,4152,16.64
49,3653666,177523,14353972,38296013,18,19469,24380,62433,10967887,1843,290608,4152,16.90
50,3730914,181321,14522597,39112756,18,19469,24380,63745,11183904,1843,290608,4152,16.23
51,3810349,184722,14658707,39970689,18,19469,24380,65035,11414925,1843,290608,4152,17.06
52,3886636,188694,14827406,40789841,18,19469,24380,66276,11640227,1843,290608,4152,16.26
53,3963496,192297,15027231,41586829,18,19469,24380,67513,11854627,1843,290608,4152,15.77
54,4042452,195646,15155646,42447048,18,19469,24380,68646,12084423,1843,290608,4152,17.11
55,4120165,199586,15319369,43281498,18,19469,24380,69855,12307131,1843,290608,4152,16.57
56,4199663,203057,15448905,44147066,18,19469,24380,71182,12540463,1843,290608,4152,17.15
57,4276744,206680,15594125,44987410,18,19469,24380,72361,12765204,1843,290608,4152,16.73
58,4357112,209985,15731949,45840798,18,19469,24380,73554,12994271,1843,290608,4152,16.91
59,4436382,213312,46650768,46717761,18,19469,24380,74789,13227222,1843,290608,4152,17.38
60,4516276,217231,16000204,47554524,18,19469,24380,75932,13457422,1843,290608,4152,16.51
61,4594703,220909,16124352,48419801,18,19469,24380,77155,13690685,1843,290608,4152,17.09
62,4672597,224439,16270936,49260630,18,19469,24380,78398,13915748,1843,290608,4152,16.60
63,4752254,227649,16396725,50130053,18,19469,24380,79626,14147771,1843,290608,4152,17.08
64,4829640,231411,16525202,50996994,18,19469,24380,80755,14382902,1843,290608,4152,17.10
65,4909085,234391,16640124,51867533,18,19469,24380,82036,14619795,1843,290608,4152,17.13
66,4990220,238530,16751310,52758966,18,19469,24380,83309,14856683,1843,290608,4152,17.53
67,5068732,241622,16902128,53597663,18,19469,24380,84472,15079134,1843,290608,4152,16.55
68,5147310,244707,53070407,54457331,18,19469,24380,85671,15312229,1843,290608,4152,17.05
69,5224866,247856,17152458,55320421,18,19469,24380,86851,15549068,1843,290608,4152,17.17
70,5306703,251239,17258185,56198069,18,19469,24380,88103,15786606,1843,290608,4152,17.43
71,5384044,254419,17398196,57042157,18,19469,24380,89288,16016849,1843,290608,4152,16.79
72,5459133,258237,17604872,57831824,18,19469,24380,90454,16230126,1843,290608,4152,15.61
73,5539118,261585,56675259,58635747,18,19469,24380,91642,16442619,1843,290608,4152,15.83
74,5615455,264692,17991917,59427773,18,19469,24380,92939,16649946,1843,290608,4152,15.72
75,5690586,268448,18272395,60136887,18,19469,24380,94109,16835759,1843,290608,4152,13.95
