IDLE,Mbps,Stack,Timestamp,TmrSvc,esp_timer,experiment_runn,ipc0,ipc1,measurer,sys_evt,tiT,wifi
112622271,15.76,4116,358,18,618935,31586343,27228,44089,2010939,14049,245796471,87243549
3592863,0.01,4116,0,18,3776,583,27228,44093,4597,14403,7818,708728
4590298,0.00,4116,1,18,5084,5916,27228,44093,18716,14403,10183,721683
5575809,0.00,4116,2,18,6375,5916,27228,44093,25425,14403,11071,734405
6271737,15.41,4116,3,18,7972,94142,27228,44093,32135,14403,667711,971878
7039319,16.56,4116,4,18,9864,185722,27228,44093,37288,14403,1372711,1224759
7303180,17.01,4116,5,18,11647,278977,27228,44093,43869,14403,2092711,1482186
7568815,17.09,4116,6,18,13188,372501,27228,44093,47955,14403,2815717,1734866
7874566,16.00,4116,7,18,14914,461726,27228,44093,51950,14403,3499212,1980621
8134468,17.21,4116,8,18,16628,555099,27228,44093,57278,14403,4227563,2234824
10355389,16.55,4116,9,18,18411,645461,27228,44093,61664,14403,4933733,2488575
11035052,16.68,4116,10,18,20240,736019,27228,44093,66924,14403,5639203,2738843
9017283,15.74,4116,11,18,21839,823925,27228,44093,74016,14403,6303283,2970345
9329670,15.93,4116,12,18,23560,912249,27228,44093,77997,14403,6982471,3214769
9590430,17.03,4116,13,18,25180,1004129,27228,44093,83968,14403,7706021,3472409
9890615,16.33,4116,14,18,27163,1093814,27228,44093,88216,14403,8397986,3717957
14494335,16.06,4116,15,18,28849,1181436,27228,44093,94625,14403,9080725,3960841
10463331,17.09,4116,16,18,30603,1272697,27228,44093,100773,14403,9798667,4215728
10751178,16.45,4116,17,18,32450,1361790,27228,44093,105035,14403,10498711,4461997
16552901,16.48,4116,18,18,34406,1455034,27228,44093,110336,14403,11200238,4709464
17244648,15.85,4116,19,18,36162,1543976,27228,44093,114495,14403,11876024,4953558
11658945,16.26,4116,20,18,37950,1629843,27228,44093,119965,14403,12560379,5198282
11994258,15.52,4116,21,18,39796,1717670,27228,44093,125125,14403,13220561,5433717
12330410,15.39,4116,22,18,41444,1804034,27228,44093,129076,14403,13876555,5664039
12627829,16.32,4116,23,18,43217,1894866,27228,44093,134293,14403,14568410,5907220
20753826,15.55,4116,24,18,44880,1982594,27228,44093,139665,14403,15228859,6140729
13249658,16.52,4116,25,18,46526,2072324,27228,44093,146271,14403,15926963,6387112
13514123,16.98,4116,26,18,48309,2164490,27228,44093,151870,14403,16647786,6641967
13822894,15.98,4116,27,18,50024,2254149,27228,44093,158429,14403,17325376,6877164
14061283,17.61,4116,28,18,51844,2349473,27228,44093,162813,14403,18076162,7145596
14321883,17.02,4116,29,18,53505,2444890,27228,44093,169745,14403,18793491,7400696
24828462,16.88,4116,30,18,55300,2534625,27228,44093,175392,14403,19507852,7659394
14832470,17.57,4116,31,18,57040,2629092,27228,44093,181201,14403,20250262,7927922
15094197,17.20,4116,32,18,58876,2721608,27228,44093,186166,14403,20977369,8183376
15354660,17.24,4116,33,18,60746,2816043,27228,44093,190260,14403,21707956,8442459
15609136,17.38,4116,34,18,62603,2909105,27228,44093,194885,14403,22443187,8706793
28226549,15.55,4116,35,18,64329,2995238,27228,44093,199035,14403,23101436,8942624
16217890,17.00,4116,36,18,66347,3089403,27228,44093,203018,14403,23820302,9199785
16518164,16.22,4116,37,18,67879,3179857,27228,44093,207118,14403,24508920,9440917
16821876,16.16,4116,38,18,69648,3268066,27228,44093,211705,14403,25193224,9682018
30969608,17.67,4116,39,18,71497,3364861,27228,44093,215266,14403,25944394,9949254
17321898,17.15,4116,40,18,73328,3457661,27228,44093,219608,14403,26670648,10206578
17600259,16.79,4116,41,18,75177,3550428,27228,44093,225367,14403,27383523,10461040
17865235,17.01,4116,42,18,77089,3642581,27228,44093,230708,14403,28102833,10710320
18137020,16.93,4116,43,18,78745,3736983,27228,44093,235597,14403,28822760,10968880
18379593,17.60,4116,44,18,80670,3830743,27228,44093,240413,14403,29568981,11232853
18697863,15.66,4116,45,18,82468,3918326,27228,44093,246128,14403,30234240,11470733
18947503,17.30,4116,46,18,84175,4012812,27228,44093,251396,14403,30970464,11729889
36408089,17.32,4116,47,18,85930,4107146,27228,44093,256381,14403,31705789,11990147
19498005,16.33,4116,48,18,87802,4194000,27228,44093,263470,14403,32394072,12239225
37775108,16.79,4116,49,18,89537,4285639,27228,44093,268867,14403,33109927,12496419
20057209,16.49,4116,50,18,91270,4375934,27228,44093,274199,14403,33807693,12746205
20339094,16.59,4116,51,18,93002,4465383,27228,44093,281820,14403,34507986,12999237
39826304,16.79,4116,52,18,94779,4557002,27228,44093,286177,14403,35226963,13261422
20904435,16.47,4116,53,18,96468,4644216,27228,44093,292820,14403,35920583,13508282
41195564,16.25,4116,54,18,98107,4734094,27228,44093,298481,14403,36611410,13755858
41908228,14.89,4116,55,18,99836,4814371,27228,44093,306120,14403,37240179,13978642
21887152,15.64,4116,56,18,101467,4898945,27228,44093,312104,14403,37899563,14213271
22144803,17.02,4116,57,18,103299,4992425,27228,44093,317405,14403,38624015,14474228
22393266,17.50,4116,58,18,105081,5084823,27228,44093,322029,14403,39365552,14734728
22618604,17.94,4116,59,18,106705,5180025,27228,44093,326066,14403,40125456,15001025
22888618,16.95,4116,60,18,108402,5273204,27228,44093,331280,14403,40842157,15256935
45988396,16.76,4116,61,18,110266,5365045,27228,44093,335054,14403,41557103,15516088
46671899,16.53,4116,62,18,112095,5453144,27228,44093,341782,14403,42257930,15767344
23730194,16.54,4116,63,18,113880,5544070,27228,44093,348500,14403,42957333,16017922
48040770,16.51,4116,64,18,115562,5635747,27228,44093,355393,14403,43659590,16264040
24327156,16.17,4116,65,18,117167,5723281,27228,44093,361347,14403,44339241,16505822
24575617,17.47,4116,66,18,118775,5817420,27228,44093,367009,14403,45079636,16765714
24865857,16.31,4116,67,18,120715,5909034,27228,44093,371057,14403,45775725,17015745
25132633,16.71,4116,68,18,122369,5998836,27228,44093,378539,14403,46482612,17269188
51466717,16.48,4116,69,18,124132,6092911,27228,44093,383945,14403,47182096,17522913
25702807,16.68,4116,70,18,125863,6183691,27228,44093,388926,14403,47889386,17777878
52840260,16.88,4116,71,18,127368,6274621,27228,44093,394323,14403,48600284,18029086
26260789,16.53,4116,72,18,129209,6367164,27228,44093,400735,14403,49299430,18280620
26555953,16.36,4116,73,18,130824,6458688,27228,44093,405918,14403,49996754,18529380
26825248,17.03,4116,74,18,132656,6554647,27228,44093,411825,14403,50715146,18783776
27108944,16.59,4116,75,18,134238,6648727,27228,44093,416779,14403,51419481,19037500
27393958,16.41,4116,76,18,136036,6737550,27228,44093,422582,14403,52114412,19285341
27676473,16.74,4116,77,18,137664,6828747,27228,44093,428341,14403,52824375,19536047
27948636,16.82,4116,78,18,139418,6922559,27228,44093,433682,14403,53539215,19792200
28250800,16.09,4116,79,18,141104,7011045,27228,44093,441340,14403,54216743,20031923
28515372,17.01,4116,80,18,142901,7103065,27228,44093,445562,14403,54936294,20288829
59684458,16.40,4116,81,18,144739,7193434,27228,44093,451062,14403,55632797,20537135
29099755,16.45,4116,82,18,146643,7281787,27228,44093,457095,14403,56326165,20788501
29373246,16.98,4116,83,18,148414,7373271,27228,44093,461539,14403,57046436,21038255
61771438,14.83,4116,84,18,150129,7456347,27228,44093,467032,14403,57679303,21263106
62450170,16.71,4116,85,18,151966,7547842,27228,44093,473766,14403,58384018,21512584
30309865,16.06,4116,86,18,153878,7636418,27228,44093,478953,14403,59067409,21755742
30618086,16.02,4116,87,18,155564,7725125,27228,44093,486581,14403,59741480,21994422
30891758,16.83,4116,88,18,157558,7816583,27228,44093,490190,14403,60456328,22245528
31207588,15.90,4116,89,18,159132,7903480,27228,44093,496205,14403,61127184,22484411
31503036,16.35,4116,90,18,160787,7992974,27228,44093,501326,14403,61819157,22729536
66600693,17.43,4116,91,18,162569,8087151,27228,44093,506615,14403,62559240,22989143
67278811,17.16,4116,92,18,164367,8178899,27228,44093,511166,14403,63282702,23247688
67950181,17.32,4116,93,18,166177,8271280,27228,44093,516993,14403,64014127,23506088
32495463,17.98,4116,94,18,168026,8367237,27228,44093,521183,14403,64776856,23776919
69296846,16.49,4116,95,18,169714,8457094,27228,44093,527013,14403,65479607,24025400
33064661,16.63,4116,96,18,171527,8548025,27228,44093,533102,14403,66179516,24274279
33338081,16.72,4116,97,18,173389,8640511,27228,44093,539711,14403,66890382,24530541
71354668,16.41,4116,98,18,175044,8729842,27228,44093,543575,14403,67587815,24778179
72036319,16.82,4116,99,18,176754,8819105,27228,44093,549277,14403,68295682,25032620
72722811,16.11,4116,100,18,178511,8907447,27228,44093,554420,14403,68979686,25278780
34485688,17.10,4116,101,18,180184,8999353,27228,44093,560492,14403,69700944,25534740
34773130,16.61,4116,102,18,182079,9090528,27228,44093,566055,14403,70405343,25783303
35053561,16.66,4116,103,18,183779,9181874,27228,44093,570945,14403,71112863,26039322
35366201,15.91,4116,104,18,185585,9269479,27228,44093,574736,14403,71793521,26283640
35635206,17.09,4116,105,18,187264,9362302,27228,44093,580291,14403,72518308,26535109
35904287,17.09,4116,106,18,189187,9455766,27228,44093,584852,14403,73241518,26795048
36194342,16.35,4116,107,18,190799,9544639,27228,44093,589577,14403,73938297,27043901
78194237,16.80,4116,108,18,192521,9634801,27228,44093,594678,14403,74650543,27303641
78880078,16.53,4116,109,18,194263,9724727,27228,44093,599356,14403,75353234,27560504
37046353,16.55,4116,110,18,196002,9816430,27228,44093,604942,14403,76054645,27809584
37344152,16.20,4116,111,18,197705,9903805,27228,44093,610780,14403,76742233,28055267
37615980,16.91,4116,112,18,199539,9994846,27228,44093,617206,14403,77458507,28308038
