period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps,main
0,328,9,4339683,7780,19,19522,24514,699415,3642,1881,206992,4152,0.01,99239
1,4266,11868,4512398,11856,19,19522,24514,715661,5019,1881,206992,4152,0.00,99239
2,4266,14493,5496908,13013,19,19522,24514,728581,6213,1881,206992,4152,0.00,99239
3,17597,17086,6437928,70732,19,19522,24514,776327,7959,1881,206992,4152,2.06,99239
4,101160,19900,7207386,236243,19,19522,24514,947972,9228,1881,206992,4152,11.73,99239
5,140711,26654,8071772,377433,19,19522,24514,1054489,10948,1881,206992,4152,6.24,99239
6,189443,42219,8911450,1126874,19,19522,24514,1190804,12582,1881,206992,4152,7.38,99239
7,219055,52897,9802580,1580806,19,19522,24514,1287125,14543,1881,206992,4152,5.17,99239
8,349736,55319,10465706,1835937,19,19522,24514,1541730,15741,1881,206992,4152,17.85,99239
9,409625,58449,11291974,1960639,19,19522,24514,1673782,17319,1881,206992,4152,8.72,99239
10,449391,61532,12162031,2049817,19,19522,24514,1777146,18952,1881,206992,4152,6.32,99239
11,467665,64577,13098738,2084924,19,19522,24514,1826776,20717,1881,206992,4152,2.24,99239
12,573460,67478,13808142,2300427,19,19522,24514,2047517,22016,1881,206992,4152,15.39,99239
13,591079,74570,15008268,2338498,19,19522,24514,2097124,23686,1881,206992,4152,2.37,99239
14,670215,77476,15524003,2503307,19,19522,24514,2269577,25284,1881,206992,4152,11.55,99239
15,722622,80566,16377273,2607261,19,19522,24514,2383238,26778,1881,206992,4152,7.16,99239
16,783961,83157,17194825,2738239,19,19522,24514,2525614,28425,1881,206992,4152,9.35,99239
17,804564,86307,18122276,2780807,19,19522,24514,2580649,30010,1881,206992,4152,2.66,99239
18,914338,89444,18823813,3005297,19,19522,24514,2808984,31533,1881,206992,4152,16.05,99239
19,915976,92669,19794294,3012643,19,19522,24514,2833459,33551,1881,206992,4152,0.20,99239
20,1040505,95807,20954400,3260109,19,19522,24514,3081280,34807,1881,206992,4152,17.77,99239
21,1044239,98934,21431157,3276085,19,19522,24514,3114590,36590,1881,206992,4152,0.94,99239
22,1129699,102077,22744472,3446233,19,19522,24514,3294244,38049,1881,206992,4152,12.11,99239
23,1137206,105113,23146694,3470186,19,19522,24514,3334588,40082,1881,206992,4152,1.50,99239
24,1266502,108359,23804439,3726353,19,19522,24514,3592786,41468,1881,206992,4152,18.29,99239
25,1303440,113673,24688743,3806911,19,19522,24514,3686859,43101,1881,206992,4152,5.41,99239
26,1373224,116531,25489878,3952707,19,19522,24514,3841050,44675,1881,206992,4152,10.17,99239
27,1377564,119769,26449062,3970478,19,19522,24514,3875305,46505,1881,206992,4152,1.03,99239
28,1487812,122911,27150259,4190178,19,19522,24514,4100242,47990,1881,206992,4152,15.58,99239
29,1516106,126133,28051496,4254432,19,19522,24514,4177072,49659,1881,206992,4152,4.31,99239
30,1575128,129151,28873811,4380536,19,19522,24514,4315284,51308,1881,206992,4152,8.91,99239
31,1641455,132286,29686069,4517590,19,19522,24514,4460700,52703,1881,206992,4152,9.68,99239
32,1718584,135433,30461481,4674539,19,19522,24514,4628255,54262,1881,206992,4152,10.92,99239
33,1770644,138648,31306196,4782485,19,19522,24514,4749279,56123,1881,206992,4152,7.55,99239
34,1827922,141922,32138114,4902448,19,19522,24514,4879434,57821,1881,206992,4152,8.43,99239
35,1885088,145105,32974519,5019883,19,19522,24514,5011677,59605,1881,206992,4152,8.13,99239
36,1941691,147948,33810450,5137708,19,19522,24514,5139862,61277,1881,206992,4152,8.25,99239
37,2002430,150550,34634953,5260633,19,19522,24514,5272880,62981,1881,206992,4152,8.63,99239
38,2061375,153694,35461560,5383711,19,19522,24514,5407892,64553,1881,206992,4152,8.63,99239
39,2118593,156829,36289820,5502855,19,19522,24514,5539528,66244,1881,206992,4152,8.63,99239
40,2171114,159589,37134426,5615861,19,19522,24514,5663238,67723,1881,206992,4152,7.55,99239
41,2221847,162742,37979413,5722374,19,19522,24514,5782979,69353,1881,206992,4152,7.55,99239
42,2286028,165890,38790605,5856128,19,19522,24514,5926712,70972,1881,206992,4152,9.39,99239
43,2341147,168359,39627834,5972145,19,19522,24514,6054067,72820,1881,206992,4152,7.87,99239
44,2401389,171158,40453809,6096180,19,19522,24514,6188443,74483,1881,206992,4152,8.63,99239
45,2456977,174308,41293266,6208431,19,19522,24514,6312019,76073,1881,206992,4152,7.85,99239
46,2514078,177436,42123822,6327700,19,19522,24514,6442626,77779,1881,206992,4152,8.33,99239
47,2574053,180569,42950161,6450098,19,19522,24514,6574175,79428,1881,206992,4152,8.63,99239
48,2624961,183701,43795407,6558988,19,19522,24514,6694664,81189,1881,206992,4152,7.89,99239
49,2680493,186372,44633615,6676702,19,19522,24514,6822793,82920,1881,206992,4152,7.96,99239
50,2735747,189552,45470540,6793152,19,19522,24514,6950001,84608,1881,206992,4152,8.37,99239
51,2781903,192071,46334350,6892832,19,19522,24514,7058447,86065,1881,206992,4152,6.90,99239
52,2852675,194865,47143597,7034912,19,19522,24514,7205726,87441,1881,206992,4152,9.85,99239
53,2910988,197999,47970317,7158225,19,19522,24514,7338996,89161,1881,206992,4152,8.63,99239
54,2968028,201127,48799955,7276094,19,19522,24514,7469446,90770,1881,206992,4152,8.19,99239
55,3017856,204127,49645723,7381451,19,19522,24514,7589128,92595,1881,206992,4152,7.53,99239
56,3079687,206514,52137450,7512792,19,19522,24514,7728444,94124,1881,206992,4152,9.09,99239
57,3131055,209456,51311245,7622918,19,19522,24514,7848707,95741,1881,206992,4152,7.55,99239
58,3191045,212604,52139934,7746036,19,19522,24514,7981024,97678,1881,206992,4152,8.63,99239
59,3249877,215746,52965772,7868187,19,19522,24514,8114616,99250,1881,206992,4152,8.63,99239
60,3305601,218881,53803798,7980606,19,19522,24514,8237569,100830,1881,206992,4152,7.96,99239
61,3354609,222009,54654294,8083120,19,19522,24514,8351876,102803,1881,206992,4152,7.14,99239
62,3416577,225149,55476372,8206947,19,19522,24514,8485731,104397,1881,206992,4152,8.63,99239
63,3477130,228390,58211507,8333201,19,19522,24514,8623562,106237,1881,206992,4152,9.02,99239
64,3534766,231627,57131953,8455286,19,19522,24514,8752939,107944,1881,206992,4152,8.24,99239
65,3590951,234478,57967675,8570517,19,19522,24514,8880666,109567,1881,206992,4152,8.19,99239
66,3648326,237108,58798612,8691322,19,19522,24514,9012554,111173,1881,206992,4152,8.30,99239
