period,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,256,463,96694,4578433,7630,18,15788,14118,3271,706360,1823,290608,4148,0.01
1,5207,11619,96694,4760313,10368,18,15788,14118,4329,716493,1823,290608,4148,0.00
2,5207,14241,96694,5749883,11438,18,15788,14118,5350,725529,1823,290608,4148,0.00
3,37619,16914,96694,6649947,74858,18,15788,14118,6183,799774,1823,290608,4148,4.15
4,109252,19640,96694,7444031,218420,18,15788,14118,7074,954119,1823,290608,4148,9.88
5,171877,22468,96694,8256675,346925,18,15788,14118,7858,1090349,1823,290608,4148,8.67
6,228817,25764,96694,10093213,464771,18,15788,14118,8592,1214705,1823,290608,4148,7.89
7,267393,28665,96694,9984434,542227,18,15788,14118,9823,1297853,1823,290608,4148,4.87
8,371865,31700,96694,10710639,749598,18,15788,14118,10451,1501322,1823,290608,4148,13.20
9,421826,34795,96694,11567436,852261,18,15788,14118,11390,1606552,1823,290608,4148,6.49
10,506090,37845,96694,12338030,1023353,18,15788,14118,12263,1777679,1823,290608,4148,10.94
11,567285,40978,96694,13147953,1155833,18,15788,14118,13323,1917430,1823,290608,4148,8.65
12,629789,44031,96694,13958163,1289642,18,15788,14118,14372,2055732,1823,290608,4148,8.66
13,690077,46961,96694,14773887,1420549,18,15788,14118,15434,2193074,1823,290608,4148,8.65
14,751339,49908,96694,15585334,1553416,18,15788,14118,16345,2331680,1823,290608,4148,8.64
15,807362,52956,96694,16417734,1674061,18,15788,14118,17180,2458132,1823,290608,4148,7.91
16,864851,56136,96694,17246021,1798817,18,15788,14118,17979,2586008,1823,290608,4148,8.16
17,934360,58823,96694,18042736,1950150,18,15788,14118,18871,2737796,1823,290608,4148,9.89
18,998114,61944,96694,18849385,2088147,18,15788,14118,19679,2878948,1823,290608,4148,8.92
19,1060410,65063,96694,19661249,2223113,18,15788,14118,20760,3016742,1823,290608,4148,8.87
20,1120718,67892,96694,20482095,2352449,18,15788,14118,21780,3151553,1823,290608,4148,8.27
21,1183487,70916,96694,22882970,2486992,18,15788,14118,22529,3288467,1823,290608,4148,8.84
