period,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,wifi,esp_timer,sys_evt,ipc0,Heap,Stack,Mbps
0,9555,254,220,101247,5214262,18,19498,708980,4283,13468,1822,290608,4152,0.01
1,13041,1188,11575,101247,5389171,18,19498,723252,5597,13468,1822,290608,4152,0.00
2,13956,1188,14195,101247,6375525,18,19498,735347,6754,13468,1822,290608,4152,0.00
3,204861,105936,16778,101247,7998907,18,19498,934055,7796,13468,1822,290608,4152,13.96
4,464706,230623,20281,101247,8693546,18,19498,1192947,8927,13468,1822,290608,4152,14.90
5,809836,359973,23156,101247,9307216,18,19498,1528520,10226,13468,1822,290608,4152,16.23
6,1079785,505768,26068,101247,9990670,18,19498,1780334,11455,13468,1822,290608,4152,17.78
7,1455320,633136,29222,101247,9547736,18,19498,2153419,12517,13468,1822,290608,4152,16.37
8,1832585,742768,32207,101247,10086048,18,19498,2538211,13717,13468,1822,290608,4152,16.10
9,2216542,840706,34665,101247,11767093,18,19498,2938682,15016,13468,1822,290608,4152,14.53
10,2559921,950302,37659,101247,12389199,18,19498,3295741,16218,13468,1822,290608,4152,15.74
11,2913823,1057427,40628,101247,11753546,18,19498,3659841,17408,13468,1822,290608,4152,14.95
12,3276077,1156222,43804,101247,12314967,18,19498,4030739,18530,13468,1822,290608,4152,14.60
13,3609890,1257154,47002,101247,14240151,18,19498,4379758,19644,13468,1822,290608,4152,14.26
14,3975596,1358651,50285,101247,14846847,18,19498,4756447,20776,13468,1822,290608,4152,14.56
15,4342287,1460549,53176,101247,14020195,18,19498,5133694,21913,13468,1822,290608,4152,14.30
16,4650458,1552964,56344,101247,14641172,18,19498,5451811,23047,13468,1822,290608,4152,13.18
17,5009720,1652962,59401,101247,15203691,18,19498,5825016,24081,13468,1822,290608,4152,14.57
18,5265818,1732270,62355,101247,15862117,18,19498,6100044,25193,13468,1822,290608,4152,11.69
19,5613259,1852279,65657,101247,16433991,18,19498,6450954,26433,13468,1822,290608,4152,15.14
20,5952755,1966867,68683,101247,17021335,18,19498,6797841,27487,13468,1822,290608,4152,14.42
21,6310944,2080957,71319,101247,19307744,18,19498,7161508,28711,13468,1822,290608,4152,14.63
22,6668473,2182389,74315,101247,18169201,18,19498,7526226,29917,13468,1822,290608,4152,13.68
23,6975542,2274826,77368,101247,18799099,18,19498,7844498,31134,13468,1822,290608,4152,12.30
24,7269227,2361195,80354,101247,21269712,18,19498,8155335,32081,13468,1822,290608,4152,13.04
25,7575710,2452917,83418,101247,20037009,18,19498,8478734,33306,13468,1822,290608,4152,13.49
26,7888322,2540549,86649,101247,20644018,18,19498,8810570,34574,13468,1822,290608,4152,12.74
27,8195948,2643884,89343,101247,21260940,18,19498,9126650,35646,13468,1822,290608,4152,14.39
28,8453937,2747850,92019,101247,21918160,18,19498,9390496,36953,13468,1822,290608,4152,13.40
29,8808283,2862365,95241,101247,22479576,18,19498,9750769,38090,13468,1822,290608,4152,14.59
30,9154335,2982507,98539,101247,23054397,18,19498,10095652,39356,13468,1822,290608,4152,15.25
31,9402077,3086998,101210,101247,23728260,18,19498,10346315,40506,13468,1822,290608,4152,13.12
32,9718691,3206092,103694,101247,24323518,18,19498,10668850,41788,13468,1822,290608,4152,15.10
33,10083771,3329507,106146,101247,24875759,18,19498,11032477,43049,13468,1822,290608,4152,15.56
34,10393438,3449150,109123,101247,25489807,18,19498,11339406,44469,13468,1822,290608,4152,14.76
35,10733248,3558299,112641,101247,26068001,18,19498,11686788,45824,13468,1822,290608,4152,14.07
