period,experiment_runn,measurer,IDLE,tiT,ipc0,TmrSvc,esp_timer,wifi,ipc1,sys_evt,Heap,Stack,Mbps,main
0,393,655,4347333,7555,1814,18,3012,696232,19424,24199,290608,4152,0.01,100259
1,2261,11678,4524601,11966,1814,18,4337,710610,19424,24199,290608,4152,0.00,100259
2,2261,14282,5510077,13091,1814,18,5549,723534,19424,24199,290608,4152,0.00,100259
3,85768,16864,6268759,172511,1814,18,6651,894951,19424,24199,290608,4152,12.53,100259
4,215321,19791,7902332,414800,1814,18,7890,1137075,19424,24199,290608,4152,17.65,100259
5,356060,23120,7595551,674208,1814,18,8965,1389095,19424,24199,290608,4152,18.48,100259
6,485156,26100,8276110,912320,1814,18,10219,1622105,19424,24199,290608,4152,17.06,100259
7,610298,29210,8966263,1143392,1814,18,11326,1844584,19424,24199,290608,4152,16.71,100259
8,739184,32304,9654016,1377165,1814,18,12503,2068429,19424,24199,290608,4152,16.54,100259
9,863264,34867,11526422,1604246,1814,18,13704,2291258,19424,24199,290608,4152,16.36,100259
10,987864,37675,11036408,1838323,1814,18,14982,2517899,19424,24199,290608,4152,16.88,100259
11,1109795,40652,11739376,2060491,1814,18,16143,2735020,19424,24199,290608,4152,15.92,100259
12,1237350,43844,13731831,2293257,1814,18,17242,2958751,19424,24199,290608,4152,16.77,100259
13,1349999,46861,13140656,2503458,1814,18,18534,3162330,19424,24199,290608,4152,15.00,100259
14,1479807,49504,13797359,2751009,1814,18,19796,3404140,19424,24199,290608,4152,18.17,100259
15,1602702,52814,15952719,2981167,1814,18,21030,3626494,19424,24199,290608,4152,16.45,100259
16,1735849,55719,15171738,3218022,1814,18,22219,3848851,19424,24199,290608,4152,16.44,100259
17,1872764,58737,15859065,3456481,1814,18,23266,4071356,19424,24199,290608,4152,16.62,100259
18,2010572,61822,16537815,3698719,1814,18,24503,4298434,19424,24199,290608,4152,16.54,100259
19,2146473,65004,17215602,3936049,1814,18,25712,4521703,19424,24199,290608,4152,16.54,100259
20,2274353,67884,17901894,4167185,1814,18,26934,4745106,19424,24199,290608,4152,16.16,100259
21,2399332,71077,18579583,4400200,1814,18,28260,4971786,19424,24199,290608,4152,16.90,100259
22,2536754,74068,19272719,4639452,1814,18,29279,5190678,19424,24199,290608,4152,16.55,100259
23,2673805,76956,19958940,4878823,1814,18,30521,5411557,19424,24199,290608,4152,16.24,100259
24,2813793,79654,20636088,5124640,1814,18,31652,5638094,19424,24199,290608,4152,16.80,100259
25,2946589,83065,21318618,5361702,1814,18,32836,5860724,19424,24199,290608,4152,16.66,100259
