period,wifi,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
0,695459,380,0,100540,4153326,7280,19,19488,13771,3158,1843,290608,4152,0.01
1,720642,4334,11699,100540,4349606,10726,19,19488,13771,4658,1843,290608,4152,0.00
2,732646,4334,14289,100540,5336046,11839,19,19488,13771,5853,1843,290608,4152,0.00
3,927082,89633,16871,100540,6414620,742922,19,19488,13771,7014,1843,290608,4152,14.54
4,1118729,165853,20788,100540,6826464,1459105,19,19488,13771,8209,1843,290608,4152,14.16
5,1306608,243468,23816,100540,7583321,2171880,19,19488,13771,9424,1843,290608,4152,13.85
6,1504854,319611,27020,100540,7204545,2924181,19,19488,13771,10574,1843,290608,4152,14.81
7,1718228,400720,30749,100540,7388912,3734365,19,19488,13771,11769,1843,290608,4152,15.89
8,1947334,477844,34140,100540,7522482,4590636,19,19488,13771,12910,1843,290608,4152,16.89
9,2186840,560682,37362,100540,10472178,5485012,19,19488,13771,14249,1843,290608,4152,17.61
10,2419232,640802,39955,100540,7744196,6349639,19,19488,13771,15535,1843,290608,4152,17.13
11,2647127,720959,43525,100540,7869413,7211836,19,19488,13771,16786,1843,290608,4152,16.99
12,2882071,803327,46943,100540,7980425,8092789,19,19488,13771,18087,1843,290608,4152,17.38
13,3110749,888528,50785,100540,8103776,8959383,19,19488,13771,19314,1843,290608,4152,16.96
14,3344758,969159,54289,100540,14013570,9840804,19,19488,13771,20535,1843,290608,4152,17.27
15,3587223,1047787,57167,100540,8314329,10736095,19,19488,13771,21670,1843,290608,4152,17.60
16,3812704,1128575,60804,100540,8465755,11569424,19,19488,13771,22891,1843,290608,4152,16.31
17,4045175,1206847,64231,100540,8596732,12428585,19,19488,13771,24046,1843,290608,4152,16.84
18,4271401,1288700,68008,100540,8735132,13286963,19,19488,13771,25264,1843,290608,4152,16.75
19,4493392,1368482,71121,100540,8879207,14138676,19,19488,13771,26600,1843,290608,4152,16.70
20,4717362,1446503,74973,100540,9024194,14986952,19,19488,13771,27874,1843,290608,4152,16.62
21,4939195,1526295,78093,100540,9164324,15836718,19,19488,13771,29115,1843,290608,4152,16.72
22,5165035,1605022,81680,100540,9311291,16684735,19,19488,13771,30359,1843,290608,4152,16.56
23,5395514,1687017,85079,100540,9435735,17558023,19,19488,13771,31638,1843,290608,4152,17.04
24,5623246,1765569,88627,100540,9567920,18416855,19,19488,13771,32844,1843,290608,4152,16.85
25,5849450,1845715,92212,100540,9699884,19279637,19,19488,13771,34113,1843,290608,4152,16.83
26,6073127,1924639,96096,100540,9844502,20129913,19,19488,13771,35388,1843,290608,4152,16.73
27,6308288,2006546,99671,100540,9951297,21016479,19,19488,13771,36669,1843,290608,4152,17.43
28,6548387,2086491,102676,100540,10044829,21912539,19,19488,13771,37902,1843,290608,4152,17.57
29,6760676,2165221,106569,100540,10224426,22720092,19,19488,13771,39166,1843,290608,4152,15.80
30,6978689,2246387,109713,100540,10388781,23547353,19,19488,13771,40329,1843,290608,4152,16.10
31,7185424,2324718,113248,100540,10598343,24328760,19,19488,13771,41614,1843,290608,4152,15.12
32,7402447,2407397,116651,100540,26921641,25159211,19,19488,13771,42851,1843,290608,4152,16.21
33,7578283,2480510,119674,100540,27687712,25838118,19,19488,13771,44010,1843,290608,4152,13.13
34,7788907,2555825,122647,100540,11262997,26634553,19,19488,13771,45226,1843,290608,4152,15.53
35,8009121,2636400,126101,100540,11393225,27494055,19,19488,13771,46430,1843,290608,4152,16.82
36,8242732,2718753,129552,100540,11497989,28380481,19,19488,13771,47588,1843,290608,4152,17.43
37,8436610,2795527,132952,100540,30597876,29128151,19,19488,13771,48871,1843,290608,4152,14.35
38,8627492,2873058,136345,100540,12004195,29862677,19,19488,13771,49986,1843,290608,4152,14.25
39,8839748,2951147,139354,100540,12182289,30672442,19,19488,13771,51253,1843,290608,4152,15.85
40,9036974,3022882,142974,100540,12442272,31407548,19,19488,13771,52429,1843,290608,4152,14.25
41,9257703,3097951,146654,100540,12613269,32229417,19,19488,13771,53702,1843,290608,4152,16.15
42,9497293,3177699,150238,100540,12718163,33115667,19,19488,13771,54976,1843,290608,4152,17.34
43,9715153,3252436,153456,100540,34998482,33921743,19,19488,13771,56142,1843,290608,4152,15.65
44,9928522,3324080,156622,100540,35728087,34718495,19,19488,13771,57380,1843,290608,4152,15.62
