period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,407,204,4447819,7411,19,19491,24508,3614,700954,1836,290608,4152,0.01,98690
1,5980,11741,5455796,11467,19,19491,24508,4954,716027,1836,290608,4152,0.01,98690
2,5980,14311,5605713,13179,19,19491,24508,6238,730055,1836,290608,4152,0.00,98690
3,81035,17354,6734929,715993,19,19491,24508,7418,921427,1836,290608,4152,14.04,98690
4,159957,21308,6941683,1501108,19,19491,24508,8593,1128483,1836,290608,4152,15.65,98690
5,238297,24925,7142390,2291625,19,19491,24508,9751,1339520,1836,290608,4152,15.77,98690
6,316671,28728,7359153,3069868,19,19491,24508,10862,1546156,1836,290608,4152,15.51,98690
7,394384,31810,7556656,3863113,19,19491,24508,12031,1753840,1836,290608,4152,15.84,98690
8,466951,35717,7830893,4578827,19,19491,24508,13121,1943823,1836,290608,4152,14.13,98690
9,544746,39019,8039679,5359787,19,19491,24508,14235,2151344,1836,290608,4152,15.48,98690
10,623187,42394,8250469,6144896,19,19491,24508,15379,2357929,1836,290608,4152,15.52,98690
11,699451,45918,8461044,6925383,19,19491,24508,16530,2562459,1836,290608,4152,15.44,98690
12,778112,49531,8660584,7715670,19,19491,24508,17745,2769977,1836,290608,4152,15.55,98690
13,855622,53441,8891576,8478386,19,19491,24508,18881,2970003,1836,290608,4152,15.03,98690
14,930806,57022,9122641,9243162,19,19491,24508,19960,3169407,1836,290608,4152,15.07,98690
15,1010981,60588,9306723,10047157,19,19491,24508,21117,3381368,1836,290608,4152,15.86,98690
16,1086289,63688,9507098,10836307,19,19491,24508,22272,3590886,1836,290608,4152,15.59,98690
17,1162555,67089,9738248,11596123,19,19491,24508,23480,3789377,1836,290608,4152,14.95,98690
18,1239460,70555,9962918,12358785,19,19491,24508,24681,3989561,1836,290608,4152,15.02,98690
19,1313945,74091,10233325,13081407,19,19491,24508,25852,4179033,1836,290608,4152,14.22,98690
20,1391820,77623,10414941,13888051,19,19491,24508,26964,4390083,1836,290608,4152,16.04,98690
21,1464578,81335,10655510,14635134,19,19491,24508,28126,4589429,1836,290608,4152,14.84,98690
22,1530904,84778,10971505,15317459,19,19491,24508,29425,4771740,1836,290608,4152,13.53,98690
23,1593452,87990,11386754,15896475,19,19491,24508,30531,4925877,1836,290608,4152,11.43,98690
