period,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,336,0,95936,5067031,9549,19,15757,13874,3670,710394,1830,290608,4148,0.02
1,2308,8323,95936,5249720,10675,19,15757,13874,4669,720030,1830,290608,4148,0.00
2,2308,10926,95936,6236862,11604,19,15757,13874,5690,730453,1830,290608,4148,0.00
3,40237,13591,95936,7120490,85579,19,15757,13874,6600,815270,1830,290608,4148,5.02
4,106967,16203,95936,7928924,216723,19,15757,13874,7324,956408,1830,290608,4148,9.04
5,164321,19070,95936,8770216,327421,19,15757,13874,8333,1075975,1830,290608,4148,7.57
6,236366,22120,95936,9577189,466698,19,15757,13874,9106,1223537,1830,290608,4148,9.20
7,294045,24984,95936,10414308,583652,19,15757,13874,10064,1344193,1830,290608,4148,7.56
8,374102,28029,95936,11200473,739355,19,15757,13874,10906,1498789,1830,290608,4148,10.14
9,434303,31145,95936,12037445,856032,19,15757,13874,11752,1618034,1830,290608,4148,7.57
10,485902,34058,95936,14006079,963240,19,15757,13874,12602,1730049,1830,290608,4148,7.05
11,564176,37242,95936,13669570,1119495,19,15757,13874,13462,1888275,1830,290608,4148,10.45
12,635391,40333,95936,14466210,1265517,19,15757,13874,14375,2036480,1830,290608,4148,9.62
13,701549,43385,95936,15270154,1401297,19,15757,13874,15245,2180007,1830,290608,4148,9.03
14,756016,46409,95936,16115574,1511784,19,15757,13874,16323,2295498,1830,290608,4148,7.18
15,836298,49298,95936,16898429,1672814,19,15757,13874,16892,2453383,1830,290608,4148,10.33
16,911410,52568,95936,19069895,1812932,19,15757,13874,17651,2588373,1830,290608,4148,8.57
17,981477,55321,95936,18531601,1948061,19,15757,13874,18551,2718036,1830,290608,4148,8.29
18,1055344,58439,95936,19329518,2093267,19,15757,13874,19429,2859273,1830,290608,4148,9.03
19,1115464,61734,95936,21630009,2206118,19,15757,13874,20245,2968763,1830,290608,4148,6.91
20,1199942,64358,95936,20988708,2345989,19,15757,13874,21314,3094756,1830,290608,4148,7.97
21,1309962,67568,95936,21742697,2528437,19,15757,13874,21965,3254711,1830,290608,4148,10.51
22,1398018,70904,95936,22525824,2687292,19,15757,13874,22760,3401723,1830,290608,4148,9.23
23,1468873,74020,95936,23329371,2827844,19,15757,13874,23609,3540765,1830,290608,4148,8.70
24,1548402,76723,95936,24132595,2974618,19,15757,13874,24330,3677952,1830,290608,4148,8.81
25,1637548,79568,95936,26633965,3128737,19,15757,13874,25203,3816806,1830,290608,4148,8.74
26,1694032,82254,95936,25771287,3228671,19,15757,13874,26316,3911593,1830,290608,4148,5.47
27,1710302,85380,95936,26720587,3258367,19,15757,13874,27348,3948998,1830,290608,4148,1.66
28,1792701,88509,95936,27504260,3418233,19,15757,13874,28089,4104066,1830,290608,4148,10.10
29,1865663,91205,95936,28307951,3559310,19,15757,13874,29192,4242068,1830,290608,4148,8.78
30,1963720,94344,95936,29064321,3744521,19,15757,13874,30055,4416405,1830,290608,4148,11.55
31,2054699,97120,95936,29821986,3925128,19,15757,13874,31071,4589016,1830,290608,4148,11.34
32,2139344,100093,95936,30603497,4092219,19,15757,13874,31833,4750505,1830,290608,4148,10.83
33,2198559,103174,95936,33445055,4209043,19,15757,13874,32841,4866283,1830,290608,4148,6.97
34,2274186,106150,95936,32237859,4360810,19,15757,13874,33716,5013843,1830,290608,4148,9.46
35,2380697,109411,95936,35088111,4542615,19,15757,13874,34625,5171592,1830,290608,4148,10.31
36,2477300,112857,95936,35905391,4703569,19,15757,13874,35381,5310937,1830,290608,4148,9.03
37,2561052,116026,95936,36746565,4853262,19,15757,13874,36461,5448575,1830,290608,4148,8.45
38,2598050,118732,95936,37673942,4921181,19,15757,13874,37273,5514539,1830,290608,4148,3.77
39,2691144,122026,95936,38498868,5082691,19,15757,13874,38008,5655966,1830,290608,4148,9.22
40,2792840,124332,95936,37028341,5256664,19,15757,13874,38805,5804193,1830,290608,4148,9.67
41,2901139,127274,95936,37767826,5444050,19,15757,13874,39668,5970460,1830,290608,4148,10.81
42,2997087,129743,95936,38546024,5608905,19,15757,13874,40415,6115027,1830,290608,4148,9.19
43,3094252,132746,95936,39312037,5778629,19,15757,13874,41332,6266209,1830,290608,4148,9.64
44,3184102,135148,95936,42585973,5932462,19,15757,13874,42102,6405242,1830,290608,4148,8.76
45,3249894,138422,95936,40911469,6066112,19,15757,13874,42790,6537382,1830,290608,4148,8.43
46,3322138,141088,95936,41713912,6208115,19,15757,13874,43558,6677608,1830,290608,4148,8.88
47,3393577,144016,95936,42520589,6347833,19,15757,13874,44393,6812737,1830,290608,4148,8.55
48,3475073,147121,95936,45976762,6499369,19,15757,13874,45324,6954399,1830,290608,4148,9.07
49,3565800,150559,95936,44087277,6656964,19,15757,13874,46011,7097061,1830,290608,4148,8.60
