period,experiment_runn,measurer,IDLE,tiT,ipc0,TmrSvc,esp_timer,wifi,ipc1,sys_evt,Heap,Stack,Mbps,main
0,431,4790,4234372,8405,1814,18,3895,704928,19455,15734,290608,4152,0.02,107076
1,5908,15194,5226058,11401,1814,18,5115,718880,19455,15734,290608,4152,0.00,107076
2,5908,17801,6212600,12333,1814,18,6313,730751,19455,15734,290608,4152,0.00,107076
3,97179,20572,7867060,175797,1814,18,7453,896161,19455,15734,290608,4152,11.99,107076
4,237921,24122,7657003,428407,1814,18,8748,1137781,19455,15734,290608,4152,17.41,107076
5,384487,26896,8309259,688772,1814,18,10071,1381467,19455,15734,290608,4152,18.21,107076
6,537818,30275,9971454,953852,1814,18,11328,1629952,19455,15734,290608,4152,18.35,107076
7,671150,33428,9642132,1183219,1814,18,12595,1847648,19455,15734,290608,4152,16.14,107076
8,801988,35993,11437100,1419740,1814,18,13681,2071491,19455,15734,290608,4152,16.76,107076
9,937685,39205,11001941,1659018,1814,18,15141,2299180,19455,15734,290608,4152,16.75,107076
10,1073913,42242,11672577,1901344,1814,18,16596,2529060,19455,15734,290608,4152,16.61,107076
11,1204466,45243,12357044,2130655,1814,18,17946,2749602,19455,15734,290608,4152,16.10,107076
12,1340830,48432,13033378,2369056,1814,18,19270,2974920,19455,15734,290608,4152,16.80,107076
13,1477088,51385,13716402,2608527,1814,18,20472,3200132,19455,15734,290608,4152,16.60,107076
14,1607883,54075,14404216,2842985,1814,18,21555,3421481,19455,15734,290608,4152,16.50,107076
15,1743171,56586,15093640,3076939,1814,18,22780,3641708,19455,15734,290608,4152,16.17,107076
16,1873473,60029,17268068,3314231,1814,18,24138,3869000,19455,15734,290608,4152,16.61,107076
17,1993411,63281,16484781,3527301,1814,18,25482,4072688,19455,15734,290608,4152,14.77,107076
18,2134622,66388,17142704,3779924,1814,18,26672,4311220,19455,15734,290608,4152,17.67,107076
19,2266419,69635,19461757,4022005,1814,18,27971,4542034,19455,15734,290608,4152,17.22,107076
20,2400332,72833,18490253,4261249,1814,18,29317,4768523,19455,15734,290608,4152,16.75,107076
21,2525450,75955,19175731,4487540,1814,18,30520,4986765,19455,15734,290608,4152,16.17,107076
22,2655796,79141,19859000,4720603,1814,18,31822,5205781,19455,15734,290608,4152,16.30,107076
23,2792440,82325,20532569,4962516,1814,18,33132,5431741,19455,15734,290608,4152,16.80,107076
24,2928174,85434,21214889,5201221,1814,18,34294,5654042,19455,15734,290608,4152,16.59,107076
25,3067356,88462,21897921,5443887,1814,18,35483,5880834,19455,15734,290608,4152,16.62,107076
