period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,esp_timer,wifi,sys_evt,ipc0,Heap,Stack,Mbps,main
0,275,541,4338339,7826,19,19468,3692,702045,24050,1836,290608,4152,0.01,98488
1,4821,11790,4511832,11300,19,19468,4801,716494,24050,1836,290608,4152,0.00,98488
2,4821,14400,5496582,12427,19,19468,6078,730037,24050,1836,290608,4152,0.00,98488
3,140812,17014,7093512,233866,19,19468,7424,950595,24050,1836,290608,4152,16.34,98488
4,269671,20565,6854476,462180,19,19468,8874,1168773,24050,1836,290608,4152,15.88,98488
5,405535,23496,8568832,696805,19,19468,10311,1391780,24050,1836,290608,4152,16.55,98488
6,555105,26983,9276257,945684,19,19468,11564,1621744,24050,1836,290608,4152,17.13,98488
7,690788,30108,8901480,1178522,19,19468,13042,1842023,24050,1836,290608,4152,16.51,98488
8,817766,32423,10735932,1403103,19,19468,14426,2059055,24050,1836,290608,4152,16.13,98488
9,966317,35537,11456105,1649297,19,19468,15899,2286020,24050,1836,290608,4152,16.93,98488
10,1111683,38465,10944192,1886452,19,19468,17205,2511224,24050,1836,290608,4152,16.60,98488
11,1249324,41045,11631148,2118833,19,19468,18503,2731922,24050,1836,290608,4152,16.25,98488
12,1377943,44067,12317740,2345573,19,19468,19879,2950510,24050,1836,290608,4152,16.37,98488
13,1513937,47501,14359496,2581499,19,19468,21225,3180090,24050,1836,290608,4152,16.94,98488
14,1650506,50412,13670834,2815393,19,19468,22609,3403560,24050,1836,290608,4152,16.55,98488
15,1782326,53260,14360879,3045176,19,19468,23940,3623279,24050,1836,290608,4152,16.35,98488
16,1916675,56582,15050894,3278950,19,19468,25147,3846162,24050,1836,290608,4152,16.62,98488
17,2050532,59616,15739798,3512582,19,19468,26486,4070918,24050,1836,290608,4152,16.69,98488
18,2183196,62630,16430596,3745149,19,19468,27862,4294286,24050,1836,290608,4152,16.25,98488
19,2316533,65178,18705611,3977866,19,19468,29219,4514216,24050,1836,290608,4152,16.69,98488
20,2448897,68151,17809947,4211037,19,19468,30625,4738456,24050,1836,290608,4152,16.41,98488
21,2584541,71345,18495067,4445212,19,19468,32007,4959025,24050,1836,290608,4152,16.50,98488
22,2718492,74333,19167177,4680560,19,19468,33599,5184550,24050,1836,290608,4152,16.48,98488
23,2858797,77056,19851133,4919185,19,19468,35056,5408576,24050,1836,290608,4152,16.61,98488
24,2987061,80238,20539543,5147929,19,19468,36476,5631505,24050,1836,290608,4152,16.50,98488
25,3112356,83674,21229486,5375716,19,19468,37861,5851857,24050,1836,290608,4152,16.43,98488
26,3237090,86658,23836362,5602208,19,19468,39238,6072397,24050,1836,290608,4152,16.68,98488
27,3364555,89739,22608950,5832844,19,19468,40592,6296997,24050,1836,290608,4152,16.49,98488
28,3488303,92918,23309247,6055642,19,19468,41981,6515141,24050,1836,290608,4152,16.33,98488
29,3619619,95553,23994696,6287908,19,19468,43398,6742306,24050,1836,290608,4152,16.56,98488
30,3748132,98379,24683867,6516240,19,19468,44781,6965130,24050,1836,290608,4152,16.57,98488
31,3874092,101056,27505333,6744100,19,19468,46194,7186749,24050,1836,290608,4152,16.35,98488
32,3998219,103754,28242762,6969642,19,19468,47502,7410461,24050,1836,290608,4152,16.54,98488
33,4116161,106647,26767215,7187287,19,19468,48904,7623594,24050,1836,290608,4152,15.91,98488
34,4253137,109713,27438532,7429065,19,19468,50258,7855148,24050,1836,290608,4152,17.12,98488
35,4382557,112883,28137574,7658781,19,19468,51488,8078476,24050,1836,290608,4152,16.74,98488
36,4510207,115737,28835621,7887781,19,19468,52901,8305814,24050,1836,290608,4152,16.53,98488
37,4630952,118781,29534477,8108717,19,19468,54196,8526075,24050,1836,290608,4152,16.33,98488
38,4753735,121559,30226605,8333778,19,19468,55611,8747664,24050,1836,290608,4152,16.42,98488
39,4875430,124476,30925473,8555572,19,19468,56965,8967205,24050,1836,290608,4152,16.62,98488
40,4995167,127047,31615830,8778344,19,19468,58465,9186857,24050,1836,290608,4152,16.30,98488
41,5117645,130228,32316528,9003132,19,19468,59910,9407998,24050,1836,290608,4152,16.68,98488
42,5240907,132785,33007910,9229078,19,19468,61240,9631200,24050,1836,290608,4152,16.62,98488
43,5360436,135477,33702198,9449940,19,19468,62594,9851802,24050,1836,290608,4152,16.20,98488
