period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps
0,472,4837,4072198,7929,19,19502,24362,703875,3274,1843,290608,4152,0.01
1,6061,15268,4251050,11240,19,19502,24362,718701,4376,1843,290608,4152,0.00
2,6061,17922,5237180,12331,19,19502,24362,730831,5643,1843,290608,4152,0.00
3,23143,20503,6178180,42933,19,19502,24362,777310,7170,1843,290608,4152,2.02
4,134848,23287,6912332,235594,19,19502,24362,976049,8463,1843,290608,4152,14.56
5,146561,26260,7858395,266009,19,19502,24362,1019549,10033,1843,290608,4152,2.01
6,252549,29804,8591594,463858,19,19502,24362,1218869,11115,1843,290608,4152,14.83
7,256639,32817,9552409,479436,19,19502,24362,1250865,12859,1843,290608,4152,0.92
8,334276,35440,10356104,620213,19,19502,24362,1396877,14174,1843,290608,4152,10.50
9,398919,38519,11179521,747903,19,19502,24362,1532709,15694,1843,290608,4152,9.24
10,435848,41291,12074686,817112,19,19502,24362,1610898,17088,1843,290608,4152,4.86
11,544299,44266,12799193,1023638,19,19502,24362,1822873,18265,1843,290608,4152,15.43
12,597915,47379,13650966,1126426,19,19502,24362,1935573,19841,1843,290608,4152,7.55
13,655847,50659,15636361,1241220,19,19502,24362,2060806,21410,1843,290608,4152,8.62
14,720305,53258,15322876,1360114,19,19502,24362,2188457,22964,1843,290608,4152,8.62
15,773422,56329,17376997,1462628,19,19502,24362,2303221,24653,1843,290608,4152,7.89
16,835860,59564,17004190,1584908,19,19502,24362,2436865,26306,1843,290608,4152,8.62
17,894530,62156,17844723,1696877,19,19502,24362,2559768,27847,1843,290608,4152,8.28
18,954312,65283,18680894,1813692,19,19502,24362,2686466,29418,1843,290608,4152,8.62
19,1010509,68401,19527569,1918575,19,19502,24362,2802685,31068,1843,290608,4152,7.78
20,1065966,71454,20370724,2027579,19,19502,24362,2923114,32685,1843,290608,4152,7.97
21,1127242,74992,21203875,2147583,19,19502,24362,3052576,34146,1843,290608,4152,8.97
22,1185361,77732,23459787,2255527,19,19502,24362,3169954,35795,1843,290608,4152,8.00
23,1244619,80458,22887922,2369265,19,19502,24362,3295129,37387,1843,290608,4152,8.25
24,1301136,83583,23724256,2482732,19,19502,24362,3418797,39258,1843,290608,4152,8.28
25,1356412,86382,24568447,2591041,19,19502,24362,3538160,41020,1843,290608,4152,7.89
26,1408964,89523,25421901,2693244,19,19502,24362,3651399,42558,1843,290608,4152,7.55
27,1474249,92972,26247600,2818034,19,19502,24362,3786377,44066,1843,290608,4152,9.19
28,1532887,96217,27085494,2932744,19,19502,24362,3912033,45692,1843,290608,4152,8.25
29,1595278,98766,27926454,3045211,19,19502,24362,4034847,47492,1843,290608,4152,8.29
30,1654686,101669,28760760,3161353,19,19502,24362,4162288,49164,1843,290608,4152,8.62
31,1707732,104407,29607532,3267036,19,19502,24362,4277920,50828,1843,290608,4152,7.55
32,1768090,106938,30443552,3383728,19,19502,24362,4404521,52257,1843,290608,4152,8.62
33,1821075,110067,31296015,3486214,19,19502,24362,4518251,53863,1843,290608,4152,7.55
34,1879171,113190,32131069,3601317,19,19502,24362,4645285,55342,1843,290608,4152,8.46
35,1946293,115898,32963479,3716774,19,19502,24362,4774900,56957,1843,290608,4152,8.77
36,2000605,119014,33813979,3816340,19,19502,24362,4888151,58671,1843,290608,4152,7.55
37,2062554,121906,34645497,3931837,19,19502,24362,5016609,60276,1843,290608,4152,8.62
38,2122795,125040,35479058,4049130,19,19502,24362,5144839,61961,1843,290608,4152,8.62
39,2175551,128163,36327529,4152059,19,19502,24362,5260525,63605,1843,290608,4152,7.55
40,2226399,131297,37186185,4251199,19,19502,24362,5369245,65368,1843,290608,4152,7.17
41,2298545,134436,38002407,4385690,19,19502,24362,5511019,66846,1843,290608,4152,10.08
42,2351791,137178,38853149,4489172,19,19502,24362,5625492,68530,1843,290608,4152,7.55
43,2411922,140311,39689117,4606558,19,19502,24362,5752764,70380,1843,290608,4152,8.62
44,2470858,143448,40521167,4724133,19,19502,24362,5882734,72045,1843,290608,4152,8.62
45,2528766,146571,41361002,4834766,19,19502,24362,6003153,73722,1843,290608,4152,8.17
46,2584246,149691,42204688,4945245,19,19502,24362,6121688,75305,1843,290608,4152,8.00
47,2637556,152801,43055447,5047539,19,19502,24362,6234955,76811,1843,290608,4152,7.55
48,2698056,155928,43883794,5165075,19,19502,24362,6364947,78603,1843,290608,4152,8.62
49,2758582,159056,44712591,5284668,19,19502,24362,6496636,80314,1843,290608,4152,8.62
50,2816908,162393,45554909,5395695,19,19502,24362,6616876,81775,1843,290608,4152,8.15
51,2875508,165648,46399767,5505734,19,19502,24362,6736211,83475,1843,290608,4152,8.09
52,2935460,168237,47239937,5621817,19,19502,24362,6864865,85125,1843,290608,4152,8.23
53,2987373,171161,48087771,5725640,19,19502,24362,6981517,86964,1843,290608,4152,7.55
54,3047854,174306,48918766,5843520,19,19502,24362,7109947,88485,1843,290608,4152,8.62
55,3105023,177439,49756767,5957180,19,19502,24362,7234628,89973,1843,290608,4152,8.23
56,3159871,180364,53055370,6068267,19,19502,24362,7359928,91700,1843,290608,4152,8.17
57,3218775,182917,51441126,6179985,19,19502,24362,7481075,93237,1843,290608,4152,8.27
58,3279408,186061,52269606,6298173,19,19502,24362,7612693,95028,1843,290608,4152,8.62
59,3337917,189188,53103931,6413649,19,19502,24362,7739736,96723,1843,290608,4152,8.50
60,3392784,192173,53954252,6516343,19,19502,24362,7853341,98298,1843,290608,4152,7.66
61,3446114,195365,57412827,6624316,19,19502,24362,7975232,100015,1843,290608,4152,7.92
62,3512338,198656,55620469,6751298,19,19502,24362,8111209,101420,1843,290608,4152,9.32
63,3566964,201072,56470841,6855506,19,19502,24362,8225304,103120,1843,290608,4152,7.55
64,3627775,204201,57304581,6972207,19,19502,24362,8352997,104846,1843,290608,4152,8.62
65,3685374,207342,58139754,7084314,19,19502,24362,8477774,106518,1843,290608,4152,8.39
66,3742795,209917,58987643,7191654,19,19502,24362,8596369,108265,1843,290608,4152,7.78
67,3794169,213051,59838345,7295430,19,19502,24362,8710264,109978,1843,290608,4152,7.55
68,3856831,216192,60670835,7412617,19,19502,24362,8835883,111530,1843,290608,4152,8.62
69,3918248,219330,61497723,7533601,19,19502,24362,8969738,113078,1843,290608,4152,8.84
70,3978020,222329,62335747,7648448,19,19502,24362,9093848,114668,1843,290608,4152,8.41
71,4033764,225445,63180812,7756660,19,19502,24362,9211985,116221,1843,290608,4152,7.95
72,4092674,227797,64022520,7867739,19,19502,24362,9333423,117698,1843,290608,4152,8.41
73,4153694,230581,64855786,7986079,19,19502,24362,9462672,119398,1843,290608,4152,8.43
74,4207920,233701,65708264,8089597,19,19502,24362,9574927,121068,1843,290608,4152,7.55
75,4267444,237091,66544298,8204341,19,19502,24362,9701448,122768,1843,290608,4152,8.45
76,4324214,240024,67387287,8316037,19,19502,24362,9822655,124373,1843,290608,4152,8.21
77,4389324,242684,68211603,8441771,19,19502,24362,9958567,125929,1843,290608,4152,9.11
78,4443878,245478,69059863,8544447,19,19502,24362,10073959,127833,1843,290608,4152,7.65
79,4506404,248611,69890010,8663476,19,19502,24362,10204495,129457,1843,290608,4152,8.62
80,4567935,251734,73910059,8780447,19,19502,24362,10330399,131140,1843,290608,4152,8.62
81,4621580,254464,71573523,8886020,19,19502,24362,10445970,132826,1843,290608,4152,7.55
82,4675363,257601,72426190,8988446,19,19502,24362,10559700,134221,1843,290608,4152,7.55
83,4739233,259983,73245935,9112858,19,19502,24362,10694319,135829,1843,290608,4152,9.11
84,4797255,262917,74085818,9223211,19,19502,24362,10818566,137620,1843,290608,4152,7.95
85,4858101,266291,74918249,9341353,19,19502,24362,10946960,139206,1843,290608,4152,8.62
86,4918454,268640,75755319,9454352,19,19502,24362,11070172,140767,1843,290608,4152,8.27
87,4974412,271550,76602314,9561030,19,19502,24362,11187809,142592,1843,290608,4152,7.90
88,5029630,274682,77450634,9664441,19,19502,24362,11302146,144160,1843,290608,4152,7.55
89,5091535,278269,78276859,9785849,19,19502,24362,11436528,145875,1843,290608,4152,8.85
90,5152550,280886,79115821,9899796,19,19502,24362,11559361,147420,1843,290608,4152,8.40
91,5213118,283561,79952756,10018156,19,19502,24362,11684721,149092,1843,290608,4152,8.62
92,5265283,286703,80807122,10121665,19,19502,24362,11798402,150673,1843,290608,4152,7.55
93,5326865,289834,81636901,10239880,19,19502,24362,11926955,152197,1843,290608,4152,8.62
94,5387677,292955,82471822,10357220,19,19502,24362,12053989,153795,1843,290608,4152,8.62
95,5447357,296161,86959541,10472048,19,19502,24362,12177980,155468,1843,290608,4152,8.17
96,5501699,299331,84152011,10572962,19,19502,24362,12292242,157102,1843,290608,4152,7.55
97,5569685,302001,84974364,10699832,19,19502,24362,12425137,158675,1843,290608,4152,9.00
98,5630600,305294,85814351,10810999,19,19502,24362,12546710,160237,1843,290608,4152,8.19
99,5688343,308584,86654739,10921726,19,19502,24362,12666545,161900,1843,290608,4152,8.06
100,5750790,311390,87483090,11042673,19,19502,24362,12796357,163660,1843,290608,4152,8.62
101,5805060,314793,88327183,11146595,19,19502,24362,12910097,165468,1843,290608,4152,7.55
102,5858911,318003,89169466,11249989,19,19502,24362,13025325,167152,1843,290608,4152,7.55
103,5926276,321524,89993507,11375495,19,19502,24362,13158619,168607,1843,290608,4152,9.00
104,5987863,324659,90825726,11491628,19,19502,24362,13283413,170210,1843,290608,4152,8.40
105,6049010,327332,91661087,11606443,19,19502,24362,13410043,171824,1843,290608,4152,8.45
106,6107103,330589,92504625,11716625,19,19502,24362,13528933,173501,1843,290608,4152,8.09
107,6167188,333618,93343780,11829561,19,19502,24362,13649957,175121,1843,290608,4152,8.08
108,6228461,336914,94171543,11947653,19,19502,24362,13779982,176718,1843,290608,4152,8.62
109,6282219,340205,95017513,12052158,19,19502,24362,13894447,178419,1843,290608,4152,7.55
110,6344012,343510,95844739,12170974,19,19502,24362,14024366,180133,1843,290608,4152,8.62
111,6406620,346481,96670803,12288909,19,19502,24362,14154263,181937,1843,290608,4152,8.62
112,6466833,349772,97507602,12405132,19,19502,24362,14277730,183295,1843,290608,4152,8.39
113,6521685,352656,98344938,12512638,19,19502,24362,14397407,185168,1843,290608,4152,7.78
114,6582599,355947,99172996,12629225,19,19502,24362,14527814,186934,1843,290608,4152,8.62
115,6637848,359237,100023149,12732732,19,19502,24362,14641197,188470,1843,290608,4152,7.55
116,6699424,362540,100849542,12852719,19,19502,24362,14769975,190221,1843,290608,4152,8.62
117,6763820,365843,101679608,12970089,19,19502,24362,14894619,191721,1843,290608,4152,8.62
118,6822073,369153,102515470,13083045,19,19502,24362,15017880,193373,1843,290608,4152,8.17
119,6880303,372073,103353905,13194975,19,19502,24362,15141747,195016,1843,290608,4152,8.00
120,6939776,375269,108699895,13308574,19,19502,24362,15267457,196601,1843,290608,4152,8.43
