period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,402,199,4356109,9746,18,19469,13793,3416,702403,1837,290608,4152,0.01,100851
1,6035,11604,4539698,11208,18,19469,13793,4616,713803,1837,290608,4152,0.00,100851
2,6035,14215,5525536,12584,18,19469,13793,5822,726490,1837,290608,4152,0.00,100851
3,51620,17158,6902748,471380,18,19469,13793,7263,859493,1837,290608,4152,8.63,100851
4,54909,19888,7323469,521311,18,19469,13793,8797,889125,1837,290608,4152,0.92,100851
5,93217,22580,8364121,998261,18,19469,13793,10171,1011602,1837,290608,4152,7.92,100851
6,164423,26656,8482447,1863750,18,19469,13793,11236,1222083,1837,290608,4152,15.11,100851
7,176708,29895,9855902,2092432,18,19469,13793,12854,1280892,1837,290608,4152,2.74,100851
8,197414,32915,9979339,2375715,18,19469,13793,14337,1350270,1837,290608,4152,4.02,100851
9,268962,36520,10088381,3254589,18,19469,13793,15459,1568305,1837,290608,4152,15.47,100851
10,311961,40185,12325301,3819466,18,19469,13793,16878,1715757,1837,290608,4152,9.66,100851
11,313598,43204,13299551,3915299,18,19469,13793,18535,1738510,1837,290608,4152,0.20,100851
12,370295,46234,14079166,4632122,18,19469,13793,19710,1919344,1837,290608,4152,12.25,100851
13,432797,49024,14836184,5399396,18,19469,13793,20947,2119469,1837,290608,4152,13.83,100851
14,436620,52140,15795027,5537047,18,19469,13793,22741,2156124,1837,290608,4152,1.02,100851
15,492944,55638,13039590,6262887,18,19469,13793,23970,2338970,1837,290608,4152,12.42,100851
16,539253,59010,17389440,6847296,18,19469,13793,25325,2492820,1837,290608,4152,10.18,100851
17,546980,61944,14304192,6995585,18,19469,13793,27029,2530130,1837,290608,4152,1.31,100851
18,617288,65609,14431946,7855602,18,19469,13793,28084,2746532,1837,290608,4152,15.21,100851
19,644683,69270,19970082,8221727,18,19469,13793,29726,2849405,1837,290608,4152,6.01,100851
