period,wifi,experiment_runn,measurer,main,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,ipc0,Heap,Stack,Mbps
0,700834,420,0,99385,4346907,7780,19,19495,24113,3628,1836,290608,4152,0.01
1,715374,4446,11687,99385,4522141,12352,19,19495,24113,5088,1836,290608,4152,0.00
2,731169,4446,14296,99385,5505001,15117,19,19495,24113,6569,1836,290608,4152,0.00
3,929179,78499,16896,99385,6613024,740737,19,19495,24113,7788,1836,290608,4152,14.47
4,1116436,155303,20517,99385,6894630,1449165,19,19495,24113,8992,1836,290608,4152,14.13
5,1307450,229267,24365,99385,7162795,2173403,19,19495,24113,10183,1836,290608,4152,14.04
6,1495894,303442,27618,99385,7431511,2896246,19,19495,24113,11408,1836,290608,4152,14.07
7,1674254,379790,31174,99385,7728133,3584971,19,19495,24113,12588,1836,290608,4152,13.32
8,1863617,455476,34784,99385,7992643,4307215,19,19495,24113,13782,1836,290608,4152,13.98
9,2047704,527581,38152,99385,10801877,5010655,19,19495,24113,14994,1836,290608,4152,13.69
10,2236018,603249,41613,99385,8554208,5730220,19,19495,24113,16157,1836,290608,4152,13.97
11,2416815,677948,45008,99385,8845561,6419960,19,19495,24113,17491,1836,290608,4152,13.41
12,2611306,757433,47953,99385,13069613,7172928,19,19495,24113,18763,1836,290608,4152,14.60
13,2819396,834607,50946,99385,9271033,7971124,19,19495,24113,19862,1836,290608,4152,15.73
14,3038204,913804,54560,99385,9444825,8793178,19,19495,24113,21126,1836,290608,4152,15.97
15,3270245,995807,58258,99385,9556541,9678519,19,19495,24113,22407,1836,290608,4152,17.32
16,3494524,1073950,61279,99385,9703047,10518049,19,19495,24113,23613,1836,290608,4152,16.49
17,3709323,1152191,65147,99385,9876340,11331588,19,19495,24113,24828,1836,290608,4152,15.88
18,3938264,1233551,68746,99385,10011248,12193590,19,19495,24113,26179,1836,290608,4152,16.87
19,4164267,1313317,71881,99385,10149223,13040135,19,19495,24113,27408,1836,290608,4152,16.53
