period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,390,205,4349463,7739,19,19491,23794,3669,701730,1837,290608,4152,0.01,98731
1,2473,11681,4520965,13109,19,19491,23794,5068,717621,1837,290608,4152,0.00,98731
2,2473,14302,5506801,13978,19,19491,23794,6262,730182,1837,290608,4152,0.00,98731
3,128193,16895,6189089,240874,19,19491,23794,7788,954317,1837,290608,4152,16.47,98731
4,252151,19751,6875074,480478,19,19491,23794,9150,1179109,1837,290608,4152,16.42,98731
5,380481,22785,7562028,720360,19,19491,23794,10521,1403038,1837,290608,4152,16.60,98731
6,504312,25583,9292444,952840,19,19491,23794,11783,1619551,1837,290608,4152,16.42,98731
7,630500,27986,8946925,1192759,19,19491,23794,13028,1841883,1837,290608,4152,16.58,98731
8,754147,30954,9634830,1428555,19,19491,23794,14406,2062957,1837,290608,4152,16.71,98731
9,877140,33780,10337760,1658398,19,19491,23794,15878,2279160,1837,290608,4152,16.17,98731
10,1004297,37002,11033794,1895501,19,19491,23794,17125,2500673,1837,290608,4152,16.54,98731
11,1132587,39641,12924889,2135345,19,19491,23794,18450,2721787,1837,290608,4152,16.59,98731
12,1256930,42227,12417002,2369330,19,19491,23794,19664,2942370,1837,290608,4152,16.33,98731
13,1380858,45645,13097809,2608063,19,19491,23794,21084,3166291,1837,290608,4152,16.71,98731
14,1505998,48628,13790921,2840520,19,19491,23794,22376,3384496,1837,290608,4152,16.30,98731
15,1631466,51265,14477185,3077787,19,19491,23794,23762,3608343,1837,290608,4152,16.58,98731
16,1758568,54752,15169545,3315653,19,19491,23794,25038,3831352,1837,290608,4152,16.52,98731
17,1885950,57715,15859181,3553138,19,19491,23794,26361,4053808,1837,290608,4152,16.60,98731
18,2013037,60285,16545229,3792425,19,19491,23794,27752,4276288,1837,290608,4152,16.47,98731
19,2140901,63481,18754735,4029151,19,19491,23794,29120,4496769,1837,290608,4152,16.28,98731
20,2267820,66442,17936980,4269848,19,19491,23794,30505,4721559,1837,290608,4152,16.86,98731
21,2386031,69245,18634722,4502712,19,19491,23794,31910,4942526,1837,290608,4152,16.35,98731
22,2504288,72232,19336189,4732801,19,19491,23794,33084,5160197,1837,290608,4152,16.52,98731
23,2627965,75889,20028805,4973480,19,19491,23794,34379,5386946,1837,290608,4152,16.79,98731
24,2746192,78475,20723110,5199562,19,19491,23794,35725,5603361,1837,290608,4152,16.17,98731
25,2864392,81850,23166881,5432055,19,19491,23794,37029,5823671,1837,290608,4152,16.65,98731
26,2983832,84946,23911950,5664459,19,19491,23794,38498,6045981,1837,290608,4152,16.74,98731
27,3102405,87715,22804966,5894519,19,19491,23794,39800,6266039,1837,290608,4152,16.21,98731
28,3221913,91310,25383945,6128308,19,19491,23794,41187,6486680,1837,290608,4152,16.71,98731
