period,tiT,experiment_runn,measurer,main,IDLE,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,9476,396,0,100278,5252105,19,19465,12902,4454,709808,1814,290608,4152,0.01
1,12714,2018,11648,100278,5427836,19,19465,12902,5762,723574,1814,290608,4152,0.00
2,14370,2018,14267,100278,6412453,19,19465,12902,7038,737236,1814,290608,4152,0.00
3,117211,56955,16848,100278,7254018,19,19465,12902,8223,851451,1814,290608,4152,7.79
4,250174,132906,19587,100278,8073186,19,19465,12902,9643,986574,1814,290608,4152,9.32
5,343302,186005,23350,100278,8946727,19,19465,12902,11174,1084047,1814,290608,4152,6.01
6,512433,285100,26392,100278,9722660,19,19465,12902,12614,1249280,1814,290608,4152,11.35
7,639586,357388,29725,100278,10548758,19,19465,12902,14149,1379338,1814,290608,4152,8.63
8,765286,419851,32580,100278,11369806,19,19465,12902,15496,1510825,1814,290608,4152,9.15
9,884844,479264,35814,100278,13248767,19,19465,12902,16760,1635366,1814,290608,4152,8.64
10,1014587,547452,38593,100278,13019197,19,19465,12902,18072,1769822,1814,290608,4152,9.42
11,1126324,607783,41624,100278,13858575,19,19465,12902,19601,1887602,1814,290608,4152,7.82
12,1260352,679110,44350,100278,14674269,19,19465,12902,21026,2025471,1814,290608,4152,9.90
13,1365578,735815,47317,100278,15524016,19,19465,12902,22694,2137270,1814,290608,4152,7.33
14,1496026,803164,50096,100278,17557210,19,19465,12902,24252,2273414,1814,290608,4152,9.45
15,1613081,867273,52586,100278,17178271,19,19465,12902,25896,2395146,1814,290608,4152,7.98
16,1749928,940757,55334,100278,17987881,19,19465,12902,27450,2534855,1814,290608,4152,9.73
17,1863784,1000874,58450,100278,18820971,19,19465,12902,28819,2654376,1814,290608,4152,8.10
18,1988568,1066555,61227,100278,19642416,19,19465,12902,30310,2787202,1814,290608,4152,8.92
19,2103822,1128361,64185,100278,20475645,19,19465,12902,31745,2911188,1814,290608,4152,8.29
20,2227744,1194661,67300,100278,21296429,19,19465,12902,33265,3043794,1814,290608,4152,8.86
21,2352334,1261291,70596,100278,23579349,19,19465,12902,34711,3175110,1814,290608,4152,9.15
22,2475313,1326153,73657,100278,22948753,19,19465,12902,36183,3303961,1814,290608,4152,8.70
23,2604833,1396995,76766,100278,23763405,19,19465,12902,37634,3439018,1814,290608,4152,9.15
24,2714872,1458244,79885,100278,24606043,19,19465,12902,39204,3555631,1814,290608,4152,7.76
25,2840959,1524895,82724,100278,25429627,19,19465,12902,40771,3688379,1814,290608,4152,9.04
26,2968767,1592457,85280,100278,26252886,19,19465,12902,42198,3818037,1814,290608,4152,8.90
27,3091873,1659582,88598,100278,27076743,19,19465,12902,43699,3947207,1814,290608,4152,8.70
