IDLE,Mbps,Stack,Timestamp,TmrSvc,esp_timer,experiment_runn,ipc0,ipc1,measurer,sys_evt,tiT,wifi
265738084,13.67,4116,358,18,607873,29939270,27228,44085,2113183,13894,219851120,74721247
3592469,0.01,4116,0,18,3896,584,27228,44079,4600,14466,7603,712241
4589709,0.00,4116,1,18,5025,5920,27228,44079,18709,14466,9968,724949
6429238,0.00,4116,2,18,6391,5920,27228,44079,25442,14466,11738,738642
6777290,14.82,4116,3,18,7963,100895,27228,44079,32149,14466,639944,950500
7115660,15.39,4116,4,18,9615,185606,27228,44079,37531,14466,1287048,1175455
7443563,15.45,4116,5,18,11392,275932,27228,44079,41729,14466,1946747,1399749
8437075,15.91,4116,6,18,13129,365513,27228,44079,47542,14466,2619716,1632344
8084721,15.48,4116,7,18,14843,455402,27228,44079,52838,14466,3276796,1863214
9853018,15.66,4116,8,18,16638,541976,27228,44079,56982,14466,3939936,2093448
8729860,15.86,4116,9,18,18390,629997,27228,44079,61906,14466,4607595,2322771
11270052,16.03,4116,10,18,19905,718507,27228,44079,68560,14466,5283347,2551595
9358888,15.65,4116,11,18,21609,806797,27228,44079,73451,14466,5945836,2777853
9713244,14.89,4116,12,18,23282,894185,27228,44079,79693,14466,6578650,2994668
10050885,15.50,4116,13,18,25071,980151,27228,44079,83788,14466,7232860,3218145
10421400,14.62,4116,14,18,26734,1064072,27228,44079,89461,14466,7854130,3435702
14832760,16.22,4116,15,18,28573,1154237,27228,44079,95428,14466,8541830,3670244
11029942,16.05,4116,16,18,30210,1243061,27228,44079,101289,14466,9218877,3905782
11326138,16.25,4116,17,18,32037,1335130,27228,44079,108014,14466,9907258,4137756
11666796,15.10,4116,18,18,33801,1422915,27228,44079,113482,14466,10550184,4358831
17672118,15.06,4116,19,18,35538,1507779,27228,44079,118447,14466,11188510,4575753
12357585,15.21,4116,20,18,37295,1594659,27228,44079,123296,14466,11833565,4800507
12683979,15.55,4116,21,18,39025,1683098,27228,44079,128374,14466,12493762,5028581
19790726,16.16,4116,22,18,40746,1773059,27228,44079,132625,14466,13180082,5263975
20493617,16.20,4116,23,18,42528,1864004,27228,44079,136836,14466,13866547,5499379
13601420,16.21,4116,24,18,44177,1950999,27228,44079,144290,14466,14548155,5732120
21908426,15.40,4116,25,18,45800,2038955,27228,44079,149929,14466,15199084,5955400
22624507,15.03,4116,26,18,47656,2124382,27228,44079,156227,14466,15834295,6176892
14588716,16.29,4116,27,18,49345,2214420,27228,44079,161237,14466,16526506,6419188
14984427,13.88,4116,28,18,51046,2298319,27228,44079,167485,14466,17114811,6626282
24782819,13.57,4116,29,18,52805,2382242,27228,44079,172903,14466,17696224,6828317
25517235,13.66,4116,30,18,54486,2466856,27228,44079,178507,14466,18282416,7031272
16142203,15.29,4116,31,18,56076,2554540,27228,44079,183874,14466,18925975,7252320
16433408,16.48,4116,32,18,57877,2646833,27228,44079,189272,14466,19621043,7486959
16767516,15.47,4116,33,18,59545,2736886,27228,44079,193942,14466,20278155,7714195
17125347,14.81,4116,34,18,61112,2823374,27228,44079,199115,14466,20905762,7933682
17469935,15.21,4116,35,18,62905,2909848,27228,44079,203557,14466,21550334,8154991
17779151,15.97,4116,36,18,64748,2999715,27228,44079,208444,14466,22230103,8394234
30492762,15.44,4116,37,18,66585,3087225,27228,44079,213044,14466,22886839,8617643
18454660,15.38,4116,38,18,68339,3174480,27228,44079,220428,14466,23533639,8843844
18896188,12.99,4116,39,18,70010,3252343,27228,44079,225225,14466,24085321,9033928
19306655,13.52,4116,40,18,71801,3335938,27228,44079,229967,14466,24664448,9231489
33440569,12.93,4116,41,18,73434,3417455,27228,44079,236133,14466,25217927,9424273
34210497,12.17,4116,42,18,75088,3491200,27228,44079,241959,14466,25736544,9604214
20674162,12.27,4116,43,18,76891,3569799,27228,44079,247771,14466,26259859,9787098
35698589,14.11,4116,44,18,78501,3658601,27228,44079,252584,14466,26866260,9993382
36437464,13.64,4116,45,18,80305,3740517,27228,44079,258914,14466,27447050,10195456
21859061,14.08,4116,46,18,82032,3825467,27228,44079,263896,14466,28043329,10400346
22253455,14.02,4116,47,18,83781,3907650,27228,44079,269570,14466,28642314,10605163
38643422,13.32,4116,48,18,85446,3988467,27228,44079,274182,14466,29214325,10805353
23069545,13.77,4116,49,18,87215,4073240,27228,44079,278570,14466,29803212,11007590
23501250,12.95,4116,50,18,88958,4153190,27228,44079,283533,14466,30360657,11203806
23912000,13.44,4116,51,18,90711,4235143,27228,44079,289745,14466,30936060,11403112
41601707,13.24,4116,52,18,92524,4316359,27228,44079,296934,14466,31501930,11597899
24773925,12.76,4116,53,18,94394,4394063,27228,44079,301017,14466,32049313,11790621
43110757,12.58,4116,54,18,96093,4472317,27228,44079,305162,14466,32590673,11981668
25640369,13.34,4116,55,18,97930,4552781,27228,44079,311280,14466,33154459,12177396
26042943,13.57,4116,56,18,99667,4637501,27228,44079,315833,14466,33739307,12380129
26481797,12.80,4116,57,18,101219,4715619,27228,44079,322206,14466,34286346,12569699
26802046,15.80,4116,58,18,102887,4801597,27228,44079,328916,14466,34951513,12800376
27120896,15.68,4116,59,18,104603,4888930,27228,44079,333810,14466,35618451,13030470
27456111,15.43,4116,60,18,106139,4974455,27228,44079,339869,14466,36270387,13253445
27795147,15.29,4116,61,18,107893,5062129,27228,44079,345181,14466,36921254,13480378
28100313,16.13,4116,62,18,109738,5152430,27228,44079,350572,14466,37604817,13715548
28432953,15.47,4116,63,18,111549,5239191,27228,44079,355395,14466,38261494,13943978
28747979,15.87,4116,64,18,113259,5328822,27228,44079,360520,14466,38935665,14173086
29070488,15.71,4116,65,18,114851,5417064,27228,44079,365175,14466,39601643,14403236
29346919,16.76,4116,66,18,116510,5509911,27228,44079,372458,14466,40309756,14641141
29698297,15.01,4116,67,18,118412,5593853,27228,44079,376214,14466,40948081,14864835
53137942,14.90,4116,68,18,120097,5680552,27228,44079,381904,14466,41582661,15083184
30401906,14.98,4116,69,18,121741,5766768,27228,44079,386813,14466,42217892,15306072
30734415,15.29,4116,70,18,123472,5855276,27228,44079,392460,14466,42868692,15529272
55270916,15.49,4116,71,18,125204,5947321,27228,44079,397458,14466,43527158,15757707
55976984,15.71,4116,72,18,126915,6035698,27228,44079,402937,14466,44187687,15985200
56715586,13.70,4116,73,18,128629,6118964,27228,44079,408060,14466,44772206,16186891
32211268,13.15,4116,74,18,130382,6200547,27228,44079,414977,14466,45331940,16380847
32594920,14.16,4116,75,18,132235,6286417,27228,44079,420943,14466,45936968,16587370
32893421,16.28,4116,76,18,133816,6378457,27228,44079,425648,14466,46627671,16820640
33214346,15.66,4116,77,18,135513,6466652,27228,44079,431836,14466,47291590,17052177
33537131,15.64,4116,78,18,137232,6554257,27228,44079,436811,14466,47956707,17281522
33852780,15.93,4116,79,18,138891,6642626,27228,44079,443260,14466,48626212,17508024
34185356,15.38,4116,80,18,140583,6730310,27228,44079,446794,14466,49282290,17736353
34516989,15.40,4116,81,18,142297,6820459,27228,44079,453873,14466,49934437,17965814
34926984,13.45,4116,82,18,143954,6903868,27228,44079,460076,14466,50510192,18164009
35315467,14.16,4116,83,18,145809,6986879,27228,44079,464928,14466,51112524,18368491
64645167,12.86,4116,84,18,147325,7068189,27228,44079,469092,14466,51662042,18558673
36166119,13.67,4116,85,18,149015,7149215,27228,44079,475667,14466,52241324,18759603
36585461,13.14,4116,86,18,150590,7236624,27228,44079,483173,14466,52804490,18957904
66868250,13.09,4116,87,18,152329,7319571,27228,44079,488337,14466,53365921,19151792
37447764,12.91,4116,88,18,154108,7401868,27228,44079,492639,14466,53921730,19345047
37866405,13.29,4116,89,18,155984,7487477,27228,44079,498483,14466,54491543,19542822
69105511,13.79,4116,90,18,157845,7572308,27228,44079,504901,14466,55078821,19744398
38697645,13.01,4116,91,18,159522,7654721,27228,44079,511390,14466,55633388,19935539
39103222,13.76,4116,92,18,161123,7737932,27228,44079,517322,14466,56217868,20134388
71329929,13.66,4116,93,18,162706,7821086,27228,44079,524896,14466,56799733,20331403
39924869,13.41,4116,94,18,164447,7902338,27228,44079,529645,14466,57375364,20531762
40335532,13.54,4116,95,18,166145,7981413,27228,44079,536473,14466,57949961,20732563
40762324,13.15,4116,96,18,167616,8060963,27228,44079,542724,14466,58512024,20930503
41174091,13.35,4116,97,18,169393,8144880,27228,44079,548165,14466,59085979,21129543
75043818,13.16,4116,98,18,171096,8225855,27228,44079,553683,14466,59649754,21325140
75785342,13.66,4116,99,18,172836,8309576,27228,44079,560227,14466,60236680,21526154
42467062,12.46,4116,100,18,174507,8386071,27228,44079,568424,14466,60763784,21711957
77280562,13.42,4116,101,18,176057,8469080,27228,44079,572149,14466,61342513,21912474
43291793,13.47,4116,102,18,177802,8552851,27228,44079,577151,14466,61919291,22111850
78764850,13.10,4116,103,18,179385,8633294,27228,44079,581998,14466,62482672,22308983
44130378,13.47,4116,104,18,181010,8714772,27228,44079,587598,14466,63057093,22508146
80257277,12.63,4116,105,18,182747,8792613,27228,44079,593245,14466,63601594,22699463
45048072,12.11,4116,106,18,184457,8867638,27228,44079,599056,14466,64118012,22882278
81753486,13.51,4116,107,18,186237,8951520,27228,44079,605511,14466,64696025,23080501
45866517,13.72,4116,108,18,187968,9034835,27228,44079,611067,14466,65282370,23282432
83247291,12.70,4116,109,18,189519,9114986,27228,44079,617334,14466,65827568,23474386
46692652,14.18,4116,110,18,191206,9201016,27228,44079,625213,14466,66429073,23675543
47138403,12.70,4116,111,18,192848,9279652,27228,44079,631928,14466,66972982,23865048
85491388,12.57,4116,112,18,194483,9358458,27228,44079,639639,14466,67514103,24054152
86234719,13.15,4116,113,18,196237,9438645,27228,44079,645823,14466,68074222,24250364
86974794,13.64,4116,114,18,197930,9519567,27228,44079,652164,14466,68653759,24448952
48857531,12.95,4116,115,18,199663,9599049,27228,44079,659338,14466,69203993,24644457
49264640,13.52,4116,116,18,201334,9684073,27228,44079,666206,14466,69783834,24845719
89198099,14.06,4116,117,18,203141,9770194,27228,44079,671233,14466,70386402,25051056
50026291,14.58,4116,118,18,204844,9856068,27228,44079,676534,14466,71006353,25267942
50348743,15.72,4116,119,18,206640,9943005,27228,44079,682497,14466,71671341,25496131
91322565,16.56,4116,120,18,208483,10037792,27228,44079,687196,14466,72376656,25734013
50960071,15.57,4116,121,18,210323,10123295,27228,44079,695306,14466,73032143,25960321
51278734,15.71,4116,122,18,211961,10212193,27228,44079,702297,14466,73696274,26188676
93469161,14.05,4116,123,18,213694,10295630,27228,44079,708062,14466,74297845,26399361
52107058,13.08,4116,124,18,215324,10374852,27228,44079,714370,14466,74852904,26591984
94963805,13.16,4116,125,18,217103,10456265,27228,44079,719509,14466,75417728,26786873
95705922,13.55,4116,126,18,218881,10540009,27228,44079,724987,14466,75996394,26989511
53382983,13.20,4116,127,18,220477,10621217,27228,44079,731351,14466,76556753,27187003
97204905,13.38,4116,128,18,222243,10703116,27228,44079,737211,14466,77130237,27383698
54186791,13.87,4116,129,18,223960,10788433,27228,44079,743921,14466,77723715,27589072
98691406,12.67,4116,130,18,225446,10865167,27228,44079,750541,14466,78263672,27777216
55067593,13.23,4116,131,18,227007,10945276,27228,44079,756961,14466,78824652,27970732
100170825,13.70,4116,132,18,228652,11028617,27228,44079,762976,14466,79413160,28175553
100920532,13.05,4116,133,18,230384,11109259,27228,44079,769118,14466,79968341,28366202
101658141,13.97,4116,134,18,231911,11192882,27228,44079,773813,14466,80564501,28574030
102407757,13.25,4116,135,18,233458,11273128,27228,44079,780994,14466,81128747,28770462
57152442,12.77,4116,136,18,235102,11354441,27228,44079,787644,14466,81672382,28964053
57584581,13.08,4116,137,18,236648,11435673,27228,44079,792121,14466,82233392,29158989
104646445,13.38,4116,138,18,238407,11520084,27228,44079,797573,14466,82808735,29358220
58418695,13.21,4116,139,18,240004,11601814,27228,44079,804148,14466,83372870,29557063
58821761,13.79,4116,140,18,241552,11685142,27228,44079,811775,14466,83958254,29759454
106874819,13.21,4116,141,18,243162,11765648,27228,44079,816303,14466,84522579,29953815
107581230,15.49,4116,142,18,244805,11854975,27228,44079,821332,14466,85179870,30182805
59886887,16.36,4116,143,18,246445,11943252,27228,44079,826345,14466,85866136,30421795
60202606,15.87,4116,144,18,248254,12031700,27228,44079,834342,14466,86536038,30650799
109729239,13.73,4116,145,18,249583,12113550,27228,44079,838697,14466,87121318,30855470
61016376,13.79,4116,146,18,251145,12199035,27228,44079,843373,14466,87711527,31063239
61412254,13.82,4116,147,18,252846,12287933,27228,44079,849938,14466,88304228,31268049
61776536,14.75,4116,148,18,254514,12373641,27228,44079,854739,14466,88930723,31486376
62070643,16.38,4116,149,18,256322,12465597,27228,44079,859516,14466,89627062,31728373
62438176,14.71,4116,150,18,258152,12549076,27228,44079,864211,14466,90251785,31946225
62803124,14.74,4116,151,18,259834,12633373,27228,44079,870278,14466,90878539,32167141
63189951,13.98,4116,152,18,261595,12719674,27228,44079,878108,14466,91477342,32375497
115526932,12.75,4116,153,18,263133,12798115,27228,44079,884540,14466,92023660,32565532
64043099,13.53,4116,154,18,264814,12878146,27228,44079,889985,14466,92597493,32767654
64445294,13.62,4116,155,18,266509,12962767,27228,44079,895256,14466,93184036,32971764
117743967,13.50,4116,156,18,268294,13044900,27228,44079,901213,14466,93763320,33170577
65281837,13.14,4116,157,18,269797,13122340,27228,44079,905900,14466,94322479,33363654
119230776,13.46,4116,158,18,271470,13205246,27228,44079,911693,14466,94903849,33568564
119985025,12.40,4116,159,18,273235,13281320,27228,44079,919834,14466,95433765,33752141
120728693,13.40,4116,160,18,274803,13364265,27228,44079,927225,14466,96004265,33949567
66947634,14.19,4116,161,18,276479,13452057,27228,44079,932302,14466,96609137,34153945
122204913,12.92,4116,162,18,278080,13533382,27228,44079,938740,14466,97167655,34348487
67818709,12.91,4116,163,18,279674,13609139,27228,44079,944649,14466,97714515,34540689
68210405,13.95,4116,164,18,281395,13693752,27228,44079,949362,14466,98312964,34750381
68552769,15.29,4116,165,18,283239,13780664,27228,44079,954166,14466,98964216,34975822
68903631,15.03,4116,166,18,284869,13867660,27228,44079,961347,14466,99602874,35194569
69196781,16.16,4116,167,18,286376,13959925,27228,44079,968317,14466,100289954,35430404
69561393,14.66,4116,168,18,287993,14045951,27228,44079,974617,14466,100914287,35648246
69925323,14.58,4116,169,18,289556,14131412,27228,44079,981810,14466,101534179,35865512
127980912,14.87,4116,170,18,291420,14218212,27228,44079,986856,14466,102170358,36086708
70607023,15.54,4116,171,18,293037,14304632,27228,44079,992979,14466,102825627,36318090
129393160,15.36,4116,172,18,294712,14391736,27228,44079,999041,14466,103479437,36544482
130097312,15.73,4116,173,18,296451,14480231,27228,44079,1006085,14466,104142446,36775781
71588409,15.67,4116,174,18,298023,14568771,27228,44079,1010107,14466,104806306,37010047
71900951,16.07,4116,175,18,299731,14657380,27228,44079,1016781,14466,105486778,37247800
72217273,15.82,4116,176,18,301623,14749235,27228,44079,1022799,14466,106160259,37480390
72575932,14.67,4116,177,18,303263,14834861,27228,44079,1029343,14466,106786025,37699116
72912630,15.49,4116,178,18,304966,14922600,27228,44079,1034886,14466,107441564,37925493
134325684,15.59,4116,179,18,306542,15011628,27228,44079,1039118,14466,108107665,38155855
73561328,15.71,4116,180,18,308220,15099607,27228,44079,1046844,14466,108770674,38384814
135750394,14.51,4116,181,18,309765,15183360,27228,44079,1053875,14466,109385017,38602254
136461420,15.50,4116,182,18,311641,15273358,27228,44079,1059160,14466,110045719,38831991
74598926,15.29,4116,183,18,313414,15361169,27228,44079,1064472,14466,110694685,39058108
137882869,15.36,4116,184,18,315034,15449878,27228,44079,1068853,14466,111351264,39288728
138615376,14.39,4116,185,18,316693,15533328,27228,44079,1075071,14466,111956677,39498180
75733030,13.42,4116,186,18,318198,15613340,27228,44079,1080845,14466,112530195,39696556
76168318,12.79,4116,187,18,320038,15693287,27228,44079,1086441,14466,113081371,39892312
140854816,13.53,4116,188,18,321558,15774965,27228,44079,1094287,14466,113654625,40086494
76959488,14.21,4116,189,18,323242,15863115,27228,44079,1100745,14466,114259741,40293025
77360576,13.68,4116,190,18,324914,15945593,27228,44079,1107408,14466,114843504,40495565
77778856,13.39,4116,191,18,326850,16028302,27228,44079,1113775,14466,115414249,40694011
78211498,13.03,4116,192,18,328452,16110347,27228,44079,1120768,14466,115972051,40889538
144558408,13.40,4116,193,18,330186,16191465,27228,44079,1126801,14466,116544720,41088510
79019959,13.79,4116,194,18,331746,16275847,27228,44079,1132037,14466,117136477,41295052
79414768,13.89,4116,195,18,333371,16361296,27228,44079,1139538,14466,117729388,41498673
79839533,13.15,4116,196,18,334962,16443450,27228,44079,1145808,14466,118289945,41694766
80255492,13.28,4116,197,18,336690,16526442,27228,44079,1153178,14466,118856303,41892455
80670022,13.47,4116,198,18,338353,16607012,27228,44079,1159652,14466,119427707,42094001
81052192,14.53,4116,199,18,340055,16690478,27228,44079,1165482,14466,120045274,42304560
149721139,13.76,4116,200,18,341780,16774920,27228,44079,1171294,14466,120636279,42512140
150452080,14.42,4116,201,18,343414,16859535,27228,44079,1177612,14466,121245997,42720098
82255036,13.12,4116,202,18,345215,16939693,27228,44079,1183861,14466,121804652,42917711
82647636,14.06,4116,203,18,346834,17024449,27228,44079,1190232,14466,122403884,43126442
83033143,14.10,4116,204,18,348607,17108813,27228,44079,1196567,14466,123005039,43334291
83446746,13.36,4116,205,18,350206,17192594,27228,44079,1203277,14466,123577104,43534552
83843523,13.94,4116,206,18,351856,17274030,27228,44079,1207818,14466,124173014,43737942
154880045,13.53,4116,207,18,353481,17356454,27228,44079,1214284,14466,124752554,43937114
84687705,13.10,4116,208,18,355174,17435980,27228,44079,1219618,14466,125308317,44133716
85080157,13.90,4116,209,18,356662,17522827,27228,44079,1224983,14466,125903609,44337241
85489745,13.49,4116,210,18,358376,17603324,27228,44079,1231418,14466,126482697,44539103
85875696,13.93,4116,211,18,360074,17688729,27228,44079,1238619,14466,127078960,44746806
86267050,13.94,4116,212,18,361765,17772398,27228,44079,1243163,14466,127674501,44952500
159314543,13.25,4116,213,18,363442,17853171,27228,44079,1247709,14466,128245660,45152439
87108647,13.36,4116,214,18,364912,17932978,27228,44079,1253565,14466,128812684,45352072
87504902,13.84,4116,215,18,366533,18016854,27228,44079,1259775,14466,129406141,45557986
87915708,13.53,4116,216,18,368205,18099406,27228,44079,1266260,14466,129985317,45758955
88313522,13.76,4116,217,18,369854,18181926,27228,44079,1272919,14466,130573986,45962930
88742133,13.07,4116,218,18,371401,18263752,27228,44079,1278923,14466,131131742,46160351
89184675,12.79,4116,219,18,373036,18341839,27228,44079,1285683,14466,131677597,46352858
164496034,13.22,4116,220,18,374714,18428605,27228,44079,1290654,14466,132248965,46550649
165223072,13.96,4116,221,18,376452,18514830,27228,44079,1296309,14466,132843011,46754970
165953613,13.72,4116,222,18,378314,18595522,27228,44079,1303691,14466,133425638,46959558
90837851,13.12,4116,223,18,379813,18675233,27228,44079,1311004,14466,133982657,47155056
167440111,13.64,4116,224,18,381376,18757268,27228,44079,1317044,14466,134559656,47355402
168185928,13.28,4116,225,18,383126,18840098,27228,44079,1323626,14466,135127370,47550318
168932309,13.11,4116,226,18,384754,18921361,27228,44079,1328393,14466,135691223,47748262
92499101,13.69,4116,227,18,386400,19004153,27228,44079,1333801,14466,136273687,47950441
92952326,12.64,4116,228,18,388144,19083286,27228,44079,1339059,14466,136816909,48140258
93371081,13.30,4116,229,18,389903,19167106,27228,44079,1345687,14466,137385444,48338145
171918449,12.84,4116,230,18,391464,19246396,27228,44079,1349553,14466,137937642,48532635
172659399,13.15,4116,231,18,393094,19327839,27228,44079,1357270,14466,138497384,48726585
94708706,12.06,4116,232,18,394795,19407463,27228,44079,1364138,14466,139013736,48909761
95139505,13.10,4116,233,18,396516,19487274,27228,44079,1369531,14466,139574331,49105347
174908443,13.09,4116,234,18,398278,19569531,27228,44079,1375207,14466,140137950,49300594
95992890,12.99,4116,235,18,400000,19652011,27228,44079,1382851,14466,140691602,49493296
176399835,13.55,4116,236,18,401672,19734228,27228,44079,1388810,14466,141272151,49695867
177136773,14.12,4116,237,18,403277,19818429,27228,44079,1393701,14466,141871520,49904866
177875650,13.50,4116,238,18,405036,19901001,27228,44079,1399981,14466,142444723,50106695
97639405,13.36,4116,239,18,406789,19983243,27228,44079,1404534,14466,143014807,50305145
98043163,13.59,4116,240,18,408401,20065786,27228,44079,1410566,14466,143597176,50509778
98448604,13.54,4116,241,18,410059,20149773,27228,44079,1417187,14466,144175349,50711422
180837603,12.82,4116,242,18,411737,20230816,27228,44079,1422805,14466,144726925,50905058
181582826,13.48,4116,243,18,413302,20314036,27228,44079,1431055,14466,145301555,51103175
182322135,13.68,4116,244,18,414966,20398818,27228,44079,1436981,14466,145887778,51303281
100054750,14.95,4116,245,18,416572,20484716,27228,44079,1444322,14466,146519425,51523651
100382238,15.46,4116,246,18,418148,20573317,27228,44079,1452063,14466,147174566,51748459
100679371,16.42,4116,247,18,419862,20663814,27228,44079,1457316,14466,147869977,51991623
185202557,12.59,4116,248,18,421469,20741228,27228,44079,1463200,14466,148408912,52180934
101547192,13.49,4116,249,18,423071,20823937,27228,44079,1469605,14466,148981396,52380348
101978000,13.03,4116,250,18,424737,20904171,27228,44079,1476669,14466,149538407,52580759
187431012,13.44,4116,251,18,426466,20984696,27228,44079,1482861,14466,150113345,52778253
188173407,13.37,4116,252,18,428064,21066855,27228,44079,1489594,14466,150684833,52975846
103219365,13.48,4116,253,18,429543,21149335,27228,44079,1497477,14466,151258475,53175405
103645284,13.05,4116,254,18,431289,21229740,27228,44079,1505298,14466,151816730,53374203
104067924,13.30,4116,255,18,432885,21311484,27228,44079,1510010,14466,152386757,53572152
104410261,15.26,4116,256,18,434750,21399204,27228,44079,1514333,14466,153035083,53795026
191822915,15.71,4116,257,18,436495,21489375,27228,44079,1519379,14466,153705561,54030624
192529108,15.60,4116,258,18,438148,21577836,27228,44079,1525483,14466,154366064,54257515
193225672,15.87,4116,259,18,439941,21666247,27228,44079,1531301,14466,155037139,54494122
105675547,16.28,4116,260,18,441456,21756516,27228,44079,1539701,14466,155720251,54728590
106007718,15.52,4116,261,18,443040,21844223,27228,44079,1544073,14466,156379224,54952927
106343109,15.38,4116,262,18,444790,21933024,27228,44079,1549858,14466,157032864,55180732
106683442,15.28,4116,263,18,446554,22019675,27228,44079,1556177,14466,157682186,55405248
196757135,16.06,4116,264,18,448449,22110001,27228,44079,1562438,14466,158359754,55642097
197497761,13.65,4116,265,18,450119,22191010,27228,44079,1567292,14466,158943371,55845634
107702103,16.02,4116,266,18,451897,22279999,27228,44079,1573379,14466,159619458,56082985
