period,experiment_runn,measurer,IDLE,tiT,TmrSvc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps,main
0,538,1189,4347539,7536,18,19520,24544,3535,699633,1881,206992,4152,0.01,99192
1,6101,11964,4524762,10653,18,19520,24544,4964,714444,1881,206992,4152,0.00,99192
2,6101,14545,5511220,11612,18,19520,24544,6138,726632,1881,206992,4152,0.00,99192
3,134256,17325,7056614,250762,18,19520,24544,7324,961293,1881,206992,4152,16.68,99192
4,253233,25447,7784620,478370,18,19520,24544,8493,1197740,1881,206992,4152,16.46,99192
5,372166,36626,8419603,816383,18,19520,24544,9683,1439484,1881,206992,4152,17.21,99192
6,489375,53183,9054449,1173245,18,19520,24544,10760,1681830,1881,206992,4152,17.08,99192
7,610546,64194,9698610,1512791,18,19520,24544,11915,1923785,1881,206992,4152,17.23,99192
8,725073,67276,9780646,1867238,18,19520,24544,13163,2162761,1881,206992,4152,16.77,99192
9,837498,69705,10493581,2210308,18,19520,24544,14237,2393352,1881,206992,4152,16.20,99192
10,948915,73203,11515178,2555552,18,19520,24544,15393,2628286,1881,206992,4152,16.73,99192
11,1061424,75976,11904882,2898117,18,19520,24544,16605,2859395,1881,206992,4152,16.32,99192
12,1175151,84313,12608074,3231982,18,19520,24544,17666,3092968,1881,206992,4152,16.58,99192
13,1291747,98391,13319150,3577594,18,19520,24544,18855,3337573,1881,206992,4152,17.07,99192
14,1407404,113367,14028630,3920278,18,19520,24544,19869,3573345,1881,206992,4152,16.95,99192
15,1524649,127882,14737697,4263837,18,19520,24544,21026,3816886,1881,206992,4152,17.26,99192
16,1640791,137557,15441447,4593297,18,19520,24544,22216,4058263,1881,206992,4152,17.25,99192
17,1748602,152038,16033396,4924937,18,19520,24544,23316,4286328,1881,206992,4152,15.61,99192
18,1876140,167865,16867749,5276030,18,19520,24544,24561,4543636,1881,206992,4152,18.41,99192
19,1997057,177603,17582534,5617266,18,19520,24544,25646,4788853,1881,206992,4152,17.27,99192
20,2114606,193838,18310374,5978532,18,19520,24544,26933,5034660,1881,206992,4152,17.24,99192
21,2225593,204450,19038219,6313336,18,19520,24544,28035,5264731,1881,206992,4152,16.23,99192
22,2341844,207634,19728565,6675535,18,19520,24544,29119,5510370,1881,206992,4152,17.25,99192
