period,experiment_runn,measurer,IDLE,tiT,ipc0,TmrSvc,esp_timer,wifi,ipc1,sys_evt,Heap,Stack,Mbps,main
1,386,0,5055505,9108,1814,19,3931,709159,19461,13322,290608,4152,0.01,105100
2,750,9695,5227700,12759,1814,19,5152,722307,19461,13322,290608,4152,0.00,105100
3,750,12198,6214536,13572,1814,19,6285,733748,19461,13322,290608,4152,0.00,105100
4,79255,15049,6992395,164663,1814,19,7516,893838,19461,13322,290608,4152,11.45,105100
5,210904,17678,7661558,409274,1814,19,8718,1133774,19461,13322,290608,4152,17.38,105100
6,337054,20609,8352151,642239,1814,19,9904,1355824,19461,13322,290608,4152,16.46,105100
7,470387,23719,9034344,882036,1814,19,11005,1584624,19461,13322,290608,4152,17.08,105100
8,594933,26236,9725786,1110222,1814,19,12151,1803521,19461,13322,290608,4152,16.29,105100
9,721894,29337,10424750,1341209,1814,19,13395,2022356,19461,13322,290608,4152,16.22,105100
10,851104,32840,11112859,1576844,1814,19,14550,2250002,19461,13322,290608,4152,16.88,105100
11,980235,36149,11798709,1809977,1814,19,15659,2474535,19461,13322,290608,4152,16.55,105100
12,1108060,39334,12483536,2043255,1814,19,16761,2698164,19461,13322,290608,4152,16.49,105100
13,1234815,42326,13178111,2273395,1814,19,17676,2920304,19461,13322,290608,4152,16.37,105100
14,1356390,45269,15192786,2495268,1814,19,18868,3132383,19461,13322,290608,4152,15.68,105100
15,1490832,48312,15903290,2739863,1814,19,20100,3366582,19461,13322,290608,4152,17.38,105100
16,1616348,50997,16633137,2973143,1814,19,21282,3592362,19461,13322,290608,4152,16.56,105100
17,1741998,54035,15943725,3204800,1814,19,22430,3813038,19461,13322,290608,4152,16.59,105100
18,1867793,56404,16641735,3433203,1814,19,23544,4032956,19461,13322,290608,4152,16.29,105100
19,1994107,59572,17325613,3668014,1814,19,24785,4257460,19461,13322,290608,4152,16.71,105100
20,2120035,62915,18018574,3900150,1814,19,25891,4480587,19461,13322,290608,4152,16.71,105100
21,2228237,65734,20331135,4098753,1814,19,27169,4673809,19461,13322,290608,4152,13.99,105100
22,2371024,68757,19405543,4361274,1814,19,28323,4922085,19461,13322,290608,4152,18.69,105100
23,2499306,71720,21753109,4593072,1814,19,29435,5145593,19461,13322,290608,4152,16.51,105100
24,2627804,74690,20782553,4826119,1814,19,30578,5369832,19461,13322,290608,4152,16.58,105100
25,2728516,77859,21526089,5012535,1814,19,31857,5554235,19461,13322,290608,4152,13.30,105100
26,2869021,81478,23971897,5272499,1814,19,33122,5806661,19461,13322,290608,4152,18.96,105100
27,3003580,84346,22849624,5516523,1814,19,34272,6041525,19461,13322,290608,4152,17.29,105100
28,3128380,86777,25421492,5747906,1814,19,35303,6264607,19461,13322,290608,4152,16.52,105100
29,3257226,89415,24236280,5980121,1814,19,36533,6486447,19461,13322,290608,4152,16.27,105100
30,3386371,92880,24924146,6214728,1814,19,37550,6710903,19461,13322,290608,4152,16.73,105100
31,3516089,96027,25623256,6446357,1814,19,38531,6931025,19461,13322,290608,4152,16.59,105100
32,3646144,98708,28328683,6678103,1814,19,39598,7153797,19461,13322,290608,4152,16.30,105100
33,3777786,101309,27013774,6916483,1814,19,40699,7375484,19461,13322,290608,4152,16.71,105100
34,3898294,104495,27712003,7139893,1814,19,41871,7592712,19461,13322,290608,4152,16.18,105100
35,4029976,106898,28395795,7377047,1814,19,43035,7818749,19461,13322,290608,4152,16.87,105100
36,4152650,109620,29094774,7598706,1814,19,44182,8034825,19461,13322,290608,4152,15.97,105100
37,4281877,112587,29778979,7832763,1814,19,45361,8261418,19461,13322,290608,4152,16.74,105100
