3.26,5.32,3.27,53.00,174.00,1
3.27,5.27,3.27,54.00,176.00,1
3.27,5.41,3.27,54.10,176.00,1
3.27,5.29,3.28,52.70,170.00,1
3.27,5.28,3.27,53.20,174.00,1
3.27,5.34,3.27,53.20,174.00,1
3.21,12.11,3.22,125.90,406.00,1
3.27,5.68,3.27,53.40,174.00,1
3.27,5.35,3.27,52.70,174.00,1
3.27,5.27,3.27,52.90,174.00,1
3.27,5.39,3.27,54.10,176.00,1
3.26,5.42,3.27,52.80,174.00,1
3.26,5.28,3.27,52.60,170.00,1
3.26,5.32,3.27,53.30,174.00,1
3.27,5.33,3.27,53.30,252.00,1
3.14,21.06,3.16,126.70,406.00,1
3.21,12.48,3.22,131.50,422.00,1
3.21,12.70,3.22,126.70,406.00,1
3.21,12.64,3.22,127.00,406.00,1
3.21,12.58,3.22,127.80,410.00,1
3.21,12.58,3.22,125.90,404.00,1
3.21,12.62,3.22,126.30,406.00,1
3.21,12.64,3.22,126.10,404.00,1
3.21,12.61,3.22,126.40,406.00,1
3.21,12.69,3.22,126.40,406.00,1
3.21,12.65,3.22,126.00,404.00,1
3.21,12.59,3.22,126.20,406.00,1
3.21,12.71,3.22,127.40,410.00,1
3.21,13.05,3.22,127.00,406.00,1
3.21,13.40,3.22,126.80,406.00,1
3.20,16.58,3.22,127.50,406.00,1
3.21,12.57,3.22,85.30,176.00,1
3.27,5.32,3.27,54.00,176.00,1
3.27,5.37,3.27,53.50,174.00,1
3.27,5.29,3.27,52.90,174.00,1
3.27,5.35,3.27,53.30,174.00,1
3.27,5.40,3.27,53.80,176.00,1
3.26,5.35,3.27,53.00,174.00,1
3.27,5.35,3.27,53.30,174.00,1
3.26,5.37,3.27,53.00,174.00,1
3.27,5.32,3.27,53.50,174.00,1
3.27,5.41,3.27,53.90,176.00,1
3.27,5.31,3.27,52.80,174.00,1
3.26,5.30,3.27,52.50,174.00,1
3.26,5.33,3.27,53.90,176.00,1
3.26,5.39,3.27,53.70,174.00,1
3.27,5.29,3.27,53.00,174.00,1
3.26,5.35,3.27,53.40,174.00,1
3.27,5.30,3.27,52.90,174.00,1
3.26,5.42,3.27,54.20,176.00,1
3.26,5.40,3.26,111.20,404.00,1
3.25,12.68,3.26,53.30,174.00,1
3.26,5.30,3.27,53.30,174.00,1
3.27,5.36,3.27,54.10,174.00,1
3.26,5.34,3.27,53.40,174.00,1
3.27,5.33,3.27,53.40,174.00,1
3.26,5.35,3.27,52.90,174.00,1
3.26,5.28,3.27,53.10,174.00,1
3.26,5.42,3.27,54.00,176.00,1
3.27,5.38,3.27,52.80,174.00,1
3.26,5.30,3.27,52.80,174.00,1
3.27,5.33,3.27,53.40,176.00,1
3.27,5.35,3.27,53.40,174.00,1
3.27,5.32,3.27,53.40,174.00,1
3.27,5.35,3.27,53.40,174.00,1
3.26,5.31,3.27,52.80,174.00,1
3.26,5.30,3.27,53.70,176.00,1
3.26,5.39,3.27,53.90,174.00,1
3.27,5.30,3.27,52.90,174.00,1
3.26,5.33,3.27,53.70,176.00,1
3.27,5.35,3.27,53.30,174.00,1
3.26,5.35,3.27,53.70,174.00,1
3.27,5.33,3.27,126.40,406.00,1
3.21,12.64,3.22,54.10,176.00,1
3.26,5.30,3.27,53.00,174.00,1
3.27,5.39,3.27,54.10,176.00,1
3.27,5.35,3.27,52.60,170.00,1
3.26,5.27,3.27,53.20,174.00,1
3.27,5.33,3.27,53.50,174.00,1
3.27,5.29,3.27,53.70,174.00,1
3.27,5.34,3.27,53.80,176.00,1
3.27,5.33,3.27,53.20,174.00,1
3.27,5.31,3.27,53.00,174.00,1
3.26,5.29,3.27,54.00,176.00,1
3.26,5.41,3.27,53.80,176.00,1
3.27,5.28,3.27,52.90,174.00,1
3.27,5.36,3.27,53.30,174.00,1
3.27,5.35,3.27,53.00,174.00,1
3.27,5.34,3.27,53.70,174.00,1
3.27,5.37,3.27,53.50,174.00,1
3.26,5.35,3.27,52.70,174.00,1
3.27,5.29,3.27,52.90,174.00,1
3.27,5.42,3.27,53.90,176.00,1
3.27,5.35,3.27,53.20,170.00,1
3.26,5.28,3.27,106.80,344.00,1
3.23,12.64,3.24,59.70,176.00,1
3.27,5.29,3.27,53.10,174.00,1
3.26,5.36,3.27,54.00,176.00,1
3.27,5.34,3.27,53.40,174.00,1
3.27,5.28,3.27,52.50,174.00,1
3.27,5.32,3.27,53.10,174.00,1
3.26,5.40,3.27,53.70,176.00,1
3.27,5.34,3.27,52.80,174.00,1
3.26,5.33,3.27,53.50,174.00,1
3.27,5.34,3.27,53.10,174.00,1
3.27,5.32,3.27,53.40,174.00,1
3.27,5.40,3.27,53.60,174.00,1
3.27,5.31,3.27,52.80,174.00,1
3.27,5.29,3.27,53.40,174.00,1
3.27,5.35,3.27,54.00,176.00,1
3.26,5.38,3.27,53.30,230.00,1
3.25,7.15,3.26,72.40,236.00,1
3.20,7.46,3.21,129.30,416.00,1
3.21,12.60,3.22,126.20,406.00,1
3.21,12.70,3.22,127.00,410.00,1
3.21,12.66,3.22,126.70,406.00,1
3.21,12.60,3.22,126.90,406.00,1
3.21,12.62,3.22,126.40,406.00,1
3.21,13.01,3.22,126.80,406.00,1
3.20,12.62,3.22,125.60,404.00,1
3.21,12.66,3.22,126.40,406.00,1
3.21,12.58,3.22,125.90,404.00,1
3.21,12.59,3.22,126.20,410.00,1
3.20,12.75,3.22,127.00,406.00,1
3.18,12.66,3.20,126.60,406.00,1
3.24,12.70,3.26,58.00,176.00,1
3.27,5.33,3.27,53.90,176.00,1
3.27,5.35,3.27,53.40,174.00,1
3.26,5.33,3.27,53.20,174.00,1
3.26,5.38,3.27,53.40,174.00,1
3.26,5.27,3.27,52.70,170.00,1
3.27,5.38,3.27,54.10,176.00,1
3.27,5.39,3.27,53.10,174.00,1
3.26,5.27,3.27,52.80,174.00,1
3.27,5.35,3.27,53.30,174.00,1
3.27,5.37,3.27,53.50,174.00,1
3.27,5.37,3.27,53.50,174.00,1
3.27,5.37,3.27,53.70,174.00,1
3.27,5.33,3.27,52.80,174.00,1
3.21,12.48,3.22,126.20,406.00,1
3.26,5.46,3.27,54.50,176.00,1
3.26,5.32,3.27,52.80,174.00,1
3.26,5.28,3.27,53.50,174.00,1
3.27,5.34,3.27,53.50,174.00,1
3.27,5.37,3.27,53.40,176.00,1
3.27,5.37,3.27,53.40,174.00,1
3.27,5.35,3.27,53.50,174.00,1
3.27,5.29,3.27,53.00,174.00,1
3.27,5.37,3.27,53.70,176.00,1
3.27,5.42,3.27,52.90,174.00,1
3.26,5.30,3.27,52.90,174.00,1
3.26,5.33,3.27,53.30,174.00,1
3.27,5.34,3.27,53.00,174.00,1
3.26,5.35,3.27,53.40,174.00,1
3.27,5.39,3.27,53.40,174.00,1
3.26,5.29,3.27,52.60,174.00,1
3.27,5.27,3.27,53.30,174.00,1
3.26,5.39,3.27,54.00,176.00,1
3.27,5.36,3.27,53.10,174.00,1
3.27,5.27,3.27,53.20,176.00,1
3.27,5.34,3.27,53.30,174.00,1
3.21,12.09,3.22,126.00,404.00,1
3.24,12.81,3.25,59.70,176.00,1
3.27,5.34,3.27,52.70,170.00,1
3.27,5.28,3.27,52.70,174.00,1
3.26,5.34,3.27,53.70,176.00,1
3.26,5.42,3.27,53.70,174.00,1
3.27,5.29,3.27,52.50,170.00,1
3.26,5.32,3.27,53.50,174.00,1
3.26,5.30,3.27,52.90,174.00,1
3.27,5.34,3.27,53.50,176.00,1
3.27,5.38,3.27,53.40,174.00,1
3.27,5.32,3.27,52.70,170.00,1
3.26,5.28,3.27,53.10,174.00,1
3.27,5.37,3.27,53.80,176.00,1
3.27,5.37,3.27,53.10,174.00,1
3.27,5.26,3.27,53.30,174.00,1
3.26,5.35,3.27,53.30,174.00,1
3.27,5.28,3.27,53.30,174.00,1
3.26,5.38,3.27,53.90,176.00,1
3.26,5.37,3.27,53.10,174.00,1
3.26,5.27,3.27,52.90,170.00,1
3.27,5.34,3.27,53.30,176.00,1
3.21,8.09,3.22,126.90,406.00,1
3.20,12.93,3.21,126.40,404.00,1
3.21,12.65,3.22,107.90,180.00,1
3.26,5.33,3.27,52.90,174.00,1
3.26,5.30,3.27,53.30,174.00,1
3.27,5.42,3.27,53.50,174.00,1
3.27,5.29,3.27,53.00,174.00,1
3.27,5.29,3.27,53.20,174.00,1
3.26,5.31,3.27,54.00,176.00,1
3.26,5.37,3.27,53.30,174.00,1
3.26,5.29,3.27,53.20,174.00,1
3.26,5.34,3.27,53.50,174.00,1
3.27,5.30,3.27,52.60,174.00,1
3.26,5.39,3.27,53.90,176.00,1
