period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
58,912873,197769,102494,62983651,2966504,17,45098,11077,56400,3025843,27244,290216,4124,1.42
59,930877,200862,102494,63924104,3004569,17,45098,11077,57266,3068305,27244,290216,4124,1.58
60,956182,203946,102494,64849104,3065456,17,45098,11077,58172,3116030,27244,290216,4124,2.21
61,969244,207038,102494,65802861,3111065,17,45098,11077,59101,3149669,27244,290216,4124,1.23
62,985921,210122,102494,66740957,3158396,17,45098,11077,60321,3192072,27244,290216,4124,1.52
63,1009302,213216,102494,67669216,3222702,17,45098,11077,60936,3242267,27244,290216,4124,1.99
64,1021981,216305,102494,68627098,3244428,17,45098,11077,61871,3271307,27244,290216,4124,1.01
65,1046912,219374,102494,69550846,3312894,17,45098,11077,62576,3323006,27244,290216,4124,2.28
66,1063817,222449,102494,70496447,3363186,17,45098,11077,63400,3358857,27244,290216,4124,1.25
67,1084444,225534,102494,72865668,3419144,17,45098,11077,64283,3405047,27244,290216,4124,1.85
68,1107224,228361,102494,72363746,3508830,17,45098,11077,64944,3449178,27244,290216,4124,1.88
69,1128269,231445,102494,73299015,3562888,17,45098,11077,65791,3491130,27244,290216,4124,1.78
70,1151300,234542,102494,74229078,3628161,17,45098,11077,66612,3538826,27244,290216,4124,2.07
71,1163305,237622,102494,75186044,3671094,17,45098,11077,67363,3568332,27244,290216,4124,0.92
72,1189086,240703,102494,76115161,3739063,17,45098,11077,68206,3616262,27244,290216,4124,2.25
73,1217266,243764,102494,77034856,3810265,17,45098,11077,68918,3668255,27244,290216,4124,2.35
74,1226070,246916,102494,77987467,3848046,17,45098,11077,69736,3704764,27244,290216,4124,1.08
75,1239335,250039,102494,78944275,3880165,17,45098,11077,70705,3737083,27244,290216,4124,1.05
76,1260144,253214,102494,79880488,3939054,17,45098,11077,71447,3778769,27244,290216,4124,1.67
77,1278928,256367,102494,80818923,3996478,17,45098,11077,72302,3821355,27244,290216,4124,1.60
78,1301660,259409,102494,81749770,4077014,17,45098,11077,72951,3867358,27244,290216,4124,1.93
79,1311144,262542,102494,82707532,4096800,17,45098,11077,74102,3898783,27244,290216,4124,0.97
80,1318523,265724,102494,83667367,4132030,17,45098,11077,75111,3930056,27244,290216,4124,0.73
81,1342229,268847,102494,84598933,4212527,17,45098,11077,75660,3976091,27244,290216,4124,1.95
82,1373351,272234,102494,85511569,4287864,17,45098,11077,76385,4032610,27244,290216,4124,2.57
83,1398915,274894,102494,86440460,4346510,17,45098,11077,77109,4078272,27244,290216,4124,2.10
84,1420026,277825,102494,87374242,4396453,17,45098,11077,77848,4121792,27244,290216,4124,1.66
85,1434713,280638,102494,88323390,4437379,17,45098,11077,78641,4157338,27244,290216,4124,1.05
86,1448981,283574,102494,89275398,4460684,17,45098,11077,79425,4190914,27244,290216,4124,0.99
87,1463362,286512,102494,90223991,4484198,17,45098,11077,80301,4226606,27244,290216,4124,1.05
88,1489213,289665,102494,91144571,4552195,17,45098,11077,80982,4277120,27244,290216,4124,2.22
89,1507333,292829,102494,92081278,4619291,17,45098,11077,81806,4320505,27244,290216,4124,1.61
90,1532514,295767,102494,93004697,4677224,17,45098,11077,82495,4369352,27244,290216,4124,2.10
