period,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
58,2043307,24731,376983,98829,135509761,17,45036,19740,81702,5741144,27250,290248,4092,0.06
59,2060839,24731,380020,98829,136459290,17,45036,19740,82329,5791233,27250,290248,4092,0.05
60,2080521,24731,383473,98829,137404564,17,45036,19740,83029,5843785,27250,290248,4092,0.06
61,2099647,24731,386538,98829,138351254,17,45036,19740,83740,5896129,27250,290248,4092,0.06
62,2118053,24731,389668,98829,139299812,17,45036,19740,84359,5946666,27250,290248,4092,0.05
63,2133782,24731,392914,98829,140253247,17,45036,19740,85040,5991385,27250,290248,4092,0.05
64,2156449,25232,396008,98829,141194468,17,45036,19740,85615,6048276,27250,290248,4092,0.12
65,2174703,25232,399409,98829,142140874,17,45036,19740,86237,6100229,27250,290248,4092,0.05
66,2192969,25232,402329,98829,143090314,17,45036,19740,86855,6148912,27250,290248,4092,0.06
67,2210155,25232,405902,98829,144038849,17,45036,19740,87551,6198602,27250,290248,4092,0.05
68,2226713,25232,408682,98829,144989572,17,45036,19740,88192,6246038,27250,290248,4092,0.05
69,2246184,25232,411900,98829,145936028,17,45036,19740,88881,6298218,27250,290248,4092,0.06
70,2278179,25232,418176,98829,152799274,17,45036,19740,90350,6391738,27250,290248,4092,0.03
71,2297498,25232,421370,98829,148787413,17,45036,19740,90865,6444672,27250,290248,4092,0.06
72,2315807,25232,424475,98829,149732883,17,45036,19740,91583,6497300,27250,290248,4092,0.05
73,2334447,25868,427596,98829,150677401,17,45036,19740,92196,6550826,27250,290248,4092,0.06
74,2355911,25868,431251,98829,151620266,17,45036,19740,92763,6606173,27250,290248,4092,0.06
75,2372318,25868,434240,98829,152569944,17,45036,19740,93334,6654813,27250,290248,4092,0.05
76,2391446,25868,437120,98829,153520827,17,45036,19740,93920,6703470,27250,290248,4092,0.06
77,2402871,25868,440672,98829,154479772,17,45036,19740,94655,6742657,27250,290248,4092,0.04
78,2420395,25868,443678,98829,155431180,17,45036,19740,95330,6789297,27250,290248,4092,0.06
79,2439088,25868,446611,98829,156378093,17,45036,19740,95929,6840599,27250,290248,4092,0.06
80,2458472,25868,449636,98829,162655877,17,45036,19740,96712,6893988,27250,290248,4092,0.06
81,2468434,25868,452810,98829,158293192,17,45036,19740,97468,6925291,27250,290248,4092,0.03
82,2481412,25868,456156,98829,159251142,17,45036,19740,98201,6965497,27250,290248,4092,0.04
83,2494989,26512,459202,98829,160206342,17,45036,19740,98843,7007959,27250,290248,4092,0.04
84,2510287,26512,462435,98829,161158663,17,45036,19740,99475,7053845,27250,290248,4092,0.04
85,2526013,26512,465441,98829,162109516,17,45036,19740,100288,7101619,27250,290248,4092,0.05
86,2541431,26512,469023,98829,163063319,17,45036,19740,100912,7145968,27250,290248,4092,0.05
87,2550891,26512,472307,98829,164022973,17,45036,19740,101679,7184923,27250,290248,4092,0.03
88,2566462,26512,475348,98829,164981712,17,45036,19740,102187,7224554,27250,290248,4092,0.05
89,2580839,26512,478425,98829,165940509,17,45036,19740,102737,7263905,27250,290248,4092,0.04
90,2604070,26512,484829,98829,167857256,17,45036,19740,103803,7344294,27250,290248,4092,0.03
91,2624686,26512,487992,98829,168805981,17,45036,19740,104311,7393943,27250,290248,4092,0.05
92,2634185,27123,491129,98829,169767585,17,45036,19740,104898,7429984,27250,290248,4092,0.03
93,2664149,27123,497804,98829,171678365,17,45036,19740,106013,7515646,27250,290248,4092,0.03
94,2689089,27123,504107,98829,173600103,17,45036,19740,107299,7589711,27250,290248,4092,0.04
95,2702785,27123,507770,98829,174558384,17,45036,19740,107784,7629682,27250,290248,4092,0.04
96,2715640,27123,510800,98829,175518667,17,45036,19740,108227,7667685,27250,290248,4092,0.04
97,2727648,27123,514026,98829,176480076,17,45036,19740,108795,7704341,27250,290248,4092,0.04
98,2743430,27123,517065,98829,177437514,17,45036,19740,109295,7745004,27250,290248,4092,0.05
99,2759147,27123,520397,98829,178390935,17,45036,19740,109826,7790369,27250,290248,4092,0.04
100,2779699,27753,523739,98829,179331410,17,45036,19740,110348,7846971,27250,290248,4092,0.05
101,2797228,27753,526958,98829,180280762,17,45036,19740,110916,7895870,27250,290248,4092,0.05
102,2816690,27753,530281,98829,181225758,17,45036,19740,111446,7949986,27250,290248,4092,0.05
103,2838096,27753,533445,98829,182170055,17,45036,19740,111937,8004623,27250,290248,4092,0.06
104,2856588,27753,536675,98829,183121331,17,45036,19740,112459,8052121,27250,290248,4092,0.05
105,2875786,27753,539740,98829,184069611,17,45036,19740,113030,8102857,27250,290248,4092,0.05
106,2894302,27753,542938,98829,185019734,17,45036,19740,113523,8151592,27250,290248,4092,0.05
107,2910859,27753,545909,98829,185972869,17,45036,19740,114051,8198330,27250,290248,4092,0.04
108,2933989,27753,548883,98829,186913210,17,45036,19740,114547,8258085,27250,290248,4092,0.06
109,2955256,27753,551871,98829,187856230,17,45036,19740,115063,8313626,27250,290248,4092,0.06
110,2969728,28214,554837,98829,188812776,17,45036,19740,115698,8356355,27250,290248,4092,0.04
