period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
59,133089,309642,102484,130923062,333014,17,45016,13803,85100,2309169,27248,290216,4124,0.00
60,133089,312795,102484,131914810,334065,17,45016,13803,85780,2316659,27248,290216,4124,0.00
61,133089,315945,102484,132905521,335168,17,45016,13803,86551,2325110,27248,290216,4124,0.00
62,133089,319094,102484,133896246,336171,17,45016,13803,87287,2333555,27248,290216,4124,0.00
63,133089,322246,102484,134888840,337021,17,45016,13803,87918,2340579,27248,290216,4124,0.00
64,133089,328533,102484,136873748,339412,17,45016,13803,89042,2353098,27248,290216,4124,0.00
65,133723,331555,102484,137867312,341929,17,45016,13803,89689,2358991,27248,290216,4124,0.00
66,133723,337787,102484,139852198,343928,17,45016,13803,90930,2372907,27248,290216,4124,0.00
67,133723,340932,102484,140845995,345054,17,45016,13803,91525,2378503,27248,290216,4124,0.00
68,133723,344070,102484,141839677,346007,17,45016,13803,92142,2384228,27248,290216,4124,0.00
69,133723,353513,102484,144815529,349058,17,45016,13803,94003,2406428,27248,290216,4124,0.00
70,133723,356661,102484,145808846,349969,17,45016,13803,94645,2412465,27248,290216,4124,0.00
71,133723,359794,102484,146802097,350757,17,45016,13803,95170,2417956,27248,290216,4124,0.00
72,134340,362931,102484,147794800,351755,17,45016,13803,95698,2424028,27248,290216,4124,0.00
73,134340,372326,102484,150765054,355581,17,45016,13803,97827,2451208,27248,290216,4124,0.00
74,134340,375483,102484,151757373,356609,17,45016,13803,98418,2458234,27248,290216,4124,0.00
75,134340,378627,102484,152749371,357672,17,45016,13803,99132,2465491,27248,290216,4124,0.00
76,134340,381771,102484,153742188,358587,17,45016,13803,99722,2472080,27248,290216,4124,0.00
77,134340,384917,102484,154735075,359511,17,45016,13803,100276,2478624,27248,290216,4124,0.00
78,134340,391210,102484,156719624,361354,17,45016,13803,101426,2492899,27248,290216,4124,0.00
79,134945,394358,102484,157712317,362327,17,45016,13803,102048,2498914,27248,290216,4124,0.00
80,134945,397455,102484,158704575,363257,17,45016,13803,102556,2506175,27248,290216,4124,0.00
81,134945,400606,102484,159697338,364191,17,45016,13803,103068,2512871,27248,290216,4124,0.00
82,134945,403750,102484,160687566,365654,17,45016,13803,103891,2521514,27248,290216,4124,0.00
83,134945,406906,102484,161681286,366645,17,45016,13803,104493,2527165,27248,290216,4124,0.00
84,134945,410050,102484,162674088,367706,17,45016,13803,105057,2533772,27248,290216,4124,0.00
85,134945,416341,102484,164657036,369625,17,45016,13803,106316,2549527,27248,290216,4124,0.00
86,134945,419490,102484,165651074,370546,17,45016,13803,106823,2554968,27248,290216,4124,0.00
87,134945,422633,102484,166645309,371471,17,45016,13803,107323,2560221,27248,290216,4124,0.00
88,135567,425785,102484,167637624,372483,17,45016,13803,107921,2566578,27248,290216,4124,0.00
89,135567,432026,102484,169622651,374335,17,45016,13803,109081,2580408,27248,290216,4124,0.00
90,135567,435171,102484,170612024,375939,17,45016,13803,109803,2589943,27248,290216,4124,0.00
91,135567,438327,102484,171604940,376960,17,45016,13803,110458,2596315,27248,290216,4124,0.00
92,135567,441476,102484,172597432,378086,17,45016,13803,111122,2603120,27248,290216,4124,0.00
93,135567,444622,102484,173590089,379037,17,45016,13803,111631,2609910,27248,290216,4124,0.00
94,135567,447775,102484,174583336,379970,17,45016,13803,112151,2616113,27248,290216,4124,0.00
95,135567,454066,102484,176566315,382072,17,45016,13803,113548,2631455,27248,290216,4124,0.00
96,136182,457216,102484,177558365,383151,17,45016,13803,114071,2638158,27248,290216,4124,0.00
97,136182,460313,102484,178550869,384184,17,45016,13803,114712,2645020,27248,290216,4124,0.00
98,136390,463456,102484,179539784,385997,17,45016,13803,115450,2654995,27248,290216,4124,0.02
99,136390,466518,102484,180530603,387721,17,45016,13803,116126,2663132,27248,290216,4124,0.00
100,136390,469675,102484,181523753,388747,17,45016,13803,116773,2669335,27248,290216,4124,0.00
101,136390,472818,102484,182516829,389778,17,45016,13803,117415,2675618,27248,290216,4124,0.00
102,136390,475964,102484,183509835,390774,17,45016,13803,118091,2681909,27248,290216,4124,0.00
103,136390,479108,102484,184503028,391709,17,45016,13803,118610,2688172,27248,290216,4124,0.00
104,136390,482253,102484,185496822,392605,17,45016,13803,119114,2693889,27248,290216,4124,0.00
105,136390,485397,102484,186489883,393499,17,45016,13803,119810,2700150,27248,290216,4124,0.00
106,137021,491685,102484,188474835,395445,17,45016,13803,120914,2713337,27248,290216,4124,0.00
107,137021,497743,102484,190455158,397929,17,45016,13803,122291,2730572,27248,290216,4124,0.00
108,137021,500900,102484,191448699,399008,17,45016,13803,122874,2736393,27248,290216,4124,0.00
109,137021,504045,102484,192441986,400070,17,45016,13803,123452,2742496,27248,290216,4124,0.00
110,137021,507195,102484,193435939,400969,17,45016,13803,124044,2747956,27248,290216,4124,0.00
111,137021,510333,102484,194429312,401867,17,45016,13803,124638,2754009,27248,290216,4124,0.00
112,137021,513475,102484,195422541,402789,17,45016,13803,125156,2760254,27248,290216,4124,0.00
113,137021,516623,102484,196417123,403688,17,45016,13803,125682,2765154,27248,290216,4124,0.00
114,137021,519767,102484,197411282,404581,17,45016,13803,126265,2770431,27248,290216,4124,0.00
115,137715,522912,102484,198404229,405521,17,45016,13803,126855,2776264,27248,290216,4124,0.00
116,137715,525921,102484,199398206,406461,17,45016,13803,127384,2781882,27248,290216,4124,0.00
117,137715,529072,102484,200386068,408125,17,45016,13803,128174,2792862,27248,290216,4124,0.00
118,137715,532230,102484,201378851,409172,17,45016,13803,128861,2799370,27248,290216,4124,0.00
119,137715,535392,102484,202371804,410153,17,45016,13803,129487,2804709,27248,290216,4124,0.00
120,137715,538535,102484,203364832,411153,17,45016,13803,130084,2811056,27248,290216,4124,0.00
121,137715,541679,102484,204358337,412067,17,45016,13803,130621,2817010,27248,290216,4124,0.00
122,137715,544724,102484,205351522,412953,17,45016,13803,131276,2823295,27248,290216,4124,0.00
123,137715,547868,102484,206346161,413883,17,45016,13803,131799,2828115,27248,290216,4124,0.00
124,137715,551012,102484,207340630,414805,17,45016,13803,132313,2833122,27248,290216,4124,0.00
125,138343,554157,102484,208333692,415749,17,45016,13803,132924,2838789,27248,290216,4124,0.00
126,138343,557073,102484,209326084,416755,17,45016,13803,133572,2845011,27248,290216,4124,0.00
127,138343,560214,102484,210316718,418345,17,45016,13803,134290,2853309,27248,290216,4124,0.00
