period,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,18435,455,97,99481,21017565,17,45029,12560,12224,789580,27251,290248,4124,0.01
1,20941,889,10139,99481,21111134,17,45029,12560,12796,795517,27251,290248,4124,0.00
