period,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,9675,406,204,101087,6359895,19,19507,13213,4697,713438,1821,290608,4152,0.01
1,12327,2803,11673,101087,6533783,19,19507,13213,5863,725411,1821,290608,4152,0.00
2,13283,2803,14247,101087,7518473,19,19507,13213,7060,738200,1821,290608,4152,0.00
3,114766,55622,16826,101087,8366374,19,19507,13213,8514,847006,1821,290608,4152,7.39
4,253604,133209,19592,101087,9173040,19,19507,13213,9879,988196,1821,290608,4152,9.65
5,381320,202839,22488,101087,9989207,19,19507,13213,11372,1119340,1821,290608,4152,8.84
6,492792,263147,24925,101087,10830689,19,19507,13213,12849,1233063,1821,290608,4152,7.55
7,633998,342242,27531,101087,11640828,19,19507,13213,14311,1373617,1821,290608,4152,9.70
8,763978,419081,30579,101087,12459196,19,19507,13213,15710,1496501,1821,290608,4152,8.74
9,890205,496949,33454,101087,13279630,19,19507,13213,17336,1615262,1821,290608,4152,7.93
10,1009977,568883,36264,101087,15237662,19,19507,13213,18661,1725073,1821,290608,4152,7.76
11,1180059,678127,39142,101087,14881761,19,19507,13213,20040,1874453,1821,290608,4152,10.71
12,1300853,754953,42113,101087,16917284,19,19507,13213,21347,1985544,1821,290608,4152,7.61
13,1426418,822182,44979,101087,16530336,19,19507,13213,22670,2114884,1821,290608,4152,9.08
14,1575482,917556,47863,101087,17326446,19,19507,13213,24160,2247975,1821,290608,4152,9.21
15,1705250,1001734,50909,101087,18136682,19,19507,13213,25732,2368212,1821,290608,4152,8.26
16,1851161,1094699,53945,101087,18927036,19,19507,13213,27071,2498158,1821,290608,4152,9.19
17,1976483,1174181,56981,101087,19748570,19,19507,13213,28405,2611668,1821,290608,4152,7.75
18,2107652,1244544,60432,101087,20560546,19,19507,13213,29795,2745872,1821,290608,4152,9.26
19,2242239,1319164,62699,101087,21373711,19,19507,13213,31172,2881227,1821,290608,4152,9.42
20,2358897,1382775,65591,101087,22202877,19,19507,13213,32704,3004230,1821,290608,4152,8.32
21,2477173,1447080,68443,101087,23036503,19,19507,13213,34044,3127165,1821,290608,4152,8.40
22,2609764,1520316,71419,101087,23847184,19,19507,13213,35196,3263072,1821,290608,4152,9.26
23,2735014,1587921,74325,101087,24664908,19,19507,13213,36747,3393487,1821,290608,4152,8.86
24,2852432,1651046,77345,101087,25493548,19,19507,13213,38082,3514773,1821,290608,4152,8.32
25,2971091,1716526,79861,101087,26326525,19,19507,13213,39591,3635873,1821,290608,4152,8.18
26,3061432,1768929,82983,101087,27198060,19,19507,13213,41032,3729858,1821,290608,4152,5.92
27,3248911,1874197,85650,101087,27956755,19,19507,13213,42233,3910883,1821,290608,4152,12.57
28,3366491,1944716,88679,101087,30564310,19,19507,13213,43867,4031126,1821,290608,4152,7.88
29,3498979,2022517,91726,101087,29613043,19,19507,13213,45445,4159982,1821,290608,4152,8.51
30,3645588,2108580,94843,101087,30416757,19,19507,13213,46878,4306999,1821,290608,4152,9.70
31,3762284,2176736,97967,101087,31256894,19,19507,13213,48231,4423801,1821,290608,4152,7.88
32,3884006,2245687,100847,101087,32091308,19,19507,13213,49813,4548702,1821,290608,4152,8.40
33,4014938,2321288,104234,101087,32904459,19,19507,13213,51439,4680652,1821,290608,4152,8.69
34,4159662,2408761,106844,101087,33715573,19,19507,13213,52832,4823538,1821,290608,4152,9.55
35,4278821,2476142,109951,101087,36469112,19,19507,13213,54157,4944982,1821,290608,4152,8.17
36,4395563,2540145,112930,101087,35383431,19,19507,13213,55792,5064501,1821,290608,4152,8.00
37,4535423,2618282,115474,101087,36186792,19,19507,13213,57243,5206152,1821,290608,4152,9.70
38,4662359,2687907,118596,101087,37004821,19,19507,13213,58634,5333771,1821,290608,4152,8.63
39,4780518,2754273,121622,101087,37841760,19,19507,13213,59979,5454271,1821,290608,4152,8.08
40,4915697,2830026,124745,101087,38647640,19,19507,13213,61474,5592547,1821,290608,4152,9.17
41,5026833,2892231,127879,101087,39483706,19,19507,13213,62938,5706646,1821,290608,4152,7.55
42,5170410,2973594,130996,101087,40288878,19,19507,13213,64427,5852304,1821,290608,4152,9.70
43,5301843,3051309,134110,101087,41114037,19,19507,13213,65875,5981657,1821,290608,4152,8.63
44,5430799,3124719,137229,101087,41934162,19,19507,13213,67226,6111590,1821,290608,4152,8.63
45,5546500,3191472,140343,101087,42775548,19,19507,13213,68614,6228714,1821,290608,4152,7.67
46,5674877,3265494,143249,101087,43606386,19,19507,13213,70030,6355782,1821,290608,4152,8.51
47,5814799,3342257,146332,101087,44414978,19,19507,13213,71434,6500132,1821,290608,4152,9.82
48,5931350,3405804,149268,101087,45251138,19,19507,13213,72917,6622864,1821,290608,4152,8.38
49,6031141,3457884,152382,101087,46104781,19,19507,13213,74480,6730996,1821,290608,4152,7.10
50,6172131,3531165,155507,101087,46902969,19,19507,13213,76114,6878557,1821,290608,4152,10.31
51,6292183,3596754,158707,101087,47733252,19,19507,13213,77506,7004038,1821,290608,4152,8.60
52,6418600,3663791,161564,101087,48551324,19,19507,13213,78986,7139595,1821,290608,4152,9.15
53,6535966,3724311,164412,101087,49383268,19,19507,13213,80646,7264200,1821,290608,4152,8.53
54,6651188,3783727,167526,101087,50215687,19,19507,13213,82214,7387902,1821,290608,4152,8.20
55,6779372,3851035,170647,101087,53582286,19,19507,13213,83730,7524272,1821,290608,4152,9.35
56,6897940,3913289,173621,101087,54445102,19,19507,13213,85136,7649652,1821,290608,4152,8.54
57,6997275,3969992,176550,101087,52722858,19,19507,13213,86533,7751889,1821,290608,4152,6.69
58,7151419,4066516,179669,101087,53506228,19,19507,13213,88138,7890128,1821,290608,4152,9.92
59,7295286,4157262,182794,101087,54292932,19,19507,13213,89348,8021542,1821,290608,4152,9.24
60,7414703,4232240,185912,101087,55134870,19,19507,13213,90772,8129154,1821,290608,4152,7.27
61,7574623,4331486,189004,101087,55910964,19,19507,13213,92108,8272116,1821,290608,4152,10.24
62,7696946,4404232,191542,101087,56749775,19,19507,13213,93628,8391797,1821,290608,4152,7.87
63,7839828,4482879,194647,101087,57552205,19,19507,13213,95107,8533212,1821,290608,4152,9.71
64,7936421,4533482,197767,101087,58405349,19,19507,13213,96807,8641437,1821,290608,4152,6.99
65,8079906,4609289,200882,101087,59200513,19,19507,13213,98184,8790984,1821,290608,4152,10.26
66,8186745,4665478,204088,101087,60044698,19,19507,13213,99791,8905347,1821,290608,4152,7.55
67,8307918,4731059,207208,101087,60876103,19,19507,13213,101307,9031650,1821,290608,4152,8.63
68,8447265,4806045,210326,101087,61684547,19,19507,13213,102766,9174044,1821,290608,4152,9.70
69,8569154,4872074,213441,101087,62512608,19,19507,13213,104207,9300352,1821,290608,4152,8.62
70,8689279,4937392,216559,101087,63343058,19,19507,13213,105582,9424095,1821,290608,4152,8.40
71,8783433,4988339,219693,101087,64206253,19,19507,13213,107099,9524752,1821,290608,4152,6.65
72,8936721,5076601,222815,101087,65002730,19,19507,13213,108568,9673825,1821,290608,4152,10.27
73,9078444,5160454,225691,101087,65822169,19,19507,13213,109979,9811472,1821,290608,4152,9.18
74,9210783,5236761,228810,101087,66642709,19,19507,13213,111496,9939184,1821,290608,4152,8.63
75,9339754,5311712,232252,101087,67474481,19,19507,13213,112937,10065849,1821,290608,4152,8.63
76,9438364,5368899,234861,101087,68341612,19,19507,13213,114423,10166684,1821,290608,4152,6.47
77,9590346,5452146,238108,101087,72315053,19,19507,13213,115681,10321175,1821,290608,4152,10.79
78,9709645,5515192,241146,101087,69968140,19,19507,13213,117329,10448288,1821,290608,4152,8.63
79,9826010,5577319,243508,101087,70800629,19,19507,13213,118880,10570894,1821,290608,4152,8.17
