period,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,10857,500,491,101217,6020589,18,19466,13684,5330,719498,1823,290608,4152,0.01
1,14459,1003,8296,101217,6185081,18,19466,13684,6614,732861,1823,290608,4152,0.00
2,15276,1003,10713,101217,7172850,18,19466,13684,7741,744006,1823,290608,4152,0.00
3,150920,71015,13286,101217,7977028,18,19466,13684,9237,883260,1823,290608,4152,8.10
4,296651,153174,16061,101217,8785015,18,19466,13684,10751,1014647,1823,290608,4152,8.16
5,550630,243539,19118,101217,9479341,18,19466,13684,12271,1256329,1823,290608,4152,9.98
6,742248,332237,22131,101217,10224042,18,19466,13684,13607,1439340,1823,290608,4152,8.78
7,892220,412160,24995,101217,11013421,18,19466,13684,14848,1589685,1823,290608,4152,8.67
8,1040531,480975,28011,101217,11799266,18,19466,13684,15998,1750413,1823,290608,4152,8.69
9,1190765,551045,31047,101217,12583787,18,19466,13684,17189,1911864,1823,290608,4152,8.69
10,1341852,622234,34080,101217,13373269,18,19466,13684,18478,2072081,1823,290608,4152,8.69
11,1496438,695800,37320,101217,14162288,18,19466,13684,19671,2231940,1823,290608,4152,8.81
12,1645760,767401,40059,101217,14951684,18,19466,13684,20897,2391478,1823,290608,4152,8.46
13,1800984,842824,43084,101217,15737012,18,19466,13684,22124,2552141,1823,290608,4152,9.04
14,1959236,920040,46188,101217,16522870,18,19466,13684,23235,2717515,1823,290608,4152,8.77
15,2111908,995600,49354,101217,17312807,18,19466,13684,24407,2878090,1823,290608,4152,8.63
16,2267074,1069747,52184,101217,18096756,18,19466,13684,25568,3037283,1823,290608,4152,8.76
17,2416306,1140404,55101,101217,18887315,18,19466,13684,26855,3196213,1823,290608,4152,8.67
18,2565523,1208649,58352,101217,19672770,18,19466,13684,28112,3354457,1823,290608,4152,8.71
19,2717653,1280762,61319,101217,20462221,18,19466,13684,29285,3514833,1823,290608,4152,8.75
20,2866638,1353191,64040,101217,21255513,18,19466,13684,30446,3672024,1823,290608,4152,8.52
21,3003306,1416212,66712,101217,22059168,18,19466,13684,31667,3818545,1823,290608,4152,8.11
22,3143470,1481033,69281,101217,22858387,18,19466,13684,33106,3967455,1823,290608,4152,8.18
23,3322437,1576079,72272,101217,23602399,18,19466,13684,34354,4140499,1823,290608,4152,10.14
24,3482411,1665574,75648,101217,24379225,18,19466,13684,35615,4292094,1823,290608,4152,8.75
25,3641337,1751592,78345,101217,25158380,18,19466,13684,36945,4445259,1823,290608,4152,8.75
26,3804240,1839752,81859,101217,25925319,18,19466,13684,38241,4601979,1823,290608,4152,8.70
27,3960372,1923795,84906,101217,26706231,18,19466,13684,39343,4752627,1823,290608,4152,8.42
28,4122639,2014560,87998,101217,29522521,18,19466,13684,40710,4906292,1823,290608,4152,9.00
29,4285399,2101524,90897,101217,28259239,18,19466,13684,41932,5061404,1823,290608,4152,8.69
30,4447084,2190005,93502,101217,29032068,18,19466,13684,43134,5217923,1823,290608,4152,8.69
31,4601891,2273310,96749,101217,29811721,18,19466,13684,44320,5364573,1823,290608,4152,8.50
32,4755188,2356748,99747,101217,30596750,18,19466,13684,45577,5513008,1823,290608,4152,8.27
33,4929554,2450478,102339,101217,31351014,18,19466,13684,46990,5678535,1823,290608,4152,9.30
34,5092274,2539165,105277,101217,32121350,18,19466,13684,48182,5833225,1823,290608,4152,8.70
35,5245828,2614659,108383,101217,32905470,18,19466,13684,49292,5993808,1823,290608,4152,8.69
36,5392024,2681062,111496,101217,33693758,18,19466,13684,50554,6153580,1823,290608,4152,8.69
37,5544423,2754034,114591,101217,34481123,18,19466,13684,51818,6309803,1823,290608,4152,8.69
38,5698544,2828557,117698,101217,35260211,18,19466,13684,52966,6473346,1823,290608,4152,8.70
39,5851929,2905136,120806,101217,36049755,18,19466,13684,54199,6632224,1823,290608,4152,8.69
40,6005572,2978895,123921,101217,36833536,18,19466,13684,55478,6794580,1823,290608,4152,8.69
41,6156154,3049733,126796,101217,37628610,18,19466,13684,56630,6952105,1823,290608,4152,8.69
42,6308867,3122198,129685,101217,38419954,18,19466,13684,57901,7111485,1823,290608,4152,8.69
43,6462307,3196708,132992,101217,39201184,18,19466,13684,59283,7264918,1823,290608,4152,8.73
44,6619315,3281692,135907,101217,39979916,18,19466,13684,60602,7415134,1823,290608,4152,8.49
