period,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
0,8029,408,137,99802,4249182,19,19499,24162,3600,700266,1843,290608,4152,0.01
1,12596,3976,11690,99802,4423209,19,19499,24162,4997,715734,1843,290608,4152,0.00
2,13508,3976,14293,99802,5409986,19,19499,24162,6144,727407,1843,290608,4152,0.00
3,747713,78418,17219,99802,6147444,19,19499,24162,7339,932791,1843,290608,4152,14.70
4,1569647,153270,20656,99802,6676069,19,19499,24162,8586,1158397,1843,290608,4152,16.24
5,2383431,230756,24570,99802,6855162,19,19499,24162,9834,1377421,1843,290608,4152,15.75
6,3214730,307213,27387,99802,7010362,19,19499,24162,11043,1601094,1843,290608,4152,16.19
7,4025974,381863,30951,99802,7194443,19,19499,24162,12277,1816020,1843,290608,4152,15.81
8,4871209,461560,34268,99802,9763964,19,19499,24162,13419,2038246,1843,290608,4152,16.48
9,5723312,539482,38018,99802,7487426,19,19499,24162,14779,2270080,1843,290608,4152,16.52
10,6570598,617568,41174,99802,11197115,19,19499,24162,15974,2498030,1843,290608,4152,16.47
11,7434738,695426,44044,99802,11906655,19,19499,24162,17222,2730088,1843,290608,4152,16.86
12,8222936,769527,47538,99802,7961784,19,19499,24162,18421,2944298,1843,290608,4152,15.36
13,9066818,849765,51276,99802,8114009,19,19499,24162,19694,3166698,1843,290608,4152,16.41
14,9875782,924280,54323,99802,8299100,19,19499,24162,20955,3384136,1843,290608,4152,15.76
15,10666649,995047,57622,99802,8501655,19,19499,24162,22144,3597319,1843,290608,4152,15.35
16,11499904,1071189,61946,99802,8654644,19,19499,24162,23301,3826736,1843,290608,4152,16.21
17,12349785,1149475,65475,99802,8794313,19,19499,24162,24543,4060130,1843,290608,4152,16.52
18,13207666,1226938,69007,99802,16977191,19,19499,24162,25877,4296283,1843,290608,4152,16.65
19,14062041,1301420,72261,99802,9074302,19,19499,24162,27093,4533560,1843,290608,4152,16.73
20,14869663,1376145,76164,99802,9258846,19,19499,24162,28306,4754363,1843,290608,4152,15.74
21,15704832,1452689,79547,99802,9418570,19,19499,24162,29526,4982495,1843,290608,4152,16.20
22,16593415,1531099,83514,99802,9532019,19,19499,24162,30724,5222665,1843,290608,4152,17.26
23,17419627,1605452,86601,99802,20570557,19,19499,24162,31944,5447825,1843,290608,4152,16.11
24,18254554,1679136,90048,99802,9850704,19,19499,24162,33108,5681162,1843,290608,4152,16.37
25,19087332,1754229,93824,99802,10008128,19,19499,24162,34410,5909187,1843,290608,4152,16.17
26,19925510,1831086,97152,99802,10156508,19,19499,24162,35613,6137005,1843,290608,4152,16.29
27,20749433,1907768,100875,99802,10324526,19,19499,24162,36854,6363709,1843,290608,4152,15.97
28,21573483,1982858,104241,99802,10486355,19,19499,24162,38137,6590804,1843,290608,4152,15.99
29,22426816,2061126,107230,99802,24872192,19,19499,24162,39439,6821334,1843,290608,4152,16.52
30,23221711,2133443,110176,99802,10821927,19,19499,24162,40657,7040048,1843,290608,4152,15.51
31,24045786,2208587,113891,99802,10991274,19,19499,24162,41795,7265092,1843,290608,4152,15.97
32,24904266,2286373,117300,99802,11121670,19,19499,24162,43089,7499012,1843,290608,4152,16.70
33,25731977,2362041,120947,99802,11282444,19,19499,24162,44367,7722486,1843,290608,4152,16.04
34,26591535,2440718,123879,99802,11402712,19,19499,24162,45649,7959672,1843,290608,4152,16.83
35,27410582,2514131,127616,99802,11579948,19,19499,24162,46916,8181480,1843,290608,4152,15.71
36,28283612,2591426,131385,99802,11701743,19,19499,24162,48114,8420219,1843,290608,4152,16.86
37,29143605,2666551,134554,99802,11834740,19,19499,24162,49415,8656758,1843,290608,4152,16.62
38,29981994,2741147,138106,99802,31339682,19,19499,24162,50631,8887381,1843,290608,4152,16.16
39,30766389,2808847,141290,99802,12189440,19,19499,24162,51771,9103222,1843,290608,4152,15.21
40,31575316,2885173,144868,99802,12366628,19,19499,24162,53002,9324989,1843,290608,4152,15.52
41,32410886,2959845,148554,99802,12524401,19,19499,24162,54263,9548526,1843,290608,4152,16.07
42,33248092,3035983,152248,99802,12682736,19,19499,24162,55488,9778010,1843,290608,4152,16.13
43,34015732,3105681,155802,99802,12912514,19,19499,24162,56848,9988634,1843,290608,4152,14.72
44,34864654,3181629,158760,99802,35706714,19,19499,24162,58070,10216286,1843,290608,4152,16.36
45,35601968,3250152,161664,99802,13302968,19,19499,24162,59264,10415075,1843,290608,4152,14.24
46,36463393,3326417,165388,99802,37170209,19,19499,24162,60478,10652588,1843,290608,4152,16.65
47,37305150,3398666,168381,99802,13584901,19,19499,24162,61778,10882101,1843,290608,4152,16.21
48,38080192,3468852,171474,99802,13795312,19,19499,24162,63037,11093300,1843,290608,4152,15.00
49,38890901,3542766,175445,99802,13982278,19,19499,24162,64297,11314663,1843,290608,4152,15.62
50,39675622,3615121,178728,99802,14191144,19,19499,24162,65572,11530004,1843,290608,4152,15.08
51,40523731,3689837,182593,99802,14339631,19,19499,24162,66769,11763086,1843,290608,4152,16.35
52,41309549,3761842,186076,99802,41546540,19,19499,24162,67989,11978587,1843,290608,4152,15.14
53,42134494,3835059,189195,99802,42274130,19,19499,24162,69262,12205584,1843,290608,4152,15.79
54,42871950,3904362,192305,99802,14960469,19,19499,24162,70428,12408235,1843,290608,4152,14.23
55,43683630,3978582,196027,99802,15136828,19,19499,24162,71581,12630107,1843,290608,4152,15.69
56,44499434,4052376,199148,99802,15316369,19,19499,24162,72838,12856138,1843,290608,4152,15.68
57,45336520,4127058,202986,99802,15474062,19,19499,24162,74162,13085377,1843,290608,4152,16.12
58,46156711,4198954,206314,99802,15645698,19,19499,24162,75393,13314247,1843,290608,4152,15.88
59,46868987,4263627,210098,99802,15921874,19,19499,24162,76660,13513123,1843,290608,4152,13.66
60,47671545,4336319,213670,99802,16111255,19,19499,24162,77973,13732871,1843,290608,4152,15.41
61,47814765,4346169,217077,99802,48349792,19,19499,24162,79762,13787221,1843,290608,4152,2.27
62,48274897,4389140,220675,99802,17508168,19,19499,24162,81103,13922601,1843,290608,4152,8.70
63,49104955,4461898,224459,99802,17673182,19,19499,24162,82378,14152482,1843,290608,4152,16.04
64,49907078,4537197,228019,99802,17856258,19,19499,24162,83630,14373753,1843,290608,4152,15.56
65,50678608,4608763,231363,99802,18074729,19,19499,24162,84927,14583283,1843,290608,4152,14.95
66,51524081,4683696,235189,99802,18224969,19,19499,24162,86080,14813731,1843,290608,4152,16.30
67,52264880,4752254,238626,99802,18479037,19,19499,24162,87315,15018555,1843,290608,4152,14.22
68,53119157,4826781,241815,99802,18614694,19,19499,24162,88526,15253744,1843,290608,4152,16.56
69,53917587,4898170,245258,99802,54312037,19,19499,24162,89784,15473243,1843,290608,4152,15.33
70,54698995,4969331,248425,99802,19015284,19,19499,24162,91136,15690868,1843,290608,4152,15.10
71,55507833,5042521,251876,99802,19194606,19,19499,24162,92304,15908903,1843,290608,4152,15.65
